epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,192.8062063237672,186.2814483642578,164.28140258789062,193.3061981201172,186.7814483642578,164.7808837890625,142.12750244140625,142.45904541015625,76.31515502929688,0.9396393299102783,0.97328782081604,0.883734405040741,73327.8203125,65854.9453125,72617.6953125,270.79110087390245,256.6221839835754,269.47670643768083,-0.5211325883865356,-0.36843419075012207,-0.39416444301605225,186.2814483642578
2,0.0009997532801828658,153.25283034129808,204.75155639648438,122.00736999511719,153.74884033203125,205.25155639648438,122.50738525390625,100.8980712890625,137.94964599609375,31.520706176757812,0.8520734906196594,1.0136877298355103,0.7480894923210144,51693.00390625,72795.84375,49038.828125,227.3609551049828,269.80704911102674,221.4471226387916,-0.0723339319229126,-0.5126626491546631,0.058518826961517334,186.2814483642578
3,0.0009994449374809851,138.08697558987527,197.8378448486328,116.84376525878906,138.58665466308594,198.33787536621094,117.3437728881836,78.705322265625,158.5098876953125,31.966766357421875,0.7941988110542297,0.9737867116928101,0.7286204695701599,43550.0703125,67570.1640625,45696.61328125,208.68653601155012,259.94261686476113,213.7676619165069,0.09658545255661011,-0.40407562255859375,0.12268489599227905,186.2814483642578
4,0.0009990133642141358,123.0374992124496,168.5146026611328,125.60330200195312,123.53672790527344,169.0146026611328,126.101318359375,69.88189697265625,109.47418212890625,26.882659912109375,0.7214874625205994,0.8864403367042542,0.8137326836585999,38087.37109375,56256.703125,65200.41796875,195.1598603549152,237.1849555199486,255.34372514074045,0.20990514755249023,-0.16898727416992188,-0.2517625093460083,168.5146026611328
5,0.000998458666866564,117.63407668247018,143.68753051757812,126.03094482421875,118.13133239746094,144.1875457763672,126.53095245361328,64.14654541015625,90.92822265625,25.38421630859375,0.678689181804657,0.8100767731666565,0.7886320948600769,37387.88671875,47045.6015625,60216.60546875,193.35947537876183,216.89998054979165,245.39072001351232,0.2244153618812561,0.022414982318878174,-0.15607988834381104,143.68753051757812
6,0.00099778098230154,105.48010532830351,144.74407958984375,121.22216796875,105.9789047241211,145.24407958984375,121.72216796875,59.78887939453125,118.9090576171875,28.153884887695312,0.6270775198936462,0.8033087253570557,0.768772542476654,28027.544921875,46104.58984375,57222.05078125,167.41429127130993,214.71979378657664,239.2113098940976,0.41858893632888794,0.04196876287460327,-0.09858834743499756,143.68753051757812
7,0.0009969804777275899,105.99523507395098,153.71176147460938,120.68009948730469,106.49523162841797,154.2117462158203,121.18009185791016,66.50918579101562,107.62457275390625,33.51026916503906,0.61226487159729,0.8251027464866638,0.7601451873779297,26929.609375,48804.90234375,55694.203125,164.10243561568487,220.91831599880985,235.99619303073513,0.4413648247718811,-0.014142513275146484,-0.06925570964813232,143.68753051757812
8,0.000996057350657239,125.58446789813298,162.7187042236328,119.24541473388672,126.08384704589844,163.21871948242188,119.74542236328125,58.2236328125,101.05078125,39.284515380859375,0.6242587566375732,0.8464405536651611,0.7467281818389893,54355.4609375,52112.44921875,53672.14453125,233.14257641516275,228.28151309019748,231.67249411885305,-0.12756454944610596,-0.08287167549133301,-0.030434846878051758,143.68753051757812
9,0.0009950118288582787,112.71302180136404,164.1126251220703,118.33473205566406,113.21302032470703,164.61260986328125,118.8347396850586,57.63861083984375,98.188720703125,46.93560791015625,0.5980578064918518,0.8422979712486267,0.7194526195526123,49422.171875,52251.37890625,48534.85546875,222.3109801044474,228.5856052034992,220.3062765078426,-0.02522718906402588,-0.08575856685638428,0.0681944489479065,143.68753051757812
10,0.0009938441702975688,106.6577610302997,156.8553009033203,115.04268646240234,107.156982421875,157.35531616210938,115.54268646240234,48.895751953125,96.162841796875,43.835540771484375,0.5736196637153625,0.8129095435142517,0.6893196105957031,36964.06640625,48923.765625,43602.60546875,192.2604129982301,221.1871732831721,208.81236905114122,0.2332073450088501,-0.01661241054534912,0.16288715600967407,143.68753051757812
11,0.000992554663077387,94.9984142344485,147.25439453125,111.7755355834961,95.49693298339844,147.75437927246094,112.2755355834961,52.9010009765625,96.15283203125,37.92584228515625,0.5336126685142517,0.7785925269126892,0.6651314496994019,23791.78515625,44878.1328125,40183.55078125,154.24585944604803,211.84459590109915,200.4583517373372,0.506456732749939,0.06745392084121704,0.22852849960327148,143.68753051757812
12,0.0009911436253643444,92.38311386108398,140.201171875,112.96974182128906,92.87940979003906,140.70118713378906,113.4697265625,54.58612060546875,94.892333984375,40.46466064453125,0.5126660466194153,0.7480461597442627,0.6534681916236877,20326.173828125,41559.24609375,38365.19140625,142.56989102936495,203.86084983083435,195.8703433556239,0.5783482789993286,0.13641875982284546,0.2634386420249939,140.201171875
13,0.000989611405310883,78.66538521551317,136.38986206054688,111.55462646484375,79.16230773925781,136.87815856933594,112.05462646484375,44.53515625,88.79547119140625,42.445220947265625,0.4806293249130249,0.7279077172279358,0.6366050839424133,16424.283203125,39870.7890625,35823.9609375,128.1572596583003,199.6767113674001,189.27218743782723,0.6592901349067688,0.17150413990020752,0.31222695112228394,136.38986206054688
14,0.0009879583809693738,77.65286837341965,138.61927795410156,114.70478820800781,78.14442443847656,139.11927795410156,115.1809310913086,51.1580810546875,85.62750244140625,56.7291259765625,0.45613694190979004,0.7276793122291565,0.6262450814247131,14631.3583984375,40044.8046875,33947.03125,120.96015210984773,200.11198036974199,184.24720147128423,0.6964831352233887,0.16788816452026367,0.3482615351676941,136.38986206054688
15,0.0009861849601988384,79.6331545101699,132.4469757080078,96.5150146484375,80.13026428222656,132.9469757080078,97.0150146484375,48.845947265625,75.13491821289062,42.8966064453125,0.44697147607803345,0.7100403308868408,0.5468395352363586,14985.0439453125,37678.94921875,24587.71875,122.41341407424474,194.110662300529,156.8047153308854,0.6891461610794067,0.21704953908920288,0.5279480218887329,132.4469757080078
16,0.0009842915805643156,77.4969984485257,132.2044219970703,93.24645233154297,77.99700164794922,132.70440673828125,93.74645233154297,43.422576904296875,69.890380859375,43.59161376953125,0.43239274621009827,0.7117883563041687,0.530397355556488,14376.9248046875,37916.8671875,22864.65625,119.90381480456533,194.7225389817522,151.21063537330963,0.7017611265182495,0.21210569143295288,0.5610285997390747,132.2044219970703
