epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,196.6464333482968,175.4072723388672,105.01820373535156,197.14431762695312,175.9072265625,105.5181884765625,140.390380859375,132.45281982421875,99.1077880859375,1.0413365364074707,0.9235191941261292,0.1390083134174347,74878.859375,59521.03515625,16923.1484375,273.64001786105774,243.96933240932148,130.08900198517935,-0.4455299377441406,-0.23681855201721191,-0.5420049428939819,175.4072723388672
2,0.0009997532801828658,163.96653452227193,169.8349609375,66.29363250732422,164.46652221679688,170.3349609375,66.79363250732422,92.97174072265625,92.206787109375,49.5504150390625,0.9291667342185974,0.9087881445884705,0.09037914872169495,57764.08203125,57010.0859375,6989.83447265625,240.34159446764517,238.7678494636579,83.60522993602882,-0.11513054370880127,-0.18464219570159912,0.3630996346473694,169.8349609375
3,0.0009994449374809851,144.81795665781985,170.49142456054688,51.67426300048828,145.3091583251953,170.99143981933594,52.174259185791016,77.9267578125,105.0819091796875,18.930206298828125,0.9019515514373779,0.8963581323623657,0.07220438867807388,54273.9140625,55520.6640625,6537.1796875,232.96762449426316,235.62823273644437,80.85282733151637,-0.047753214836120605,-0.15369272232055664,0.40434467792510986,169.8349609375
4,0.0009990133642141358,126.94871258479293,160.7094268798828,68.31661987304688,127.44871520996094,161.2094268798828,68.81661224365234,68.095703125,101.8612060546875,46.980224609375,0.8007842898368835,0.8580417037010193,0.0937945619225502,40001.58984375,51469.37890625,8250.7734375,200.003974569882,226.86863799619815,90.8337681564516,0.22777265310287476,-0.06950902938842773,0.248205304145813,160.7094268798828
5,0.000998458666866564,118.92337659610214,158.0089111328125,78.56704711914062,119.42274475097656,158.5089111328125,79.0670394897461,56.9818115234375,110.7333984375,64.00869750976562,0.7455954551696777,0.8372516632080078,0.10687166452407837,34992.15234375,49546.80859375,10214.76953125,187.06189441933384,222.5911242474641,101.0681430088136,0.3244795799255371,-0.029558897018432617,0.06924974918365479,158.0089111328125
6,0.00099778098230154,113.01373422274025,169.9867706298828,71.64253234863281,113.51373291015625,170.4867706298828,72.14253234863281,56.8992919921875,130.16094970703125,56.8642578125,0.70746910572052,0.8544382452964783,0.09908273071050644,32012.51171875,52050.83984375,9794.580078125,178.92040609933233,228.14653151812323,98.96757084078097,0.38200128078460693,-0.08159148693084717,0.10753661394119263,158.0089111328125
7,0.0009969804777275899,108.98380550261467,174.86981201171875,70.03788757324219,109.47993469238281,175.36981201171875,70.53787994384766,62.49261474609375,144.6767578125,48.914947509765625,0.6818526983261108,0.8502582907676697,0.09713377803564072,29032.44140625,51842.82421875,9154.890625,170.38908828399195,227.69019350589082,95.68119263993316,0.43953120708465576,-0.07726895809173584,0.16582387685775757,158.0089111328125
8,0.000996057350657239,100.01305167905745,171.8460235595703,72.84634399414062,100.51165771484375,172.3459930419922,73.34634399414062,46.943359375,126.9249267578125,52.389434814453125,0.6411743760108948,0.8313040137290955,0.10203316062688828,25335.3515625,49459.203125,9928.7587890625,159.1708250983829,222.3942515556551,99.6431572616128,0.5109031796455383,-0.027738571166992188,0.0953105092048645,158.0089111328125
9,0.0009950118288582787,99.24972977176789,162.45022583007812,76.61711120605469,99.74960327148438,162.95021057128906,77.11710357666016,49.776947021484375,123.654541015625,45.666351318359375,0.6136034727096558,0.8010267615318298,0.10717654228210449,24012.521484375,45422.53515625,11796.6689453125,154.9597414955736,213.12563233044025,108.61247140781072,0.536440372467041,0.056141555309295654,-0.0748898983001709,158.0089111328125
10,0.0009938441702975688,95.48167390720819,153.79299926757812,73.9063949584961,95.98167419433594,154.29298400878906,74.4063949584961,52.37176513671875,107.9676513671875,48.51727294921875,0.5907516479492188,0.7780870199203491,0.10326755046844482,23069.451171875,42939.21484375,11539.9169921875,151.8863100212623,207.21779567341702,107.42400566068787,0.5546461939811707,0.10774374008178711,-0.05149507522583008,153.79299926757812
11,0.000992554663077387,86.26932591263966,148.77923583984375,68.6192398071289,86.76704406738281,149.27923583984375,69.1192398071289,45.75091552734375,109.06671142578125,50.23114013671875,0.5564570426940918,0.7659623622894287,0.09655220061540604,19695.03125,41618.7265625,10146.9248046875,140.33898692095508,204.00668264177034,100.73194530379874,0.6197891235351562,0.13518279790878296,0.07543158531188965,148.77923583984375
12,0.0009911436253643444,87.86684155207809,144.2965545654297,65.72953796386719,88.3668441772461,144.79656982421875,66.21562957763672,42.6142578125,109.37091064453125,51.951995849609375,0.5476335883140564,0.7541625499725342,0.09343091398477554,19455.80078125,40317.5390625,8731.33984375,139.48405206779017,200.79227839361752,93.4416387043271,0.6244074106216431,0.16222089529037476,0.20441704988479614,144.2965545654297
13,0.000989611405310883,82.24375771963469,140.42758178710938,63.82025146484375,82.7411117553711,140.92758178710938,64.32025146484375,48.385009765625,102.79736328125,47.850799560546875,0.49416583776474,0.7474148273468018,0.09040022641420364,15917.6435546875,39698.34375,8381.1201171875,126.16514397680328,199.2444321681286,91.5484577542817,0.6927112340927124,0.17508745193481445,0.23632842302322388,140.42758178710938
14,0.0009879583809693738,76.42599085325836,139.44488525390625,45.85627365112305,76.92076873779297,139.94488525390625,46.35627365112305,40.49334716796875,89.115966796875,32.3997802734375,0.4882221817970276,0.748930037021637,0.06435921788215637,15270.7705078125,40026.78125,3803.855712890625,123.5749590645795,200.06694192194772,61.67540606182196,0.705199122428894,0.16826272010803223,0.6533999443054199,139.44488525390625
15,0.0009861849601988384,78.16478212418095,136.65797424316406,47.740753173828125,78.65726470947266,137.15797424316406,48.240753173828125,47.06024169921875,85.98260498046875,24.48565673828125,0.46027523279190063,0.7387778759002686,0.06637657433748245,14385.5869140625,39063.140625,4988.78076171875,119.93993044046049,197.64397442117988,70.63130157174473,0.7222874760627747,0.1882866621017456,0.5454318523406982,136.65797424316406
16,0.0009842915805643156,68.57449394144038,136.41122436523438,45.69895935058594,69.0721664428711,136.9112091064453,46.19895935058594,34.88739013671875,69.80633544921875,16.032623291015625,0.41711774468421936,0.7340680956840515,0.06315455585718155,12513.802734375,38757.9609375,5645.05712890625,111.86510954884459,196.87041661331446,75.13359520817734,0.7584221363067627,0.19462817907333374,0.4856331944465637,136.41122436523438
