epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,184.74507502073882,184.64645385742188,157.01846313476562,185.2411651611328,185.14645385742188,157.51844787597656,146.14080810546875,145.48822021484375,98.35299682617188,0.9457306265830994,0.9676617980003357,0.6965739130973816,66308.5625,64372.015625,48632.52734375,257.5044902521119,253.7164078750131,220.5278380244771,-0.36635875701904297,-0.3376196622848511,-0.020461320877075195,184.64645385742188
2,0.0009997532801828658,143.63046034946237,191.7778778076172,136.63540649414062,144.1295928955078,192.27789306640625,137.13539123535156,81.96551513671875,113.15740966796875,126.81137084960938,0.8424229025840759,0.9766517877578735,0.6631443500518799,49435.33203125,65107.47265625,38671.1875,222.3405766639324,255.1616598477326,196.64991100938744,-0.018667936325073242,-0.35290205478668213,0.1885584592819214,184.64645385742188
3,0.0009994449374809851,132.92469131305654,184.434326171875,139.4864959716797,133.4246826171875,184.93431091308594,139.9864959716797,64.83746337890625,116.59039306640625,120.561279296875,0.8080488443374634,0.9370263814926147,0.6441150307655334,44689.07421875,60364.65234375,38129.53515625,211.3979049535496,245.69219023760198,195.26785489744594,0.07913386821746826,-0.2543485164642334,0.19992399215698242,184.434326171875
4,0.0009990133642141358,125.42123347456737,163.6402587890625,144.6867218017578,125.92095947265625,164.14022827148438,145.1867218017578,67.56988525390625,120.29425048828125,105.39846801757812,0.7436919808387756,0.8781047463417053,0.6219269633293152,37724.140625,54289.96484375,38395.484375,194.22703371312656,233.00207047095097,195.94765723274162,0.22265374660491943,-0.12811946868896484,0.19434356689453125,163.6402587890625
5,0.000998458666866564,114.71501159667969,157.78636169433594,143.103515625,115.21273040771484,158.28636169433594,143.60353088378906,56.228271484375,109.92108154296875,100.26025390625,0.6834511756896973,0.8520916104316711,0.6042571663856506,32117.734375,51593.859375,37048.23046875,179.21421365226587,227.1428171327458,192.47916892160046,0.3381797671318054,-0.07209563255310059,0.2226131558418274,157.78636169433594
6,0.00099778098230154,112.72158944734963,155.8730926513672,134.37960815429688,113.22158813476562,156.3730926513672,134.8795928955078,60.3585205078125,96.134765625,89.48373413085938,0.6572086811065674,0.8360445499420166,0.5823491811752319,30058.005859375,50050.4140625,32935.796875,173.37244838605412,223.71949861936486,181.48222192545472,0.38062262535095215,-0.0400235652923584,0.308904767036438,155.8730926513672
7,0.0009969804777275899,104.75835943734774,162.54371643066406,124.6566390991211,105.25836181640625,163.043701171875,125.15664672851562,56.53961181640625,79.676025390625,81.15841674804688,0.6299974322319031,0.842515766620636,0.5622460246086121,27037.59375,51287.27734375,28699.130859375,164.4311215980722,226.46694536675767,169.40817825410613,0.44286149740219116,-0.06572508811950684,0.3978031277656555,155.8730926513672
8,0.000996057350657239,118.45044790288453,158.85609436035156,117.0039291381836,118.95045471191406,159.35609436035156,117.5039291381836,50.93572998046875,84.5657958984375,76.06271362304688,0.6505643129348755,0.827715277671814,0.539522111415863,49305.97265625,49923.515625,26222.767578125,222.04948244985846,223.43570803477226,161.93445457383368,-0.016002297401428223,-0.03738677501678467,0.4497649073600769,155.8730926513672
9,0.0009950118288582787,96.97647923295216,148.324951171875,112.19815063476562,97.47647857666016,148.82493591308594,112.69815826416016,47.90618896484375,102.47222900390625,74.75820922851562,0.6029680967330933,0.7954170107841492,0.5095164179801941,24859.54296875,46042.734375,25286.681640625,157.66909325784175,214.5757077933101,159.01786579068718,0.48774254322052,0.043254077434539795,0.4694069027900696,148.324951171875
10,0.0009938441702975688,92.95569610595703,147.39990234375,112.9720458984375,93.45465850830078,147.89991760253906,113.4720458984375,44.3045654296875,100.0997314453125,84.14035034179688,0.571739137172699,0.7889505624771118,0.4960620403289795,22513.55078125,44861.078125,24863.333984375,150.04516247200374,211.80433924969526,157.68111486279832,0.5360841751098633,0.06780833005905151,0.4782900810241699,147.39990234375
11,0.000992554663077387,94.13405051282658,149.780517578125,108.96371459960938,94.63406372070312,150.28053283691406,109.46371459960938,55.91748046875,101.376708984375,81.10076904296875,0.5626358389854431,0.7949478030204773,0.4872877895832062,22188.81640625,46154.6328125,23340.59375,148.95910984646088,214.8362930524077,152.77628660888442,0.5427757501602173,0.04092884063720703,0.5102418661117554,147.39990234375
12,0.0009911436253643444,86.84998723512055,150.55833435058594,102.0986557006836,87.3479995727539,151.0583038330078,102.5986557006836,38.4742431640625,89.0404052734375,78.744384765625,0.5373839735984802,0.7959980368614197,0.47954729199409485,20220.041015625,47650.5546875,21593.689453125,142.19719060384068,218.29007006160404,146.94791408225228,0.5833444595336914,0.009844362735748291,0.5468973517417908,147.39990234375
13,0.000989611405310883,85.26155590754684,149.17799377441406,100.61653900146484,85.75599670410156,149.677978515625,101.11654663085938,42.61370849609375,81.1263427734375,74.5780029296875,0.5332081913948059,0.7866322994232178,0.4774796664714813,19697.64453125,46851.328125,20603.865234375,140.34829721535633,216.451676188936,143.54046549449043,0.5941089987754822,0.02645188570022583,0.5676669478416443,147.39990234375
14,0.0009879583809693738,79.9966313351867,147.486572265625,101.35479736328125,80.49662780761719,147.98655700683594,101.85478973388672,36.888671875,75.66925048828125,84.19442749023438,0.5177024006843567,0.7743855118751526,0.4764368534088135,18264.1796875,45671.05078125,20347.365234375,135.14503204890664,213.70786317131618,142.64419102920036,0.6236470937728882,0.050977468490600586,0.5730491280555725,147.39990234375
15,0.0009861849601988384,75.11791623023248,144.39938354492188,104.58389282226562,75.61312103271484,144.89935302734375,105.0838851928711,30.5931396484375,76.674072265625,94.45843505859375,0.48712536692619324,0.7592138051986694,0.47652432322502136,16417.767578125,43784.359375,20929.8359375,128.13183670784167,209.24712512959408,144.67147589452455,0.661694347858429,0.09018206596374512,0.5608270764350891,144.39938354492188
16,0.0009842915805643156,79.69785604169292,140.94911193847656,105.43333435058594,80.1978530883789,141.44908142089844,105.9333267211914,36.17498779296875,72.14910888671875,97.87484741210938,0.4889027178287506,0.7413869500160217,0.46802401542663574,17004.37890625,41298.0390625,20970.158203125,130.40083936175412,203.2191897004316,144.8107668756885,0.6496065855026245,0.14184653759002686,0.5599809885025024,140.94911193847656
17,0.000982278709228899,71.73922532604587,140.363037109375,102.22117614746094,72.23812103271484,140.8628387451172,102.7211685180664,36.069580078125,63.984100341796875,93.7127685546875,0.45590415596961975,0.7314831018447876,0.45759811997413635,14386.0654296875,40302.97265625,20271.138671875,119.94192523753944,200.7560027900785,142.37674905642072,0.7035597562789917,0.16252350807189941,0.5746485590934753,140.363037109375
18,0.0009801468428384716,77.83043358915596,141.8047637939453,99.08544921875,78.33043670654297,142.30474853515625,99.58544921875,42.3558349609375,60.049041748046875,78.22900390625,0.45146071910858154,0.7311343550682068,0.4524085819721222,14781.86328125,40971.9296875,19600.634765625,121.58068630029196,202.4152407490602,140.00226700173465,0.6954038739204407,0.14862298965454102,0.5887178182601929,140.363037109375
19,0.000977896507399165,72.46901292698358,143.94354248046875,95.0091781616211,72.96900939941406,144.44195556640625,95.50918579101562,37.163818359375,60.811981201171875,59.013275146484375,0.4398113489151001,0.7362003922462463,0.449788361787796,13809.4169921875,42508.05859375,19145.474609375,117.51347578974719,206.17482531519215,138.3671731639228,0.7154421806335449,0.11670291423797607,0.5982685089111328,140.363037109375
20,0.0009755282581475768,70.01780745803669,144.75637817382812,92.4942855834961,70.51161193847656,145.25636291503906,92.9942855834961,39.96868896484375,60.164825439453125,45.65484619140625,0.4318554699420929,0.7366291284561157,0.4481792151927948,13141.5751953125,42850.9921875,19022.693359375,114.63670963226613,207.00481199117087,137.9227804221442,0.7292037606239319,0.10957694053649902,0.6008448600769043,140.363037109375
21,0.0009730426794137727,70.59110448693717,143.90176391601562,92.1993637084961,71.0899429321289,144.40174865722656,92.69937133789062,33.4947509765625,58.251617431640625,42.709991455078125,0.4315451681613922,0.73264479637146,0.4436694383621216,14812.4892578125,42207.96484375,18995.8203125,121.70657031488686,205.4457710534583,137.82532536692958,0.6947728395462036,0.12293875217437744,0.6014087200164795,140.363037109375
22,0.0009704403844771128,63.942404347081336,145.49844360351562,93.31231689453125,64.43904113769531,145.9984588623047,93.81231689453125,34.14801025390625,62.425689697265625,50.058349609375,0.3852232098579407,0.7335901260375977,0.44441017508506775,10840.21875,42414.484375,19081.927734375,104.11637119108599,205.9477709881804,138.1373509749445,0.7766256928443909,0.11864739656448364,0.5996019244194031,140.363037109375
23,0.0009677220154149337,60.30003008278467,143.483154296875,94.25362396240234,60.8000373840332,143.98313903808594,94.75362396240234,34.166259765625,63.29815673828125,55.07708740234375,0.3498041033744812,0.7258407473564148,0.44791093468666077,9418.59765625,40605.51953125,18856.173828125,97.04945984522531,201.50811281744961,137.31778409268406,0.8059197664260864,0.15623676776885986,0.6043388843536377,140.363037109375
24,0.0009648882429441257,56.80453253305087,140.95068359375,94.71040344238281,57.304508209228516,141.45066833496094,95.21039581298828,29.878173828125,68.65509033203125,59.42669677734375,0.3221703767776489,0.7174147963523865,0.45057523250579834,8843.6572265625,38685.5390625,18584.287109375,94.04072110826512,196.6863977566827,136.32419854660802,0.8177669644355774,0.1961330771446228,0.6100439429283142,140.363037109375
25,0.0009619397662556434,54.32582625522409,137.72630310058594,93.4269027709961,54.82582473754883,138.22630310058594,93.9269027709961,25.263671875,67.587646484375,66.63430786132812,0.31069567799568176,0.7088739275932312,0.4494517743587494,7957.65380859375,36775.87890625,18004.2265625,89.20568260258844,191.77038068025522,134.17982919388442,0.8360240459442139,0.2358148694038391,0.6222154498100281,137.72630310058594
26,0.0009588773128419905,52.06131092194588,135.5977783203125,91.0365219116211,52.55219268798828,136.09776306152344,91.53643798828125,27.34112548828125,64.258544921875,66.48529052734375,0.2889251112937927,0.6974494457244873,0.4423058331012726,7513.69970703125,35440.78125,17141.41015625,86.68159958740523,188.25722097704514,130.9252082536056,0.8451721668243408,0.2635575532913208,0.6403200030326843,135.5977783203125
27,0.0009557016383177226,50.789753739551834,134.7918701171875,92.56143188476562,51.287818908691406,135.29185485839844,93.0614242553711,35.5313720703125,59.81494140625,74.57760620117188,0.2590791583061218,0.6850406527519226,0.43562236428260803,6677.953125,34691.62890625,16714.388671875,81.71874402485638,186.25688955378268,129.28413928968627,0.8623936176300049,0.27912455797195435,0.6492801904678345,134.7918701171875
28,0.0009524135262330098,50.765089588780555,132.6575927734375,95.77505493164062,51.26509094238281,133.15760803222656,96.27505493164062,35.71600341796875,64.99508666992188,78.509521484375,0.24562884867191315,0.6715521216392517,0.4289400577545166,5833.98095703125,33755.80859375,16668.34765625,76.38050115724072,183.72753901837905,129.1059551540904,0.8797845840454102,0.29857051372528076,0.6502463221549988,132.6575927734375
29,0.0009490137878803078,45.417771985453946,136.3980255126953,92.44169616699219,45.91413497924805,136.89801025390625,92.94168853759766,27.4425048828125,59.604736328125,84.5360107421875,0.2480936199426651,0.6800714731216431,0.4214004576206207,5228.76123046875,35310.6640625,16117.3291015625,72.31017376876333,187.9113196763303,126.9540432659098,0.8922557830810547,0.26626133918762207,0.6618083715438843,132.6575927734375
30,0.0009455032620941839,39.90376679615308,140.50697326660156,88.23531341552734,40.389137268066406,141.00694274902344,88.73531341552734,24.3447265625,52.86859130859375,79.64785766601562,0.20593959093093872,0.6905031204223633,0.41200852394104004,4542.310546875,37100.46484375,15208.6689453125,67.39666569552978,192.61480951305379,123.3234322637531,0.9064008593559265,0.22907012701034546,0.6808749437332153,132.6575927734375
31,0.0009418828150443468,40.583888392294604,143.35867309570312,84.56753540039062,41.081520080566406,143.85867309570312,85.05343627929688,26.2767333984375,58.28424072265625,60.7091064453125,0.2102884203195572,0.6926672458648682,0.39611566066741943,4521.7197265625,37728.31640625,13827.1474609375,67.24373373454586,194.23778315829801,117.58889174125888,0.9068251252174377,0.21602368354797363,0.709863543510437,132.6575927734375
