epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,173.36203331075689,201.23025512695312,214.9943084716797,173.8620147705078,201.7302703857422,215.49432373046875,114.13885498046875,131.58489990234375,87.28192138671875,0.7491313219070435,1.037096381187439,2.1907265186309814,57509.046875,75667.71875,123670.2578125,239.81043946208848,275.07765948909775,351.66782311223756,-0.24029314517974854,-0.5723388195037842,-1.3721544742584229,201.23025512695312
2,0.0009997532801828658,148.6085908951298,212.24505615234375,205.51300048828125,149.1085968017578,212.74505615234375,206.0130157470703,86.2313232421875,115.78839111328125,50.8079833984375,0.7169897556304932,1.0387110710144043,2.123785972595215,46761.859375,76563.0703125,116456.1171875,216.24490600936707,276.7003258265158,341.2566734695455,-0.008509516716003418,-0.5909439325332642,-1.2337779998779297,201.23025512695312
3,0.0009994449374809851,136.55841097267725,197.9159698486328,192.7439422607422,137.05384826660156,198.41600036621094,193.2439422607422,84.80718994140625,118.191650390625,54.89227294921875,0.6627418398857117,0.974504828453064,2.009486675262451,39144.3203125,65425.5390625,104536.7421875,197.8492363202345,255.7841649956072,323.3214224073314,0.1557774543762207,-0.3595113754272461,-1.0051488876342773,197.9159698486328
4,0.0009990133642141358,116.55946062969905,169.39573669433594,185.96810913085938,117.05947875976562,169.89573669433594,186.4680938720703,70.7335205078125,101.53546142578125,52.447357177734375,0.6084538102149963,0.8889226317405701,1.8900617361068726,31855.4453125,53475.16015625,91813.5078125,178.48093823291046,231.24696788552708,303.00743854318165,0.31297606229782104,-0.11118817329406738,-0.7611011266708374,169.39573669433594
5,0.000998458666866564,109.96587732786773,149.27468872070312,176.98260498046875,110.46446228027344,149.77468872070312,177.4826202392578,46.59185791015625,79.4737548828125,62.51715087890625,0.5759735703468323,0.8292996883392334,1.7893873453140259,29703.205078125,47038.63671875,82275.9921875,172.3461780200681,216.88392452819087,286.8379197168673,0.35939323902130127,0.022559702396392822,-0.5781593322753906,149.27468872070312
6,0.00099778098230154,94.55240549067015,137.60646057128906,169.98558044433594,95.05046844482422,138.10646057128906,170.48558044433594,50.19500732421875,60.30975341796875,69.17167663574219,0.5226780772209167,0.7941836714744568,1.715122103691101,23921.658203125,43759.2890625,75705.203125,154.66628011019404,209.1872105614968,275.14578522121684,0.4840834140777588,0.09070295095443726,-0.4521230459213257,137.60646057128906
7,0.0009969804777275899,95.70973943894909,130.18519592285156,162.03610229492188,96.2097396850586,130.68519592285156,162.53610229492188,44.98370361328125,50.863800048828125,69.64080810546875,0.5135929584503174,0.7751125693321228,1.65486478805542,22973.265625,42432.4765625,70784.34375,151.56934262904224,205.99144778970802,266.05327239107584,0.5045373439788818,0.11827349662780762,-0.35773468017578125,130.18519592285156
8,0.000996057350657239,93.47024552540113,134.90072631835938,160.11993408203125,93.9702377319336,135.4007110595703,160.6199188232422,48.650054931640625,66.763916015625,54.88360595703125,0.4954368770122528,0.7895164489746094,1.6246494054794312,22154.7578125,43821.37890625,68471.3984375,148.8447439868133,209.33556531619274,261.6704003847206,0.5221900343894958,0.08941274881362915,-0.31336939334869385,130.18519592285156
9,0.0009950118288582787,84.988281742219,140.63299560546875,157.1104736328125,85.48828887939453,141.13299560546875,157.61045837402344,42.32318115234375,71.08154296875,49.478607177734375,0.47833386063575745,0.8060814142227173,1.6017905473709106,19989.078125,46281.93359375,66963.625,141.38273630468467,215.13236296231676,258.77330812894905,0.5688971281051636,0.03828364610671997,-0.28444838523864746,130.18519592285156
10,0.0009938441702975688,84.27803019041656,146.9295654296875,156.2161102294922,84.77639770507812,147.42955017089844,156.7161102294922,41.28997802734375,63.18963623046875,46.26812744140625,0.4704870283603668,0.8203216195106506,1.592164397239685,19225.294921875,48950.2734375,66263.78125,138.65530975002363,221.24708684522832,257.4175231991793,0.5853695273399353,-0.01716315746307373,-0.2710244655609131,130.18519592285156
