epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,239.8910541273143,193.6356658935547,161.9944305419922,240.39035034179688,194.1356658935547,162.4944305419922,237.0322265625,156.06417846679688,148.38157653808594,1.0592151880264282,1.2185747623443604,0.6115798950195312,72590.875,52251.8125,37609.47265625,269.4269381483596,228.58655362903568,193.93161850572486,-0.31062281131744385,-0.11467623710632324,0.38797593116760254,193.6356658935547
2,0.0009997532801828658,148.30949297343216,132.30459594726562,140.91964721679688,148.808837890625,132.80459594726562,141.41964721679688,126.36430358886719,133.56173706054688,135.32327270507812,0.7004666328430176,0.776237428188324,0.4436030089855194,33791.765625,25304.1015625,29405.28125,183.82536719669568,159.0726298346136,171.4796817410156,0.38989222049713135,0.4601932764053345,0.5214838981628418,132.30459594726562
3,0.0009994449374809851,123.04891204833984,106.96564483642578,126.11268615722656,123.54849243164062,107.46564483642578,126.61268615722656,104.09262084960938,105.6406021118164,101.92559814453125,0.492811918258667,0.5117469429969788,0.3375297784805298,22929.109375,17242.810546875,25023.37109375,151.42360904099465,131.31188273296138,158.18777163153288,0.5860166549682617,0.6321629285812378,0.5927913188934326,106.96564483642578
4,0.0009990133642141358,102.59727133136906,88.7257080078125,104.68820190429688,103.09718322753906,89.22561645507812,105.18820190429688,84.83151245117188,85.58381652832031,76.21124267578125,0.3799150288105011,0.4012390673160553,0.2765747308731079,17538.666015625,13392.384765625,18327.044921875,132.43362871878503,115.72547155067029,135.37741658738727,0.6833407282829285,0.7143032550811768,0.7017614841461182,88.7257080078125
5,0.000998458666866564,87.0845378718964,75.23365020751953,96.91178131103516,87.5827407836914,75.73365783691406,97.41177368164062,67.73229217529297,56.49256896972656,84.51799011230469,0.33623719215393066,0.35819321870803833,0.2823711633682251,14659.4384765625,10453.716796875,14778.58203125,121.07616807845588,102.24341933285976,121.56719142618209,0.7353249788284302,0.7769931554794312,0.759506106376648,75.23365020751953
6,0.00099778098230154,78.28349544577402,69.75298309326172,96.24198150634766,78.78113555908203,70.25299072265625,96.7385482788086,65.57489013671875,45.6527099609375,88.39753723144531,0.31958985328674316,0.320441871881485,0.2862364649772644,11037.869140625,8955.4228515625,13778.720703125,105.06126374941908,94.63309596310637,117.38279560108032,0.8007121086120605,0.8089559674263,0.7757769823074341,69.75298309326172
7,0.0009969804777275899,69.84880990851416,63.45041275024414,92.4045181274414,70.3458023071289,63.94974899291992,92.90451049804688,54.046295166015625,40.06476593017578,78.92562866210938,0.2838027775287628,0.30576980113983154,0.2681836187839508,9313.9365234375,7384.07568359375,13345.693359375,96.50873806779104,85.93064461293044,115.52356192299041,0.8318375945091248,0.8424771428108215,0.7828237414360046,63.45041275024414
8,0.000996057350657239,60.37752606117562,58.79036331176758,86.89847564697266,60.87729263305664,59.29036331176758,87.39847564697266,41.388214111328125,39.38945770263672,74.76332092285156,0.23241597414016724,0.3219378888607025,0.23878046870231628,7345.39404296875,6644.25439453125,12671.6201171875,85.70527430076139,81.51229597141311,112.56829090462153,0.8673794865608215,0.8582596182823181,0.7937930226325989,58.79036331176758
9,0.0009950118288582787,56.193373013849126,57.75967025756836,81.06312561035156,56.685752868652344,58.25382995605469,81.56312561035156,40.43072509765625,40.58148956298828,67.24575805664062,0.2247728854417801,0.33057287335395813,0.20562776923179626,6335.17529296875,6132.572265625,12334.8974609375,79.59381441399043,78.31074170013332,111.06258353260786,0.8856188654899597,0.8691751956939697,0.7992725372314453,57.75967025756836
10,0.0009938441702975688,52.11205187235793,56.111690521240234,80.79784393310547,52.6109619140625,56.60111999511719,81.2970199584961,37.11236572265625,35.151397705078125,59.683380126953125,0.21549397706985474,0.32345840334892273,0.21416638791561127,5695.46728515625,6154.123046875,12272.263671875,75.46831974515035,78.4482188891182,110.78024946656782,0.897168755531311,0.8687154650688171,0.8002917766571045,56.111690521240234
11,0.000992554663077387,46.8284659712282,57.19235610961914,77.67660522460938,47.32506561279297,57.69236373901367,78.16641235351562,31.74786376953125,37.54950714111328,51.75897216796875,0.18092891573905945,0.32035166025161743,0.19733738899230957,4555.54052734375,6227.103515625,12660.6982421875,67.49474444239159,78.91199855297673,112.51976822846508,0.9177500605583191,0.8671585917472839,0.7939707636833191,56.111690521240234
12,0.0009911436253643444,44.250447939520015,54.91387176513672,74.61075592041016,44.75044631958008,55.41387176513672,75.09934997558594,32.3553466796875,34.013946533203125,49.15879821777344,0.17491620779037476,0.2996607720851898,0.18312935531139374,3913.748291015625,5913.162109375,12569.0439453125,62.5599575688445,76.89708778214556,112.11174757942408,0.9293375611305237,0.8738558292388916,0.7954622507095337,54.91387176513672
13,0.000989611405310883,42.06985290736368,53.65940475463867,72.3882827758789,42.56500244140625,54.155517578125,72.87445831298828,31.156982421875,37.094451904296875,44.0101318359375,0.15549631416797638,0.28285783529281616,0.17817512154579163,3603.64208984375,5777.95703125,12092.2998046875,60.03034307617898,76.01287411517868,109.96499354197908,0.9349365234375,0.8767400979995728,0.8032203912734985,53.65940475463867
14,0.0009879583809693738,38.853614807128906,52.852294921875,70.68091583251953,39.35169219970703,53.352294921875,71.18091583251953,26.914474487304688,34.669044494628906,46.422119140625,0.14879877865314484,0.2593947649002075,0.16958263516426086,3122.466064453125,5478.1826171875,11179.8056640625,55.87903063272595,74.01474594422046,105.7346001272171,0.9436241388320923,0.8831351399421692,0.8180695176124573,52.852294921875
15,0.0009861849601988384,36.165830429286174,53.71073913574219,66.47863006591797,36.665283203125,54.21073913574219,66.97257995605469,24.804534912109375,37.378265380859375,51.26527404785156,0.13669757544994354,0.25213873386383057,0.1539979726076126,2665.648681640625,5224.8271484375,11161.5595703125,51.62992041094606,72.28296582485738,105.64828238221622,0.951871931552887,0.8885399103164673,0.8183664083480835,52.852294921875
16,0.0009842915805643156,36.283925252417994,56.344905853271484,67.23384857177734,36.77924728393555,56.83730697631836,67.72175598144531,28.482192993164062,41.140682220458984,52.695587158203125,0.13409104943275452,0.25926342606544495,0.17211224138736725,2583.9765625,5522.15576171875,11456.74609375,50.8328295740066,74.3112088565295,107.03619057940169,0.9533464908599854,0.8821970820426941,0.81356281042099,52.852294921875
17,0.000982278709228899,34.86785904348713,52.45039749145508,66.70781707763672,35.36408996582031,52.95038604736328,67.20781707763672,26.146209716796875,36.780548095703125,56.23805236816406,0.13310940563678741,0.22436775267124176,0.17142264544963837,2734.901611328125,4955.34521484375,11072.6357421875,52.29628678336661,70.39421293575026,105.22659237183109,0.9506215453147888,0.8942887187004089,0.8198134899139404,52.45039749145508
18,0.0009801468428384716,32.896710278236704,51.38727569580078,67.58818817138672,33.39450454711914,51.864837646484375,68.08819580078125,22.401885986328125,33.75951385498047,50.07305908203125,0.1231098473072052,0.22556962072849274,0.1651773303747177,2345.247314453125,5410.0341796875,9594.763671875,48.4277535557156,73.5529345416449,97.95286454144667,0.957656741142273,0.8845889568328857,0.8438631296157837,51.38727569580078
19,0.000977896507399165,31.666159773526125,51.15432357788086,65.66031646728516,32.16484069824219,51.65432357788086,66.16030883789062,24.18695068359375,35.23931884765625,36.80274963378906,0.12367576360702515,0.2395937442779541,0.1504361927509308,2082.552490234375,4612.1630859375,10470.802734375,45.63499194953775,67.91290809512945,102.32694041343657,0.9623996615409851,0.9016097784042358,0.8296071887016296,51.15432357788086
20,0.0009755282581475768,31.348611805536976,54.77056121826172,67.4836196899414,31.847110748291016,55.27056121826172,67.98361206054688,23.719329833984375,38.99031066894531,59.61616516113281,0.11280395835638046,0.2573665380477905,0.16000758111476898,2006.041259765625,5788.55908203125,9974.8583984375,44.788851958558006,76.08258067410208,99.87421288018994,0.9637810587882996,0.8765139579772949,0.8376777768135071,51.15432357788086
21,0.0009730426794137727,30.242603302001953,56.74129867553711,65.0710678100586,30.73807144165039,57.24129867553711,65.57102966308594,23.414154052734375,38.748756408691406,50.438873291015625,0.1162276566028595,0.28265437483787537,0.15825629234313965,1912.967041015625,5583.416015625,10551.37109375,43.73747867693822,74.72225917104622,102.71986708397748,0.9654615521430969,0.8808902502059937,0.8282960653305054,51.15432357788086
22,0.0009704403844771128,30.869743843601174,54.06742477416992,64.99073791503906,31.364307403564453,54.56742477416992,65.47967529296875,21.072463989257812,40.75447082519531,47.93335723876953,0.11616841703653336,0.2588978707790375,0.15979376435279846,2141.964599609375,5220.08935546875,10567.970703125,46.28136341562741,72.25018585075577,102.8006357136229,0.9613270163536072,0.8886409997940063,0.8280259966850281,51.15432357788086
23,0.0009677220154149337,27.954712044702816,52.99789047241211,66.43185424804688,28.452302932739258,53.49789810180664,66.93183898925781,20.20220947265625,40.977813720703125,49.815086364746094,0.11160259693861008,0.24644464254379272,0.1682061403989792,1564.4232177734375,5000.9453125,10685.2158203125,39.55279026533321,70.71736217153465,103.3693175962408,0.9717544317245483,0.8933159708976746,0.826117992401123,51.15432357788086
24,0.0009648882429441257,27.775283996373005,52.29262924194336,64.05699920654297,28.267173767089844,52.792625427246094,64.55699920654297,19.845565795898438,44.41710662841797,50.503211975097656,0.10586348921060562,0.2352478802204132,0.16290682554244995,1692.544677734375,4614.81982421875,10964.38671875,41.14054785408642,67.93246517107082,104.71096751892803,0.9694412350654602,0.9015530943870544,0.8215750455856323,51.15432357788086
