epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,239.68082501137093,193.02517700195312,161.7809295654297,240.18081665039062,193.52516174316406,162.28091430664062,237.55584716796875,172.49270629882812,132.55282592773438,1.009407877922058,1.2151075601577759,1.0208885669708252,73990.3046875,52510.71484375,40025.65234375,272.01158925218607,229.15216526088074,200.0641205807528,-0.31058812141418457,-0.12019944190979004,0.26515698432922363,193.02517700195312
2,0.0009997532801828658,135.75408622010113,133.0973358154297,136.41015625,136.25177001953125,133.59732055664062,136.91015625,116.37054443359375,129.00697326660156,112.59327697753906,0.6363490223884583,0.7700257301330566,0.7049529552459717,28449.021484375,25095.244140625,29086.75,168.66837725067197,158.41478510740404,170.548380232707,0.4960833787918091,0.4646487236022949,0.4659876227378845,133.0973358154297
3,0.0009994449374809851,120.11699718318573,108.40787506103516,123.08243560791016,120.615966796875,108.90786743164062,123.58245086669922,101.10798645019531,114.70391082763672,106.97140502929688,0.4447440505027771,0.4954846203327179,0.5628800988197327,23011.4296875,18236.919921875,24020.228515625,151.6951867644455,135.0441406425136,154.98460735061724,0.5923992395401001,0.6109558343887329,0.5590053796768188,108.40787506103516
4,0.0009990133642141358,100.06468096171339,95.04598999023438,108.3087387084961,100.56454467773438,95.54598999023438,108.80873107910156,83.9966049194336,77.18051147460938,89.15817260742188,0.34546583890914917,0.45119550824165344,0.5664970874786377,17000.798828125,14807.83203125,17897.40625,130.38711143408693,121.68743579864767,133.7811879525668,0.6988654136657715,0.6841078400611877,0.671416163444519,95.04598999023438
5,0.000998458666866564,87.29546868311216,93.14371490478516,103.0983657836914,87.79513549804688,93.64248657226562,103.59837341308594,71.21452331542969,80.3609619140625,92.76438903808594,0.33843138813972473,0.4681510925292969,0.5592794418334961,13364.7509765625,13951.50390625,15501.90234375,115.60601617806272,118.11648448142198,124.50663574183505,0.7632705569267273,0.7023756504058838,0.7153959274291992,93.14371490478516
6,0.00099778098230154,74.04966108766321,81.2831802368164,90.22068786621094,74.54717254638672,81.78317260742188,90.71147918701172,56.110565185546875,58.20378112792969,72.52473449707031,0.2858222723007202,0.37158775329589844,0.4487437605857849,9915.6630859375,10988.267578125,12300.6865234375,99.57742257127114,104.82493776828585,110.90846010759279,0.824364185333252,0.765589714050293,0.7741680145263672,81.2831802368164
7,0.0009969804777275899,65.29914082566353,73.34391021728516,81.79776000976562,65.79843139648438,73.84390258789062,82.29776000976562,47.880340576171875,52.22013854980469,56.57505798339844,0.2472403347492218,0.33831265568733215,0.40960705280303955,7743.5693359375,9169.298828125,10293.88671875,87.9975530110781,95.75645580390389,101.45879320566551,0.8628383874893188,0.8043934106826782,0.8110114336013794,73.34391021728516
8,0.000996057350657239,58.63061512986275,73.42276000976562,79.36991882324219,59.130245208740234,73.91759490966797,79.8677978515625,45.874542236328125,59.4617919921875,70.23454284667969,0.22450165450572968,0.3603302836418152,0.4289974272251129,6146.65576171875,9423.310546875,10014.7890625,78.40061072286842,97.07373767850396,100.07391799315144,0.8911244869232178,0.7989746332168579,0.8161354660987854,73.34391021728516
9,0.0009950118288582787,52.437908277119675,71.93191528320312,75.36767578125,52.93107223510742,72.43191528320312,75.86236572265625,38.37498474121094,61.69671630859375,72.51148986816406,0.19618739187717438,0.3605310320854187,0.40480557084083557,5292.27783203125,9268.1328125,9088.4423828125,72.74804349280639,96.27114215848901,95.33332252057777,0.9062580466270447,0.8022849559783936,0.8331425189971924,71.93191528320312
10,0.0009938441702975688,48.403105696586714,69.60250091552734,71.10822296142578,48.90126037597656,70.10247039794922,71.60821533203125,31.21331787109375,50.91014099121094,66.20559692382812,0.1938391923904419,0.3480370342731476,0.3792344629764557,4750.564453125,8628.197265625,8123.59619140625,68.9243386121695,92.88809000956473,90.13099462119705,0.9158533811569214,0.8159365653991699,0.8508564233779907,69.60250091552734
11,0.000992554663077387,45.19658112199339,65.85210418701172,65.23612213134766,45.693695068359375,66.35159301757812,65.73611450195312,33.900634765625,45.83135986328125,59.97538757324219,0.16775158047676086,0.3214837908744812,0.35253000259399414,3881.39501953125,7436.677734375,7239.89306640625,62.300842847679434,86.23617416360143,85.08756117321879,0.9312489628791809,0.84135502576828,0.8670806288719177,65.85210418701172
12,0.0009911436253643444,40.80116496674002,65.07389068603516,64.60762023925781,41.29764938354492,65.57389831542969,65.10523223876953,30.855575561523438,50.32749938964844,57.87708282470703,0.14890262484550476,0.32723742723464966,0.358443945646286,3304.5927734375,7489.859375,7236.91064453125,57.48558752798392,86.543973649238,85.07003376354831,0.9414658546447754,0.8402205109596252,0.8671354055404663,65.07389068603516
13,0.000989611405310883,39.89893931558687,62.86180877685547,58.01999282836914,40.39335250854492,63.36180877685547,58.51692581176758,29.255218505859375,39.55939483642578,42.03211975097656,0.15268541872501373,0.3286661207675934,0.31103575229644775,3120.70458984375,7003.97216796875,5866.87158203125,55.863266909873346,83.68973753076747,76.59550627831408,0.9447230696678162,0.8505858182907104,0.892288327217102,62.86180877685547
14,0.0009879583809693738,38.215725885678644,58.05558395385742,57.68181228637695,38.71206283569336,58.55558395385742,58.18180847167969,26.306228637695312,44.664398193359375,49.029937744140625,0.14245377480983734,0.28817787766456604,0.32718169689178467,2867.913330078125,5989.34423828125,5818.13525390625,53.55290216298389,77.39085371205857,76.27670190763527,0.9492007493972778,0.8722306489944458,0.8931831121444702,58.05558395385742
15,0.0009861849601988384,34.54228241802895,54.87689208984375,58.4555549621582,35.03578186035156,55.372703552246094,58.95555114746094,25.12054443359375,38.93963623046875,40.96917724609375,0.12391192466020584,0.25388726592063904,0.32757768034935,2643.333984375,5535.58154296875,6082.10400390625,51.41336386947464,74.4014888491403,77.98784523184527,0.9531787037849426,0.8819106817245483,0.8883368372917175,54.87689208984375
16,0.0009842915805643156,31.912671729309917,57.00406265258789,54.29201889038086,32.40776443481445,57.50405502319336,54.77378463745117,27.294647216796875,44.485931396484375,39.97576904296875,0.11824291944503784,0.2812858819961548,0.28660398721694946,1853.9090576171875,5709.951171875,5320.57177734375,43.05704422759634,75.56421885968913,72.9422496043531,0.9671617746353149,0.8781908750534058,0.902318000793457,54.87689208984375
17,0.000982278709228899,29.986029638002996,61.74662399291992,63.80478286743164,30.48061180114746,62.24661636352539,64.29401397705078,21.801246643066406,39.82157897949219,53.34014892578125,0.10473618656396866,0.30490052700042725,0.3609452247619629,1768.219482421875,6876.826171875,7014.5009765625,42.050201930809735,82.92663125845039,83.75261772961188,0.9686795473098755,0.8532981872558594,0.8712186813354492,54.87689208984375
18,0.0009801468428384716,33.115604087098006,61.02486038208008,56.50191879272461,33.61528015136719,61.52486801147461,57.00191879272461,28.223388671875,50.19757080078125,44.269378662109375,0.12119501084089279,0.30399706959724426,0.32487034797668457,1916.1571044921875,6252.876953125,5396.5263671875,43.77393179156046,79.07513485998616,73.46105340374245,0.966059148311615,0.866608738899231,0.9009235501289368,54.87689208984375
19,0.000977896507399165,30.244776921729517,59.82386779785156,55.31232452392578,30.739404678344727,60.32387161254883,55.7999267578125,21.81500244140625,40.14933776855469,35.251190185546875,0.10550826042890549,0.2958013117313385,0.32049432396888733,1865.0914306640625,5750.0634765625,5568.15087890625,43.186704327420756,75.82917299141867,74.62004341265322,0.9669637084007263,0.8773351907730103,0.8977726697921753,54.87689208984375
20,0.0009755282581475768,28.496453141512937,56.97502899169922,51.09124755859375,28.987010955810547,57.47502899169922,51.59124755859375,22.375640869140625,45.490570068359375,34.34468078613281,0.09843245893716812,0.29125040769577026,0.283785879611969,1517.906005859375,5672.0810546875,4718.685546875,38.96031321562206,75.313219654238,68.69268918069083,0.9731133580207825,0.8789987564086914,0.9133682250976562,54.87689208984375
21,0.0009730426794137727,26.877600526156492,59.1280517578125,53.7310676574707,27.374902725219727,59.62725067138672,54.22425079345703,19.421600341796875,46.11112976074219,42.949462890625,0.09491448849439621,0.3094417154788971,0.2896451950073242,1474.900634765625,5949.83203125,5112.67578125,38.40443509239037,77.13515431533148,71.50297742926514,0.973875105381012,0.8730735778808594,0.906134843826294,54.87689208984375
22,0.0009704403844771128,27.079246677764473,55.82773971557617,59.12148666381836,27.570465087890625,56.32773971557617,59.61094665527344,21.936981201171875,45.135520935058594,52.60462188720703,0.09922909736633301,0.28149473667144775,0.30159223079681396,1355.19921875,5255.173828125,5651.91748046875,36.81303055644835,72.49257774506988,75.17923570021678,0.9759954214096069,0.8878925442695618,0.8962347507476807,54.87689208984375
23,0.0009677220154149337,24.71296252943065,50.99394607543945,59.54206848144531,25.208345413208008,51.49394607543945,60.04206848144531,19.083160400390625,39.87099075317383,45.11882019042969,0.09272395819425583,0.24573534727096558,0.27644386887550354,1230.3692626953125,4689.080078125,5413.0673828125,35.07661988697475,68.47685797497574,73.57355083732537,0.9782065153121948,0.8999689221382141,0.9006198644638062,50.99394607543945
24,0.0009648882429441257,26.11169470173039,56.0684700012207,64.96128845214844,26.60666847229004,56.56846618652344,65.46128845214844,18.740234375,36.6412353515625,55.91729736328125,0.09299881756305695,0.2559490501880646,0.33069220185279846,1445.15576171875,5435.06982421875,6814.1669921875,38.01520434929622,73.72292604216649,82.54796782591016,0.9744020104408264,0.8840548992156982,0.8748966455459595,50.99394607543945
25,0.0009619397662556434,25.517302055881448,53.583560943603516,58.10299301147461,26.012706756591797,54.083560943603516,58.60299301147461,20.9212646484375,38.08598327636719,44.002166748046875,0.08688438683748245,0.2540540397167206,0.28964611887931824,1236.252685546875,5252.03271484375,5632.4033203125,35.16038517347151,72.47090943850333,75.04933923967953,0.9781022667884827,0.8879595398902893,0.8965930342674255,50.99394607543945
26,0.0009588773128419905,22.233940150639782,56.411869049072266,57.01213836669922,22.728878021240234,56.91187286376953,57.51213073730469,18.63555908203125,36.81208038330078,44.813385009765625,0.07678494602441788,0.2788529694080353,0.28132960200309753,956.6472778320312,5903.99267578125,5734.431640625,30.929715126913653,76.83744318872961,75.72603013908098,0.9830549359321594,0.8740514516830444,0.8947198390960693,50.99394607543945
27,0.0009557016383177226,24.224406987020416,52.37293243408203,55.61806106567383,24.722394943237305,52.872928619384766,56.11806106567383,18.9483642578125,38.08473205566406,36.62049865722656,0.07816416770219803,0.26605716347694397,0.28542235493659973,1301.7296142578125,5583.501953125,5467.84375,36.07949021615761,74.72283421501757,73.94486966652927,0.9769424796104431,0.8808884024620056,0.8996142148971558,50.99394607543945
28,0.0009524135262330098,24.014249200690283,52.79375076293945,57.69650650024414,24.511234283447266,53.29375076293945,58.19650650024414,19.602508544921875,32.81536102294922,48.22489929199219,0.07785049825906754,0.27088138461112976,0.31620800495147705,974.7437133789062,5684.7568359375,5818.572265625,31.22088585192461,75.39732645085965,76.27956650129181,0.9827343821525574,0.8787283301353455,0.8931750655174255,50.99394607543945
29,0.0009490137878803078,24.826937766924296,52.96681594848633,51.551239013671875,25.32320213317871,53.455257415771484,52.05002212524414,21.310707092285156,34.33404541015625,38.287559509277344,0.08685053139925003,0.268399715423584,0.28311681747436523,1069.2655029296875,5239.98486328125,4971.27490234375,32.69962542491408,72.38773973043536,70.50726843626656,0.9810601472854614,0.8882165551185608,0.9087308645248413,50.99394607543945
30,0.0009455032620941839,21.953632877297597,52.54146957397461,51.2491340637207,22.44800567626953,53.041473388671875,51.7435302734375,17.293487548828125,35.49662780761719,30.804656982421875,0.0742037445306778,0.2622036933898926,0.2931123673915863,922.802734375,4855.890625,5014.2763671875,30.377668349875044,69.68422077486409,70.81155532247192,0.9836544394493103,0.896410346031189,0.9079414010047913,50.99394607543945
31,0.0009418828150443468,21.8518683551109,51.25259017944336,53.125675201416016,22.346874237060547,51.752593994140625,53.62567138671875,17.006420135498047,42.88716125488281,30.228309631347656,0.07564329355955124,0.2501586973667145,0.30711132287979126,844.1524047851562,4778.73681640625,5185.701171875,29.054300968792145,69.128408172084,72.01181272454541,0.9850475788116455,0.8980562686920166,0.9047941565513611,50.99394607543945
32,0.0009381533400219318,22.373198626792593,50.853553771972656,51.29310989379883,22.867145538330078,51.353553771972656,51.79310989379883,17.8941650390625,41.38275909423828,32.628143310546875,0.07028602063655853,0.2439105212688446,0.29147717356681824,922.6986083984375,4539.421875,4739.22705078125,30.37595444423825,67.37523191054707,68.84204420832701,0.9836562871932983,0.9031615257263184,0.9129911065101624,50.853553771972656
33,0.0009343157572190957,21.814767942036667,50.58249282836914,53.01827621459961,22.30890655517578,51.08249282836914,53.517486572265625,16.789955139160156,35.81243896484375,36.47611999511719,0.07549965381622314,0.24188320338726044,0.2909673750400543,874.5609741210938,5020.07861328125,4859.90625,29.572977092627887,70.85251310490864,69.71302783554879,0.9845089316368103,0.8929077982902527,0.9107755422592163,50.58249282836914
34,0.0009303710135019718,22.107418452223687,52.36079788208008,56.676631927490234,22.605693817138672,52.85943603515625,57.16368865966797,19.01568603515625,31.94183349609375,38.65937805175781,0.07499460875988007,0.24307870864868164,0.3110000193119049,817.0086669921875,5407.4443359375,5485.5888671875,28.58336346534794,73.53532712878553,74.06476130514092,0.9855283498764038,0.8846442103385925,0.8992884159088135,50.58249282836914
35,0.0009263200821770461,22.293531809767632,50.81426239013672,56.66524124145508,22.790771484375,51.31426239013672,57.16523742675781,20.363433837890625,36.71448516845703,37.22462463378906,0.07585927098989487,0.23641999065876007,0.309059202671051,838.998291015625,5115.63720703125,5551.740234375,28.96546721555903,71.52368284024006,74.5100009017246,0.9851388335227966,0.8908692598342896,0.8980739116668701,50.58249282836914
36,0.0009221639627510075,18.824431327924337,51.43689727783203,58.38508987426758,19.3166561126709,51.93427276611328,58.88508987426758,15.435272216796875,36.14935302734375,35.408355712890625,0.07421007007360458,0.23578780889511108,0.3009299635887146,675.6149291992188,5232.02783203125,5759.8544921875,25.992593737432568,72.33275766920026,75.89370522110184,0.988032877445221,0.8883863091468811,0.8942530751228333,50.58249282836914
37,0.0009179036806841352,19.694129421286387,52.28139114379883,60.19038772583008,20.182830810546875,52.775264739990234,60.69038772583008,16.043319702148438,33.61311340332031,37.694793701171875,0.06569764018058777,0.2396145910024643,0.32117635011672974,702.7636108398438,5348.646484375,6423.55419921875,26.50968899930446,73.13444116403024,80.1470785445031,0.9875519871711731,0.8858985304832458,0.8820680379867554,50.58249282836914
38,0.0009135402871372809,19.502554828173494,51.0079345703125,58.63525390625,19.997220993041992,51.507930755615234,59.13285827636719,14.152099609375,42.65777587890625,39.023223876953125,0.07517346739768982,0.22062593698501587,0.3163917660713196,755.366943359375,5040.26806640625,6232.63330078125,27.483939735041172,70.99484535095664,78.94702844807554,0.9866201877593994,0.8924770951271057,0.8855732083320618,50.58249282836914
39,0.0009090748587125117,20.714540586079636,51.032318115234375,61.83281326293945,21.21121597290039,51.53087615966797,62.33280944824219,16.7532958984375,30.596595764160156,41.99176788330078,0.07675555348396301,0.22368472814559937,0.3325650691986084,963.6426391601562,5224.65087890625,6383.36181640625,31.04259395025094,72.28174651256187,79.89594367930233,0.9829310178756714,0.8885436654090881,0.8828059434890747,50.58249282836914
40,0.0009045084971874737,19.852785489330554,51.20030975341797,58.72512435913086,20.34696388244629,51.689002990722656,59.22512435913086,15.96240234375,35.322540283203125,43.43669128417969,0.07187985628843307,0.23090577125549316,0.3132873773574829,755.322021484375,5216.6181640625,5841.66748046875,27.483122484251584,72.2261598318954,76.43080190910436,0.9866210222244263,0.8887150287628174,0.8927510976791382,50.58249282836914
41,0.0008998423292435454,19.00923229896859,51.76484680175781,60.29069900512695,19.50412368774414,52.26484680175781,60.79069137573242,14.305305480957031,32.708221435546875,47.15650939941406,0.06732354313135147,0.22417384386062622,0.33298397064208984,688.5054931640625,5269.31201171875,6210.14111328125,26.239388201024475,72.59002694391806,78.80444856276357,0.9878045320510864,0.8875909447669983,0.8859861493110657,50.58249282836914
