epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,468.7442932128906,439.71954345703125,456.774169921875,469.2442321777344,440.2195129394531,457.274169921875,499.860107421875,366.38116455078125,486.46826171875,2.2603883743286133,2.740356206893921,2.8334431648254395,300541.15625,239130.546875,254451.921875,548.2163407360273,489.00976153344834,504.4322767973913,-0.7793821096420288,-0.7252188920974731,-0.2329115867614746,439.71954345703125
2,0.0009997532801828658,405.7579040527344,430.5805969238281,406.8974609375,406.2579040527344,431.08056640625,407.3974609375,417.50335693359375,379.180908203125,407.1881408691406,2.1017446517944336,2.5602023601531982,2.567889928817749,241442.125,214856.484375,202647.21875,491.3676067874235,463.5261420621279,450.16354666942993,-0.4294806718826294,-0.5500924587249756,0.01810091733932495,430.5805969238281
3,0.0009994449374809851,364.0130615234375,414.80450439453125,372.4628601074219,364.51123046875,415.3044738769531,372.9628601074219,323.353515625,356.50677490234375,361.6211242675781,1.9143586158752441,2.3971474170684814,2.350921154022217,196958.53125,195720.71875,171104.375,443.8001028053058,442.4033439634018,413.64764595002833,-0.16611135005950928,-0.4120365381240845,0.1709374189376831,414.80450439453125
4,0.0009990133642141358,339.53009033203125,385.91656494140625,319.9955139160156,340.02880859375,386.41650390625,320.49554443359375,345.640869140625,352.39544677734375,335.1982421875,1.7590088844299316,2.2863428592681885,2.198572874069214,166425.515625,174506.234375,140540.84375,407.95283504959247,417.73943358869053,374.88777487402814,0.014662086963653564,-0.2589836120605469,0.3190287947654724,385.91656494140625
5,0.000998458666866564,325.84906005859375,375.6336669921875,297.5567321777344,326.34906005859375,376.1336364746094,298.05670166015625,307.82171630859375,354.0328369140625,311.96636962890625,1.7031729221343994,2.1736509799957275,2.0561978816986084,155162.328125,161787.515625,121280.65625,393.90649667782833,402.2281885012536,348.25372395711724,0.08134686946868896,-0.16722381114959717,0.4123513698577881,375.6336669921875
6,0.00099778098230154,294.9268493652344,374.4525146484375,269.50604248046875,295.4268798828125,374.9524841308594,270.00604248046875,285.3388671875,357.45794677734375,276.9945983886719,1.570300579071045,2.0727884769439697,1.9216132164001465,128040.4921875,156841.90625,104689.765625,357.82746147759536,396.0327085607955,323.5579787688754,0.24192434549331665,-0.13154351711273193,0.4927402138710022,374.4525146484375
7,0.0009969804777275899,265.431396484375,377.61395263671875,268.4821472167969,265.9313659667969,378.1139221191406,268.98211669921875,214.97161865234375,367.16119384765625,257.44146728515625,1.4711617231369019,1.9836652278900146,1.8290481567382812,110434.765625,158068.609375,94969.8046875,332.3172665165023,397.5784317276278,308.1717129905015,0.3461606502532959,-0.14039361476898193,0.5398369431495667,374.4525146484375
8,0.000996057350657239,240.7708740234375,373.1900329589844,257.8139343261719,241.26422119140625,373.69000244140625,258.3139343261719,187.6907958984375,410.75396728515625,243.3797607421875,1.3476409912109375,1.8951290845870972,1.7353160381317139,89741.2421875,156627.46875,86367.484375,299.56842655309987,395.7618839024294,293.8834537278341,0.4686785936355591,-0.1299964189529419,0.581518292427063,373.1900329589844
9,0.0009950118288582787,233.19839477539062,362.72552490234375,252.3340301513672,233.69839477539062,363.22552490234375,252.8340301513672,218.14630126953125,388.7088317871094,237.069580078125,1.2647669315338135,1.8130569458007812,1.649787187576294,81822.6484375,150594.859375,78988.828125,286.04658438355807,388.06553489713565,281.0495118746873,0.5155613422393799,-0.08647382259368896,0.6172705888748169,362.72552490234375
10,0.0009938441702975688,209.4599151611328,345.08734130859375,270.1268310546875,209.95993041992188,345.58734130859375,270.6268005371094,221.04766845703125,364.6164245605469,286.271728515625,1.1564722061157227,1.7400866746902466,1.5838260650634766,67601.3984375,137943.953125,82891.2578125,260.0026892889764,371.408068201271,287.9084191413999,0.5997596979141235,0.004796743392944336,0.5983618497848511,345.08734130859375
11,0.000992554663077387,214.9867401123047,336.0223388671875,249.52639770507812,215.48675537109375,336.5223083496094,250.02639770507812,209.93902587890625,389.01190185546875,241.72787475585938,1.1345757246017456,1.6545852422714233,1.4713906049728394,67459.5546875,134334.609375,69037.8203125,259.72977243184886,366.5168609695876,262.75049060372845,0.6005994081497192,0.030836522579193115,0.6654868125915527,336.0223388671875
12,0.0009911436253643444,197.66659545898438,345.0414123535156,219.90248107910156,198.1665802001953,345.5414123535156,220.4024658203125,195.47735595703125,411.92132568359375,230.46983337402344,1.0258437395095825,1.5894994735717773,1.363706111907959,53632.37109375,138887.234375,58996.3046875,231.58663841800114,372.675776480039,242.89154923030978,0.6824644804000854,-0.0020085573196411133,0.7141415476799011,336.0223388671875
13,0.000989611405310883,193.98194885253906,348.78460693359375,207.7258758544922,194.48194885253906,349.2845764160156,208.2258758544922,176.4130859375,422.8734130859375,207.48973083496094,0.9642560482025146,1.5430364608764648,1.2688889503479004,51978.3515625,141223.984375,53230.34375,227.98761273915738,375.7977971928521,230.71702093690445,0.692257285118103,-0.01886725425720215,0.7420797348022461,336.0223388671875
14,0.0009879583809693738,197.81495666503906,340.2886657714844,212.48435974121094,198.31495666503906,340.78863525390625,212.98435974121094,189.33673095703125,370.40771484375,207.08978271484375,0.9014195203781128,1.510705828666687,1.1854225397109985,49735.98828125,133394.046875,49750.265625,223.01566824160585,365.2314976490938,223.04767567719688,0.7055334448814392,0.037622272968292236,0.7589419484138489,336.0223388671875
15,0.0009861849601988384,165.22755432128906,329.837890625,214.56982421875,165.72755432128906,330.337890625,215.06982421875,157.4842529296875,275.32196044921875,212.43527221679688,0.8233480453491211,1.468168020248413,1.1024214029312134,35850.40234375,128926.5,54717.8828125,189.34202476933112,359.0633648814649,233.91853883884448,0.7877443432807922,0.06985354423522949,0.7348721027374268,329.837890625
16,0.0009842915805643156,158.95057678222656,326.4826354980469,201.8343963623047,159.45057678222656,326.9826354980469,202.2975311279297,151.420654296875,255.765869140625,195.86248779296875,0.7509628534317017,1.4214798212051392,1.008531928062439,35867.59765625,130249.328125,51174.8046875,189.3874273975176,360.90071782278295,226.21848882772602,0.7876425385475159,0.06030994653701782,0.7520395517349243,326.4826354980469
17,0.000982278709228899,157.16461181640625,330.9694519042969,176.72955322265625,157.66461181640625,331.4694519042969,177.22955322265625,152.93707275390625,271.28863525390625,178.51681518554688,0.716200053691864,1.379065752029419,0.9031335115432739,34668.3984375,136274.65625,37064.0078125,186.19451774287018,369.15397363430884,192.52014910782717,0.7947425246238708,0.016839921474456787,0.8204114437103271,326.4826354980469
18,0.0009801468428384716,136.159912109375,331.2196044921875,149.62164306640625,136.659912109375,331.71954345703125,150.12164306640625,130.90792846679688,312.26806640625,158.98187255859375,0.6480410099029541,1.3281446695327759,0.7962124347686768,27124.583984375,137094.328125,24860.0390625,164.69542794010707,370.262512448938,157.67066646177406,0.8394063711166382,0.010926425457000732,0.8795441389083862,326.4826354980469
19,0.000977896507399165,128.6813507080078,328.8260803222656,125.8589096069336,129.1813507080078,329.32611083984375,126.3589096069336,125.1800537109375,347.604736328125,134.3095703125,0.5644609928131104,1.2770404815673828,0.6981198191642761,24523.650390625,136919.78125,17611.654296875,156.60028860326216,370.02673045335524,132.70890812931512,0.8548054099082947,0.012185633182525635,0.914665162563324,326.4826354980469
20,0.0009755282581475768,109.82954406738281,321.9498596191406,105.84017944335938,110.32955932617188,322.4497985839844,106.34017944335938,107.88893127441406,376.33489990234375,114.11392211914062,0.4836913049221039,1.217502474784851,0.6029675006866455,18487.208984375,133887.453125,13577.744140625,135.96767624834587,365.90634474548267,116.52357761682826,0.8905447721481323,0.03406256437301636,0.9342108964920044,321.9498596191406
21,0.0009730426794137727,107.22493743896484,317.2632751464844,101.38027954101562,107.72493743896484,317.76324462890625,101.88027954101562,95.05938720703125,388.77947998046875,111.34817504882812,0.4403764605522156,1.16466224193573,0.5252987742424011,17433.60546875,134011.15625,11497.7314453125,132.0363793382339,366.07534231357346,107.22747523518635,0.8967826962471008,0.03317004442214966,0.9442893266677856,317.2632751464844
22,0.0009704403844771128,100.57267761230469,302.28094482421875,91.91403198242188,101.07266235351562,302.78094482421875,92.41402435302734,83.7254638671875,349.06427001953125,95.28739166259766,0.4047192335128784,1.1218290328979492,0.45830875635147095,16037.9482421875,126723.3984375,10131.923828125,126.64102116686955,355.9823007362866,100.65745788626394,0.9050458073616028,0.08574795722961426,0.9509071707725525,302.28094482421875
23,0.0009677220154149337,94.63404846191406,289.35540771484375,95.78924560546875,95.13404846191406,289.80279541015625,96.28923797607422,86.5384521484375,297.44268798828125,96.57322692871094,0.3662746846675873,1.0782257318496704,0.39858904480934143,14664.4990234375,122820.359375,12461.8447265625,121.09706447076866,350.45735742740516,111.63263289272766,0.913177490234375,0.1139066219329834,0.9396178722381592,289.35540771484375
24,0.0009648882429441257,92.55819702148438,291.42431640625,84.17509460449219,93.05819702148438,291.9242858886719,84.67509460449219,74.673828125,298.30584716796875,75.1844482421875,0.3417728543281555,1.0375099182128906,0.31690019369125366,14796.6064453125,126339.7578125,10870.1396484375,121.64130238250699,355.44304440022455,104.25996186666049,0.9123952984809875,0.0885157585144043,0.9473302364349365,289.35540771484375
25,0.0009619397662556434,79.20027923583984,295.156982421875,67.74174499511719,79.69973754882812,295.656982421875,68.24174499511719,56.787353515625,324.58709716796875,56.89833068847656,0.2899417579174042,0.9901050925254822,0.24777868390083313,11891.349609375,133522.40625,7204.19287109375,109.04746493786547,365.40717870616606,84.87751687634217,0.9295961260795593,0.03669613599777222,0.9650930762290955,289.35540771484375
26,0.0009588773128419905,76.67317962646484,301.1172790527344,58.44317626953125,77.17318725585938,301.6172790527344,58.92889404296875,58.51458740234375,354.45672607421875,36.53179168701172,0.28272685408592224,0.9518760442733765,0.19157695770263672,10492.9462890625,143168.328125,5816.40771484375,102.43508329211481,378.37590848916375,76.26537690750469,0.937875509262085,-0.03289473056793213,0.9718173742294312,289.35540771484375
