epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,467.1531982421875,431.90716552734375,400.00592041015625,467.6532287597656,432.40716552734375,400.5059509277344,489.700927734375,495.3424072265625,365.981689453125,2.401001453399658,2.168445110321045,2.3540189266204834,307589.875,230226.609375,203359.015625,554.6078569584098,479.81935077172534,450.9534517275591,-0.7778750658035278,-0.14594781398773193,-0.6694780588150024,431.90716552734375
2,0.0009997532801828658,405.64990234375,359.5866394042969,395.18255615234375,406.14990234375,360.08660888671875,395.68255615234375,410.907470703125,386.718017578125,363.3113098144531,2.1501266956329346,2.0125811100006104,2.2796592712402344,232360.6875,176641.765625,193787.390625,482.03805607026504,420.2877176708832,440.21289238844423,-0.34304893016815186,0.12076950073242188,-0.5908997058868408,359.5866394042969
3,0.0009994449374809851,385.3038330078125,333.237060546875,387.6694030761719,385.8038330078125,333.7370300292969,388.1694030761719,413.1551513671875,295.773193359375,347.25238037109375,2.0689756870269775,1.8381491899490356,2.1508560180664062,217399.515625,145382.0,175612.828125,466.26120965077075,381.28991594323605,419.06184284064807,-0.2565730810165405,0.2763643264770508,-0.4416954517364502,333.237060546875
4,0.0009990133642141358,360.4300231933594,312.3951110839844,372.3419189453125,360.92999267578125,312.8950500488281,372.8419189453125,370.55364990234375,251.90447998046875,351.9450378417969,1.894926905632019,1.7229480743408203,2.0435822010040283,177387.9375,126212.9375,165081.59375,421.17447394161957,355.26460209258113,406.3023427818255,-0.025305509567260742,0.37177789211273193,-0.3552391529083252,312.3951110839844
5,0.000998458666866564,344.71124267578125,275.2974548339844,366.1034240722656,345.21124267578125,275.79742431640625,366.60345458984375,343.869140625,282.85711669921875,360.6578369140625,1.7870818376541138,1.626855492591858,1.9776825904846191,158965.578125,107313.890625,157083.96875,398.7048759734448,327.5879891342172,396.3381999631123,0.08117610216140747,0.4658474922180176,-0.2895824909210205,275.2974548339844
6,0.00099778098230154,296.1238708496094,273.5186767578125,361.1170654296875,296.6238708496094,274.0186767578125,361.6170654296875,268.81005859375,320.025634765625,376.10894775390625,1.6597115993499756,1.5566556453704834,1.915524959564209,131854.890625,100492.5390625,151997.953125,363.1182873734123,317.0055820683604,389.8691487217218,0.23787635564804077,0.4998006224632263,-0.24782884120941162,273.5186767578125
7,0.0009969804777275899,300.6087646484375,222.166748046875,357.57928466796875,301.1087646484375,222.66671752929688,358.07928466796875,316.0550537109375,263.02960205078125,356.46234130859375,1.6148498058319092,1.4284039735794067,1.823971152305603,129693.7890625,80242.1328125,145664.734375,360.13023902818827,283.2704234693414,381.6604962201354,0.25036758184432983,0.60059654712677,-0.19583618640899658,222.166748046875
8,0.000996057350657239,254.98855590820312,220.1471405029297,354.2914123535156,255.4885711669922,220.64710998535156,354.7913818359375,189.23895263671875,227.2208251953125,374.50823974609375,1.4645469188690186,1.3531343936920166,1.7402961254119873,100586.7265625,69423.4296875,144130.359375,317.1541053849059,263.4832626325627,379.6450439226094,0.41860687732696533,0.6544464230537415,-0.18323969841003418,220.1471405029297
9,0.0009950118288582787,240.10769653320312,212.5488739013672,349.6484375,240.607666015625,213.0488739013672,350.1484375,179.81787109375,235.56561279296875,354.66925048828125,1.3585305213928223,1.2905290126800537,1.680814266204834,84529.4296875,63753.9609375,140758.671875,290.73945326958983,252.49546716228392,375.17818683260356,0.511418342590332,0.6826660633087158,-0.15555989742279053,212.5488739013672
10,0.0009938441702975688,230.60592651367188,212.27500915527344,339.97943115234375,231.1040802001953,212.77500915527344,340.4794006347656,188.9879150390625,208.63201904296875,359.497314453125,1.2865674495697021,1.2281428575515747,1.606035590171814,77336.796875,58253.32421875,137319.71875,278.0949421960062,241.35725433214142,370.5667534331703,0.5529919266700745,0.710045337677002,-0.12732768058776855,212.27500915527344
11,0.000992554663077387,199.54464721679688,203.0418243408203,331.562744140625,200.04464721679688,203.5418243408203,332.062744140625,165.98272705078125,210.42852783203125,373.24554443359375,1.165992259979248,1.1436728239059448,1.5315417051315308,60307.7265625,52197.1875,138462.25,245.5763151496903,228.46703810396806,372.1051598674762,0.6514202356338501,0.7401896715164185,-0.13670730590820312,203.0418243408203
