epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,453.4670715332031,446.47906494140625,475.2317810058594,453.9670715332031,446.9790344238281,475.7317199707031,505.91009521484375,490.3975830078125,362.3614501953125,2.3609354496002197,2.1997525691986084,2.5409281253814697,286094.875,252258.34375,295057.96875,534.878374025348,502.25326653990015,543.1923864985591,-0.6941655874252319,-0.25561022758483887,-0.9693938493728638,446.47906494140625
2,0.0009997532801828658,418.1591491699219,376.2012023925781,398.97027587890625,418.6591491699219,376.701171875,399.47021484375,388.0062255859375,353.0479736328125,365.94366455078125,2.1521527767181396,2.039069414138794,2.311724901199341,229513.171875,182393.71875,243444.375,479.0753300630288,427.0757763559062,493.4008259012139,-0.35910630226135254,0.0921393632888794,-0.6248937845230103,376.2012023925781
3,0.0009994449374809851,384.688720703125,338.5037841796875,356.75103759765625,385.188720703125,339.0037536621094,357.25103759765625,359.91064453125,405.75408935546875,390.88201904296875,2.056108236312866,1.90804123878479,2.1355745792388916,206313.859375,164120.421875,209867.515625,454.21785453128103,405.11778765563975,458.11299438566465,-0.22172701358795166,0.18309420347213745,-0.4007817506790161,338.5037841796875
4,0.0009990133642141358,395.7483215332031,299.70489501953125,371.4053649902344,396.2483215332031,300.2048645019531,371.90533447265625,440.60369873046875,284.6422119140625,276.61822509765625,2.021684408187866,1.7289499044418335,1.9919978380203247,213195.015625,130297.4296875,182025.296875,461.73045776188513,360.9673526615669,426.64422751866687,-0.26247525215148926,0.3514474630355835,-0.21494603157043457,299.70489501953125
5,0.000998458666866564,348.57037353515625,308.3238830566406,396.9034729003906,349.0703430175781,308.8238830566406,397.4034729003906,385.43280029296875,339.216552734375,439.9112548828125,1.8417099714279175,1.6337125301361084,1.8857396841049194,172064.59375,131575.359375,182132.328125,414.8066944373005,362.73317931366574,426.7696429281258,-0.01891350746154785,0.34508657455444336,-0.21566033363342285,299.70489501953125
6,0.00099778098230154,331.65362548828125,302.85198974609375,381.7892150878906,332.15362548828125,303.35198974609375,382.28924560546875,341.32940673828125,303.8023681640625,463.23944091796875,1.6921995878219604,1.5622891187667847,1.7622209787368774,150799.984375,119659.375,166540.125,388.3297366607404,345.9181622869779,408.0932797780429,0.10700887441635132,0.4043981432914734,-0.11158871650695801,299.70489501953125
7,0.0009969804777275899,317.4080810546875,279.20257568359375,350.4192199707031,317.9080810546875,279.70257568359375,350.9191589355469,335.7586669921875,298.51336669921875,410.84954833984375,1.5892457962036133,1.4917259216308594,1.6449145078659058,136436.625,97569.5703125,140187.953125,369.37328679805745,312.36128171157833,374.41681736401745,0.19206422567367554,0.5143495798110962,0.06430155038833618,279.20257568359375
8,0.000996057350657239,285.1950378417969,244.2124481201172,309.5223388671875,285.6869812011719,244.71243286132812,310.0223083496094,293.6124267578125,238.540771484375,316.2763671875,1.5250859260559082,1.417650818824768,1.5266140699386597,113626.34375,80375.6640625,110947.546875,337.0850690107766,283.5060212103087,333.0878966203966,0.3271397352218628,0.5999319553375244,0.25946950912475586,244.2124481201172
9,0.0009950118288582787,262.0586853027344,245.74185180664062,270.44732666015625,262.5586853027344,246.24183654785156,270.94732666015625,219.84878540039062,289.3253173828125,221.03326416015625,1.4832967519760132,1.3810160160064697,1.4155446290969849,101817.8515625,80651.375,88395.5859375,319.08909658980826,283.9918572776339,297.31395180431747,0.39706605672836304,0.598559558391571,0.40999478101730347,244.2124481201172
10,0.0009938441702975688,256.9630432128906,245.5689239501953,257.230224609375,257.46307373046875,246.0689239501953,257.7301940917969,242.29379272460938,273.8797607421875,236.8756103515625,1.4195458889007568,1.329380989074707,1.316237211227417,95349.6640625,76568.234375,77317.3125,308.78740917093756,276.70965717697675,278.05990811334163,0.4353685975074768,0.6188833117485046,0.4839378595352173,244.2124481201172
11,0.000992554663077387,230.3848419189453,221.82984924316406,262.5958557128906,230.88485717773438,222.32984924316406,263.0958557128906,204.10690307617188,245.71490478515625,253.524658203125,1.3110442161560059,1.2423059940338135,1.2278058528900146,78233.7734375,63798.3828125,76934.6328125,279.70300934652096,252.58341753270344,277.3709300061922,0.5367236733436584,0.6824449300765991,0.4864920973777771,221.82984924316406
12,0.0009911436253643444,218.42453002929688,211.93150329589844,271.3193054199219,218.91664123535156,212.43150329589844,271.8193054199219,215.2161102294922,201.7108154296875,326.78265380859375,1.2583855390548706,1.1657545566558838,1.1465778350830078,73229.1796875,56263.12109375,84860.7578125,270.6089054105574,237.19848459412637,291.3086984840995,0.566359281539917,0.7199515700340271,0.4335883855819702,211.93150329589844
13,0.000989611405310883,211.2916259765625,200.65846252441406,266.3046875,211.79042053222656,201.158447265625,266.8046569824219,202.61813354492188,181.5911865234375,296.55035400390625,1.147985816001892,1.1054407358169556,1.0737429857254028,63235.71875,50421.41015625,85367.6484375,251.46713254419552,224.5471223513007,292.1774262969335,0.6255375146865845,0.7490285634994507,0.4302051067352295,200.65846252441406
14,0.0009879583809693738,208.66928100585938,198.69119262695312,244.6190643310547,209.16928100585938,199.19117736816406,245.1190643310547,209.01406860351562,184.91705322265625,266.2583923339844,1.1138755083084106,1.055666446685791,0.9885905981063843,58644.25,46984.94921875,72353.6640625,242.16574902326713,216.7601190688684,268.9863640828286,0.6527268290519714,0.7661334276199341,0.5170682668685913,198.69119262695312
15,0.0009861849601988384,183.64378356933594,213.7144012451172,214.49180603027344,184.14381408691406,214.21438598632812,214.99180603027344,181.27786254882812,208.56134033203125,240.97146606445312,1.0447531938552856,1.0092285871505737,0.8964099884033203,48382.9609375,50276.80078125,54531.8515625,219.96127144908942,224.22488885324483,233.5205591859098,0.7134909629821777,0.7497483491897583,0.6360217332839966,198.69119262695312
16,0.0009842915805643156,181.99124145507812,211.1028289794922,199.09417724609375,182.4912109375,211.60279846191406,199.5941925048828,181.5811767578125,199.316162109375,218.28228759765625,1.0006704330444336,0.9401054382324219,0.8183373808860779,48762.75,49756.0078125,47742.94921875,220.82289283495948,223.0605474137011,218.50160003704778,0.7112420201301575,0.75234055519104,0.681334912776947,198.69119262695312
17,0.000982278709228899,187.35421752929688,197.0071563720703,194.30250549316406,187.85421752929688,197.5071258544922,194.802490234375,205.54302978515625,189.99566650390625,198.10906982421875,0.9482694864273071,0.8546172380447388,0.7531817555427551,49629.6640625,43097.93359375,47811.30078125,222.77716234502137,207.60041809627938,218.65795384858515,0.7061084508895874,0.7854809761047363,0.6808786988258362,197.0071563720703
18,0.0009801468428384716,176.3517608642578,172.37326049804688,199.6050262451172,176.85174560546875,172.873291015625,200.10501098632812,190.10183715820312,156.004638671875,216.18310546875,0.8837143182754517,0.7548937201499939,0.6990485191345215,43462.98828125,31729.65234375,55379.54296875,208.47778846018585,178.12819076089556,235.32858510761076,0.7426255941390991,0.8420663475990295,0.6303637027740479,172.37326049804688
