epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,465.9318542480469,436.7149658203125,458.67572021484375,466.431884765625,437.2149353027344,459.1757507324219,489.3868408203125,424.29254150390625,384.499755859375,2.4686670303344727,2.2451961040496826,1.8537511825561523,292352.96875,233882.875,265930.3125,540.696743794523,483.61438667599623,515.6843147701896,-0.674643874168396,-0.1641467809677124,-1.6074106693267822,436.7149658203125
2,0.0009997532801828658,418.7445373535156,390.9918518066406,415.0531005859375,419.2445373535156,391.4918518066406,415.5530700683594,429.00927734375,369.307373046875,394.96136474609375,2.3149971961975098,2.037815570831299,1.6819908618927002,246372.40625,187025.53125,225408.765625,496.359150464661,432.46448553609576,474.7723303068535,-0.4112600088119507,0.0690845251083374,-1.2101023197174072,390.9918518066406
3,0.0009994449374809851,373.5426940917969,345.53363037109375,393.6161804199219,374.042724609375,346.0335998535156,394.11614990234375,360.9239807128906,337.4053955078125,353.1527099609375,2.099900960922241,1.8907350301742554,1.5814292430877686,198791.796875,154249.421875,199214.53125,445.8607370861444,392.74600173012584,446.33455081362456,-0.1387108564376831,0.2322269082069397,-0.9532713890075684,345.53363037109375
4,0.0009990133642141358,362.2560119628906,300.6549987792969,365.4606628417969,362.75604248046875,301.1549987792969,365.9606628417969,320.7369384765625,266.300537109375,262.3214111328125,2.02070951461792,1.6958833932876587,1.453021764755249,186409.375,120481.9375,171325.890625,431.75151997416293,347.1050813514547,413.9153181811468,-0.06778240203857422,0.40030384063720703,-0.679827094078064,300.6549987792969
5,0.000998458666866564,346.401123046875,279.0769348144531,349.5539245605469,346.9011535644531,279.576904296875,350.0539245605469,332.8458251953125,284.6396484375,234.0826416015625,1.88511061668396,1.5848560333251953,1.366301417350769,166294.375,105381.0703125,158989.875,407.79207324321544,324.62450664190465,398.7353445582671,0.047439634799957275,0.4754680395126343,-0.5588741302490234,279.0769348144531
6,0.00099778098230154,391.186279296875,240.8179473876953,326.1885681152344,391.68621826171875,241.31796264648438,326.68853759765625,329.99090576171875,181.604248046875,200.4381103515625,1.8857589960098267,1.4902336597442627,1.2889811992645264,457230.90625,85449.2890625,147627.671875,676.1885138406301,292.3171036092483,384.2234660649971,-1.6190905570983887,0.5746780633926392,-0.4474693536758423,240.8179473876953
7,0.0009969804777275899,317.1722717285156,212.93955993652344,298.7303466796875,317.6722717285156,213.43955993652344,299.23028564453125,293.7758483886719,220.77362060546875,215.16107177734375,1.6941235065460205,1.4174067974090576,1.2055431604385376,132912.046875,75300.4375,131911.234375,364.5710450310063,274.4092518484025,363.1958622768162,0.23865890502929688,0.62519371509552,-0.2933717966079712,212.93955993652344
8,0.000996057350657239,279.4154968261719,224.14662170410156,279.746337890625,279.9154968261719,224.64662170410156,280.246337890625,227.5526123046875,226.071533203125,210.18731689453125,1.5756553411483765,1.3689521551132202,1.127059817314148,114247.2578125,72778.4609375,117471.953125,338.0048192149041,269.77483377346374,342.74181700662086,0.3455737233161926,0.6377468109130859,-0.15179657936096191,212.93955993652344
9,0.0009950118288582787,276.9063720703125,225.02613830566406,264.48626708984375,277.4063720703125,225.526123046875,264.9862365722656,261.4109191894531,213.035400390625,191.2821044921875,1.5295689105987549,1.3109948635101318,1.0510748624801636,107488.2265625,69954.4296875,103270.9609375,327.85397139961566,264.4889972900574,321.3579949798978,0.3842904567718506,0.6518033742904663,-0.012557744979858398,212.93955993652344
10,0.0009938441702975688,260.1839294433594,212.94937133789062,260.3974609375,260.6822204589844,213.44935607910156,260.8974609375,273.702880859375,160.29840087890625,201.4189453125,1.460551142692566,1.2450107336044312,0.9814763069152832,98965.546875,59056.0625,90995.796875,314.587900077228,243.01453145851175,301.65509588767105,0.4331098198890686,0.7060497999191284,0.10779863595962524,212.93955993652344
