epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,425.6202087402344,415.7430419921875,655.9153442382812,426.1202087402344,416.2430114746094,656.4153442382812,443.1529541015625,495.161376953125,681.37060546875,2.148892641067505,2.1559336185455322,4.266510963439941,259234.65625,229199.703125,472154.0625,509.15091696863317,478.74805809005636,687.1346756640943,-0.6786539554595947,-0.14083635807037354,-1.3977124691009521,415.7430419921875
2,0.0009997532801828658,394.86859130859375,373.0231018066406,595.1889038085938,395.3685607910156,373.5231018066406,595.68896484375,372.20703125,336.433349609375,626.1859130859375,1.9587316513061523,2.0327413082122803,3.972492218017578,222655.6875,176776.828125,401670.8125,471.86405616448474,420.4483655872621,633.7750488146405,-0.44178974628448486,0.12009727954864502,-1.0397815704345703,373.0231018066406
3,0.0009994449374809851,348.8726806640625,366.84503173828125,549.47119140625,349.3726501464844,367.3450012207031,549.9712524414062,301.395263671875,342.7525634765625,574.5784301757812,1.8577566146850586,1.9366923570632935,3.71551251411438,181288.640625,164454.15625,348067.5625,425.78003784231123,405.52947642557376,589.9725099527943,-0.1739206314086914,0.1814330816268921,-0.767571210861206,366.84503173828125
4,0.0009990133642141358,337.2569274902344,319.41009521484375,554.1641845703125,337.75689697265625,319.91009521484375,554.6641845703125,291.2821350097656,334.1962890625,521.907470703125,1.7739953994750977,1.7671797275543213,3.5106003284454346,163439.390625,132155.046875,323104.21875,404.27637900945933,363.5313561097584,568.422570584596,-0.05833923816680908,0.3422011733055115,-0.6408013105392456,319.41009521484375
5,0.000998458666866564,307.19073486328125,284.5230712890625,541.0625610351562,307.68719482421875,285.0230407714844,541.5625610351562,274.845458984375,269.16619873046875,496.72039794921875,1.6066228151321411,1.6236203908920288,3.3245747089385986,133859.25,110941.2109375,304119.75,365.8678039948309,333.07838557537775,551.4705341176444,0.13320475816726685,0.44779258966445923,-0.5443935394287109,284.5230712890625
6,0.00099778098230154,309.36407470703125,233.9946746826172,505.781005859375,309.8641357421875,234.49465942382812,506.2810363769531,284.9931640625,156.591796875,454.42437744140625,1.5476484298706055,1.5018521547317505,3.1479132175445557,131118.265625,84367.234375,268961.09375,362.1025623010696,290.4603834862854,518.6145907608077,0.1509537696838379,0.5800639390945435,-0.36584949493408203,233.9946746826172
7,0.0009969804777275899,282.1792907714844,224.37562561035156,455.61273193359375,282.6792907714844,224.8756103515625,456.1127014160156,255.64895629882812,215.62908935546875,422.499267578125,1.4460898637771606,1.4455689191818237,2.997790813446045,111564.0078125,79158.5390625,231889.28125,334.01198752814247,281.3512734332297,481.54883578926865,0.27757585048675537,0.6059901714324951,-0.1775897741317749,224.37562561035156
8,0.000996057350657239,245.491943359375,257.2030029296875,405.7086486816406,245.99197387695312,257.7030029296875,406.2086486816406,196.15472412109375,266.04913330078125,398.6907958984375,1.3825963735580444,1.4232590198516846,2.820655107498169,93207.703125,90364.1796875,202134.59375,305.2993664012423,300.6063533718141,449.59380973274085,0.39644068479537964,0.5502142906188965,-0.026488304138183594,224.37562561035156
9,0.0009950118288582787,263.4706726074219,217.9122772216797,392.4369201660156,263.9706726074219,218.41226196289062,392.9368591308594,255.57135009765625,210.8077392578125,376.54351806640625,1.3692282438278198,1.3152068853378296,2.6526482105255127,106151.296875,67733.0546875,179064.390625,325.8086813990689,260.2557486156646,423.16000593747043,0.3126254677772522,0.6628602147102356,0.090667724609375,217.9122772216797
10,0.0009938441702975688,221.94522094726562,200.8028106689453,377.3551330566406,222.44522094726562,201.3028106689453,377.85504150390625,172.66000366210938,161.43280029296875,355.8931884765625,1.2502976655960083,1.2454004287719727,2.4820263385772705,79362.96875,56047.23046875,159596.421875,281.7143389144401,236.7429628705994,399.4952088260884,0.4860912561416626,0.7210261821746826,0.18953078985214233,200.8028106689453
