epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,474.57684326171875,474.58477783203125,496.8851318359375,475.07684326171875,475.0847473144531,497.3851013183594,513.7384643554688,429.1712646484375,330.7838134765625,2.6415719985961914,2.165797472000122,0.6275424361228943,307174.96875,307697.71875,331865.15625,554.2336770262161,554.7050736652767,576.0773873795082,-0.9981098175048828,-0.5315585136413574,-1.2474019527435303,474.58477783203125
2,0.0009997532801828658,447.47235107421875,385.3985290527344,373.41290283203125,447.9723205566406,385.89849853515625,373.9128723144531,465.08154296875,434.83331298828125,392.3592529296875,2.385554790496826,1.9716590642929077,0.542144775390625,275374.625,196532.640625,175961.71875,524.7614934424972,443.320020555129,419.47791211218737,-0.7912553548812866,0.021763145923614502,-0.1916186809539795,385.3985290527344
3,0.0009994449374809851,409.3495788574219,333.49951171875,235.0414276123047,409.8495788574219,333.99951171875,235.54141235351562,417.1321105957031,342.83563232421875,170.11874389648438,2.227743625640869,1.8479796648025513,0.4264501929283142,221681.96875,146770.609375,94383.234375,470.83114675008494,383.1065248400241,307.21854497246744,-0.4419955015182495,0.2694525718688965,0.3608335256576538,333.49951171875
4,0.0009990133642141358,372.6685791015625,308.97967529296875,210.92721557617188,373.1686096191406,309.4797058105469,211.42721557617188,379.28790283203125,365.78240966796875,120.80999755859375,2.105250835418701,1.748449444770813,0.4016571640968323,191013.453125,132881.609375,79532.765625,437.05085873957506,364.5292983766874,282.0155414600408,-0.24250316619873047,0.3385847210884094,0.46140140295028687,308.97967529296875
5,0.000998458666866564,342.0865478515625,276.27606201171875,195.31288146972656,342.5865783691406,276.77606201171875,195.81285095214844,373.0242004394531,312.51531982421875,167.77752685546875,1.9593902826309204,1.6230237483978271,0.3683716654777527,166230.09375,108918.2578125,65247.5859375,407.7132494167929,330.02766219288344,255.43607015748577,-0.08129251003265381,0.4578617811203003,0.5581411123275757,276.27606201171875
6,0.00099778098230154,321.98468017578125,259.396728515625,232.45404052734375,322.48468017578125,259.896728515625,232.9540252685547,319.4910888671875,234.83831787109375,227.27142333984375,1.8554396629333496,1.5145864486694336,0.38088473677635193,142520.765625,89417.8359375,66402.9296875,377.5192255038146,299.0281524162901,257.6876591680323,0.07293176651000977,0.554924726486206,0.5503170490264893,259.396728515625
7,0.0009969804777275899,293.5342102050781,235.8603057861328,230.35000610351562,294.0342102050781,236.3603057861328,230.84999084472656,312.5052795410156,204.62945556640625,233.38018798828125,1.711350917816162,1.430801272392273,0.3587963879108429,119686.2421875,77316.2890625,63051.01953125,345.9569947081573,278.05806778890627,251.09962073099592,0.22146570682525635,0.6151598691940308,0.5730164051055908,235.8603057861328
8,0.000996057350657239,276.8871765136719,228.0787353515625,196.2305450439453,277.38714599609375,228.57872009277344,196.7305450439453,286.1786804199219,228.1219482421875,175.98406982421875,1.6098721027374268,1.3810838460922241,0.3089335858821869,107566.1875,72372.953125,44703.71484375,327.9728456747601,269.02221678701557,211.4325302401454,0.3003040552139282,0.6397652626037598,0.6972649097442627,228.0787353515625
9,0.0009950118288582787,251.20704650878906,258.4134521484375,155.98995971679688,251.70706176757812,258.9134216308594,156.48995971679688,249.58706665039062,252.1414794921875,98.4227294921875,1.4990665912628174,1.3584586381912231,0.24301846325397491,88659.109375,79132.390625,39315.4140625,297.7567956823152,281.30480021677556,198.28114903464726,0.4232906699180603,0.606120228767395,0.7337546348571777,228.0787353515625
10,0.0009938441702975688,235.08509826660156,270.45037841796875,171.63589477539062,235.58255004882812,270.9503479003906,172.13587951660156,231.45086669921875,248.331787109375,135.7437744140625,1.4341604709625244,1.3038341999053955,0.23268771171569824,79555.3046875,86575.5859375,57009.3515625,282.0554993037718,294.23729528647453,238.76631161556273,0.48250919580459595,0.569071888923645,0.6139307022094727,228.0787353515625
11,0.000992554663077387,225.7241973876953,256.5710144042969,209.19180297851562,226.22421264648438,257.07098388671875,209.69178771972656,237.94020080566406,215.4462890625,177.34234619140625,1.3486565351486206,1.2186886072158813,0.2730465233325958,72953.65625,81837.2109375,66911.6484375,270.0993451491506,286.07203802102015,258.6728598780707,0.5254515409469604,0.5926570892333984,0.5468720197677612,228.0787353515625
12,0.0009911436253643444,210.35452270507812,231.66790771484375,198.56436157226562,210.8544921875,232.1679229736328,199.06434631347656,214.1675567626953,246.468017578125,203.9012451171875,1.2785602807998657,1.1214206218719482,0.26512956619262695,63674.84765625,68363.5,56101.0390625,252.33875575553193,261.46414668172,236.85657909904043,0.5858081579208374,0.6597222089767456,0.6200818419456482,228.0787353515625
13,0.000989611405310883,197.35935974121094,203.78677368164062,170.12344360351562,197.85935974121094,204.28677368164062,170.62342834472656,192.97021484375,223.71484375,180.9453125,1.1836822032928467,1.0209203958511353,0.2413969784975052,53745.953125,50187.87890625,35153.875,231.83173450802633,224.02651384657577,187.4936665597001,0.6503936648368835,0.7501909732818604,0.7619367837905884,203.78677368164062
14,0.0009879583809693738,204.04835510253906,187.4409637451172,178.5944366455078,204.54833984375,187.94094848632812,179.0944366455078,217.5389404296875,179.6607666015625,176.12115478515625,1.1088272333145142,0.924575924873352,0.24414494633674622,52560.5,43160.1796875,35495.21484375,229.26076855842564,207.75028203951973,188.40173790002575,0.6581047773361206,0.7851711511611938,0.7596251964569092,187.4409637451172
15,0.0009861849601988384,188.69273376464844,180.91680908203125,185.57211303710938,189.19273376464844,181.4167938232422,186.07211303710938,188.22708129882812,194.477783203125,183.60302734375,1.0334336757659912,0.8281154632568359,0.24999754130840302,46922.96875,40558.39453125,42154.46484375,216.61710170252024,201.3911480955655,205.31552509186926,0.6947757601737976,0.7981215119361877,0.7145285606384277,180.91680908203125
