epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,455.2156982421875,478.38958740234375,680.0667114257812,455.7156982421875,478.88958740234375,680.5667114257812,474.70367431640625,428.84234619140625,651.80322265625,2.3060781955718994,2.166360378265381,3.409292459487915,293282.8125,322363.03125,517933.15625,541.5559181654282,567.7702275128557,719.6757299298066,-1.0039668083190918,-0.6045548915863037,-0.5390288829803467,478.38958740234375
2,0.0009997532801828658,438.79034423828125,377.4728698730469,558.5538940429688,439.29034423828125,377.97283935546875,559.0538940429688,425.0075988769531,457.92315673828125,550.671630859375,2.069962978363037,1.983302354812622,3.174821615219116,276061.84375,197788.0,321893.40625,525.4158769489175,444.73362814161015,567.3565071892627,-0.8862981796264648,0.015514612197875977,0.043499648571014404,377.4728698730469
3,0.0009994449374809851,378.7521667480469,335.4061584472656,455.9080505371094,379.25213623046875,335.9061584472656,456.4080505371094,374.2407531738281,288.328125,457.56158447265625,1.9125370979309082,1.8736674785614014,2.9645349979400635,204769.640625,149295.734375,231269.953125,452.51479602881494,386.3880618950332,480.9053473657784,-0.39916670322418213,0.25688380002975464,0.3127855658531189,335.4061584472656
4,0.0009990133642141358,357.1965637207031,310.44140625,389.4500732421875,357.6965637207031,310.94140625,389.95001220703125,333.8509826660156,301.0164794921875,444.3489990234375,1.8403189182281494,1.7876064777374268,2.7920663356781006,188043.640625,132553.25,191923.171875,433.6399896515542,364.0786316168528,438.0903695300777,-0.28488004207611084,0.3402191400527954,0.4297037720680237,310.44140625
5,0.000998458666866564,332.6524658203125,309.4360046386719,382.35235595703125,333.1524658203125,309.9360046386719,382.8523254394531,307.186279296875,279.60565185546875,435.34765625,1.7466306686401367,1.708229899406433,2.673724889755249,164853.234375,122692.4296875,170487.703125,406.0212240449999,350.27479168147397,412.901565902819,-0.12642276287078857,0.3893011808395386,0.49339890480041504,309.4360046386719
6,0.00099778098230154,316.10931396484375,298.8701171875,390.7240905761719,316.60931396484375,299.3701171875,391.22412109375,267.5566711425781,329.6488037109375,426.0177917480469,1.6459381580352783,1.6131784915924072,2.575298309326172,141318.8125,113017.171875,165988.40625,375.92394510060143,336.1802669327871,407.4167476307276,0.03438514471054077,0.4374595284461975,0.5067684650421143,298.8701171875
7,0.0009969804777275899,292.8721618652344,270.1449279785156,367.91766357421875,293.3721618652344,270.6449279785156,368.4176330566406,281.48992919921875,299.3250732421875,416.244873046875,1.5358023643493652,1.5281407833099365,2.4755523204803467,123618.296875,96750.640625,156117.046875,351.59393748328483,311.047650087571,395.11649785221573,0.1553308367729187,0.5184258222579956,0.5361009836196899,270.1449279785156
8,0.000996057350657239,262.0581970214844,256.5780334472656,345.5323181152344,262.5581970214844,257.0780334472656,346.03228759765625,228.82171630859375,237.40264892578125,410.299072265625,1.4282146692276,1.4721118211746216,2.3935649394989014,104244.015625,85647.3984375,145453.453125,322.8684184385336,292.6557678186097,381.3836036394328,0.2877129912376404,0.5736919641494751,0.5677877068519592,256.5780334472656
9,0.0009950118288582787,253.1265106201172,247.056884765625,335.3177185058594,253.62649536132812,247.55685424804688,335.81768798828125,201.661376953125,233.0196533203125,407.0811767578125,1.3767279386520386,1.4133319854736328,2.3262805938720703,97015.6171875,78089.9609375,135954.40625,311.4733009224065,279.44581037743257,368.71995640323024,0.3371037244796753,0.6113089323043823,0.5960139632225037,247.056884765625
10,0.0009938441702975688,234.07240295410156,211.54037475585938,313.68389892578125,234.57240295410156,212.04037475585938,314.1838684082031,172.16046142578125,192.010009765625,394.7884216308594,1.3015213012695312,1.323262095451355,2.2670950889587402,87346.078125,65328.0546875,121052.5390625,295.5436991800028,255.59353412694148,347.9260540150737,0.40317457914352417,0.6748310327529907,0.6402945518493652,211.54037475585938
11,0.000992554663077387,210.7359619140625,207.1336212158203,304.6249084472656,211.23597717285156,207.63363647460938,305.12493896484375,186.40591430664062,183.436767578125,377.74725341796875,1.1873886585235596,1.260971188545227,2.2016546726226807,69224.859375,58345.46484375,110995.109375,263.10617509857116,241.54805907676013,333.15928529008465,0.5269947052001953,0.7095867395401001,0.670180082321167,207.1336212158203
