epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,476.2665100097656,397.08184814453125,397.1619873046875,476.7665100097656,397.58184814453125,397.6619567871094,502.35699462890625,490.515625,378.4261474609375,2.604403018951416,2.2000930309295654,0.990145742893219,308163.96875,226318.625,211374.96875,555.1251829542595,475.7295712902447,459.7553357493527,-0.7247340679168701,-0.12649595737457275,-2.1943070888519287,397.08184814453125
2,0.0009997532801828658,447.8544616699219,394.54132080078125,263.0889892578125,448.3544921875,395.0412902832031,263.5889587402344,502.7036437988281,400.15869140625,214.80682373046875,2.44484806060791,2.0249693393707275,0.7186054587364197,282432.65625,192490.75,114306.9375,531.4439351897809,438.7376778896474,338.09308999149926,-0.5807210206985474,0.041881561279296875,-0.7274110317230225,394.54132080078125
3,0.0009994449374809851,403.8577575683594,379.70013427734375,249.15618896484375,404.3577575683594,380.2001647949219,249.65614318847656,401.04656982421875,426.76953125,170.7550048828125,2.2023439407348633,1.8977195024490356,0.6641519665718079,218083.109375,174971.328125,97514.8984375,466.9936930783969,418.29574241796917,312.2737556015555,-0.22056901454925537,0.12908411026000977,-0.47364914417266846,379.70013427734375
4,0.0009990133642141358,386.8402404785156,355.4526672363281,255.88624572753906,387.34027099609375,355.95263671875,256.38623046875,380.2607116699219,316.88055419921875,190.401611328125,2.0884225368499756,1.7963498830795288,0.6855948567390442,193054.96875,149920.375,101850.4921875,439.3802097841913,387.19552554232854,319.14023906035413,-0.08049130439758301,0.25377464294433594,-0.5391687154769897,355.4526672363281
5,0.000998458666866564,351.2038269042969,328.88787841796875,273.29681396484375,351.7038269042969,329.38787841796875,273.7967834472656,324.38629150390625,367.7545166015625,250.2147216796875,1.9468283653259277,1.7181179523468018,0.7530999183654785,163882.15625,137233.234375,125173.6015625,404.82361128027105,370.45004302199777,353.7988150948219,0.08278322219848633,0.3169246315956116,-0.8916285037994385,328.88787841796875
6,0.00099778098230154,326.77862548828125,332.7806701660156,274.82501220703125,327.2786560058594,333.2806701660156,275.3249816894531,359.02777099609375,375.48968505859375,257.60723876953125,1.890844702720642,1.6474236249923706,0.7515570521354675,152734.140625,127983.9609375,124824.1015625,390.81215516536844,357.74846042645663,353.30454506346223,0.14517658948898315,0.36296266317367554,-0.8863468170166016,328.88787841796875
7,0.0009969804777275899,321.8250732421875,282.1789245605469,253.61062622070312,322.3250732421875,282.6789245605469,254.11061096191406,368.0770568847656,322.38739013671875,203.287353515625,1.8047846555709839,1.5233620405197144,0.6824192404747009,143769.625,101376.1640625,99468.0625,379.1696520028996,318.3962375131025,315.3855775079133,0.19534927606582642,0.49540239572525024,-0.5031653642654419,282.1789245605469
8,0.000996057350657239,282.14105224609375,245.3713836669922,223.8040313720703,282.6410217285156,245.87136840820312,224.3040008544922,280.568359375,254.38714599609375,128.78070068359375,1.660048246383667,1.4086462259292603,0.5933992266654968,117098.8515625,80791.7890625,78105.0390625,342.1970946143465,284.23896471543094,279.47278769586853,0.34462034702301025,0.5978606939315796,-0.1803264617919922,245.3713836669922
9,0.0009950118288582787,283.44598388671875,229.4523162841797,204.1771697998047,283.9424743652344,229.95230102539062,204.67715454101562,287.116943359375,226.5599365234375,138.90350341796875,1.5758018493652344,1.3370866775512695,0.54148268699646,108978.6484375,71674.5546875,69073.96875,330.1191427916594,267.7210389332523,262.8192701268307,0.39006757736206055,0.6432414650917053,-0.043848633766174316,229.4523162841797
10,0.0009938441702975688,272.50079345703125,209.9513397216797,191.93283081054688,273.0008239746094,210.45130920410156,192.43283081054688,280.97747802734375,232.0223388671875,120.8203125,1.4789620637893677,1.2820065021514893,0.5185752511024475,96119.1796875,64687.4453125,63080.65234375,310.03093343648794,254.33726685741513,251.15861988741298,0.462039589881897,0.678019642829895,0.0467226505279541,209.9513397216797
