epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,483.16693115234375,413.6656188964844,297.8005065917969,483.66693115234375,414.16558837890625,298.30047607421875,502.60101318359375,395.419921875,265.40191650390625,2.545727014541626,2.189100980758667,1.1839104890823364,311300.0625,213380.5,126127.8671875,557.9427053918708,461.93127194421464,355.1448538096814,-0.76914381980896,-0.06209671497344971,-0.4649704694747925,413.6656188964844
2,0.0009997532801828658,418.117431640625,384.8426513671875,312.0992126464844,418.6174011230469,385.3426208496094,312.5991516113281,393.58953857421875,349.4381103515625,352.2828369140625,2.334160089492798,2.029933452606201,1.1365983486175537,252301.9375,182885.109375,118621.640625,502.29666283980026,427.65068616219946,344.4149250903625,-0.4338526725769043,0.08969342708587646,-0.3777860403060913,384.8426513671875
3,0.0009994449374809851,387.899169921875,368.9884033203125,323.43359375,388.3992004394531,369.48834228515625,323.93359375,377.7473449707031,383.3157958984375,292.2205810546875,2.1538610458374023,1.8681656122207642,1.0817439556121826,210223.171875,164799.140625,117829.640625,458.50100531514653,405.9546041431234,343.263223525329,-0.19471561908721924,0.17971593141555786,-0.36858701705932617,368.9884033203125
4,0.0009990133642141358,364.786376953125,330.0672302246094,303.4805603027344,365.2864074707031,330.56719970703125,303.98052978515625,346.3311767578125,379.8507080078125,274.22900390625,1.9916393756866455,1.7605371475219727,1.0331777334213257,176984.484375,141017.46875,103529.015625,420.6952393063178,375.522927063049,321.7592510325072,-0.005817294120788574,0.2980887293815613,-0.20248568058013916,330.0672302246094
5,0.000998458666866564,345.3669738769531,300.71466064453125,273.0578308105469,345.8669738769531,301.2146301269531,273.55780029296875,357.5291748046875,336.19097900390625,251.780517578125,1.8966238498687744,1.646006464958191,0.973002552986145,160451.84375,118862.8046875,86360.421875,400.56440649413673,344.7648541941304,293.8714376644998,0.08813893795013428,0.4083630442619324,-0.00307309627532959,300.71466064453125
6,0.00099778098230154,314.9162292480469,263.1094665527344,236.67031860351562,315.41619873046875,263.60943603515625,237.17030334472656,307.47369384765625,263.95672607421875,208.2271728515625,1.7913439273834229,1.5333881378173828,0.9037700295448303,140055.015625,98062.484375,70348.03125,374.2392491775816,313.1493004542721,265.23203285048356,0.20405584573745728,0.5118961334228516,0.18291020393371582,263.1094665527344
7,0.0009969804777275899,279.9788818359375,266.1067199707031,192.33950805664062,280.4788818359375,266.606689453125,192.83949279785156,241.9444580078125,290.870361328125,156.7501220703125,1.6539416313171387,1.478732943534851,0.839601457118988,118413.5546875,91134.0390625,56871.7421875,344.1127063732172,301.884148412102,238.47797002553506,0.3270460367202759,0.5463823676109314,0.3394368290901184,263.1094665527344
8,0.000996057350657239,265.0030212402344,233.17987060546875,176.33270263671875,265.5030212402344,233.6798858642578,176.8327178955078,241.87646484375,236.26202392578125,131.0050048828125,1.5591803789138794,1.3801803588867188,0.8006239533424377,107100.4453125,74663.625,49689.59765625,327.26204380052997,273.2464546888029,222.91163643078394,0.3913393020629883,0.6283634901046753,0.4228571653366089,233.17987060546875
9,0.0009950118288582787,249.6733856201172,257.55224609375,199.00057983398438,250.17335510253906,258.05224609375,199.50059509277344,252.01211547851562,227.0533447265625,164.15093994140625,1.426897644996643,1.3326451778411865,0.8085280656814575,89075.984375,75151.9375,53492.98828125,298.45600073545177,274.138537057452,231.28551247592227,0.493773877620697,0.6259329319000244,0.378680944442749,233.17987060546875
10,0.0009938441702975688,259.05596923828125,235.37696838378906,184.41307067871094,259.55596923828125,235.876953125,184.91305541992188,285.14544677734375,201.7750244140625,155.85479736328125,1.3694437742233276,1.2665796279907227,0.7804226279258728,89914.0234375,65639.015625,46719.38671875,299.8566714907307,256.20112338746685,216.14667871320623,0.48901116847991943,0.6732832789421082,0.4573560357093811,233.17987060546875
11,0.000992554663077387,224.38272094726562,224.24734497070312,159.90965270996094,224.88270568847656,224.74734497070312,160.40965270996094,261.35333251953125,223.33612060546875,131.2908935546875,1.2752063274383545,1.2108590602874756,0.7412437200546265,74827.6640625,60744.96875,42029.0625,273.5464568633635,246.46494426185643,205.00990829713572,0.5747482180595398,0.6976432800292969,0.5118340253829956,224.24734497070312
