epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,451.8695373535156,389.55194091796875,579.0224609375,452.36956787109375,390.05194091796875,579.5224609375,460.1232604980469,494.40673828125,539.532958984375,2.3323590755462646,2.181413412094116,3.2086880207061768,281090.78125,224506.5,426766.8125,530.1799517616637,473.8211687968363,653.2739184293216,-0.6122468709945679,-0.11747610569000244,-3.852287769317627,389.55194091796875
2,0.0009997532801828658,435.8533020019531,378.9383544921875,420.1806945800781,436.3533020019531,379.4383239746094,420.6806640625,474.864013671875,475.49945068359375,412.59967041015625,2.2088723182678223,1.9756324291229248,2.7915165424346924,268803.59375,198039.515625,274665.8125,518.4627216589444,445.016309392139,524.0856919435981,-0.5417715311050415,0.014262676239013672,-2.122917652130127,378.9383544921875
3,0.0009994449374809851,398.604736328125,373.4383544921875,349.2893981933594,399.104736328125,373.9383239746094,349.78936767578125,412.56658935546875,403.2135009765625,347.86871337890625,1.984527587890625,1.8550570011138916,2.5759079456329346,216303.765625,190622.484375,225740.53125,465.08468650881207,436.6033490194504,475.12159627825804,-0.24064910411834717,0.05118083953857422,-1.5666429996490479,373.4383544921875
4,0.0009990133642141358,398.5257263183594,344.1866760253906,347.9931945800781,399.0257568359375,344.68670654296875,348.4931640625,421.2641296386719,394.0196533203125,351.7696533203125,1.8628567457199097,1.7531541585922241,2.5140883922576904,207814.21875,158803.15625,215753.34375,455.8664483705727,398.50113707491477,464.49256587161864,-0.19195592403411865,0.2095608115196228,-1.453089714050293,344.1866760253906
5,0.000998458666866564,364.9156494140625,310.3805236816406,373.82427978515625,365.4156188964844,310.8805236816406,374.3242492675781,392.841552734375,302.78564453125,384.48675537109375,1.7644140720367432,1.6716079711914062,2.5138285160064697,174143.546875,125704.875,219824.734375,417.30510046607384,354.5488330258612,468.85470497265993,0.0011683106422424316,0.3743067979812622,-1.4993810653686523,310.3805236816406
6,0.00099778098230154,321.960205078125,278.165283203125,407.90020751953125,322.4602355957031,278.6652526855469,408.40020751953125,326.178466796875,347.69561767578125,428.98858642578125,1.667051076889038,1.6107286214828491,2.5077667236328125,146115.28125,112718.5,229275.78125,382.2502861346215,335.73575919165955,478.8275067808866,0.16192954778671265,0.4389461874961853,-1.6068384647369385,278.165283203125
7,0.0009969804777275899,303.8851623535156,300.51715087890625,407.7472229003906,304.3849792480469,301.0171203613281,408.24725341796875,331.8360595703125,364.12548828125,436.23675537109375,1.6213734149932861,1.579917311668396,2.4465081691741943,138902.828125,111750.2421875,222336.859375,372.6966972284568,334.29065525003836,471.5260961760229,0.20329779386520386,0.44376564025878906,-1.5279436111450195,278.165283203125
8,0.000996057350657239,301.69219970703125,274.1109619140625,364.9510192871094,302.19219970703125,274.6109313964844,365.4510192871094,323.66143798828125,327.1043701171875,402.0419921875,1.5664492845535278,1.4947048425674438,2.3054025173187256,129947.015625,96646.3515625,187936.921875,360.48164395014624,310.8799632695874,433.51692224756346,0.2546654939651489,0.5189449787139893,-1.1368205547332764,274.1109619140625
9,0.0009950118288582787,275.078857421875,251.48658752441406,307.7728576660156,275.578857421875,251.986572265625,308.2728576660156,256.26495361328125,271.96612548828125,354.714599609375,1.457837462425232,1.4054642915725708,2.1401243209838867,108758.4296875,85110.8125,152746.125,329.7854297683571,291.73757471398847,390.8274875184702,0.3761965036392212,0.5763628482818604,-0.7367051839828491,251.48658752441406
10,0.0009938441702975688,259.5806579589844,262.84332275390625,265.53033447265625,260.0806579589844,263.34332275390625,266.0303039550781,227.46539306640625,258.1873779296875,318.6990966796875,1.373194932937622,1.3552722930908203,1.9889781475067139,94203.9453125,80812.046875,127059.2890625,306.9266122585332,284.27459766043114,356.4537684784662,0.45967626571655273,0.5977598428726196,-0.44464898109436035,251.48658752441406
