epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,837.1961380515055,734.7161254882812,740.7640380859375,837.6961669921875,735.2161254882812,741.2640380859375,638.4855346679688,623.316162109375,623.684326171875,1.7698577642440796,1.3127338886260986,1.6480015516281128,1005578.125,709182.0,719194.375,1002.7851838753901,842.1294437317816,848.0532854720864,0.06446272134780884,0.3130638003349304,0.3960527777671814,734.7161254882812
2,0.0009997532801828658,588.980480252066,418.9911804199219,407.8165588378906,589.4805297851562,419.49114990234375,408.3165588378906,505.71307373046875,360.8447265625,366.418701171875,1.7346351146697998,1.2839347124099731,1.599773645401001,503180.5625,238445.3125,255666.234375,709.3522132904077,488.308624232667,505.634486932013,0.5318670868873596,0.7690342664718628,0.7853029370307922,418.9911804199219
3,0.0009994449374809851,433.0696089724277,391.4167785644531,345.3240966796875,433.56915283203125,391.91680908203125,345.8240661621094,406.5909423828125,337.6158447265625,335.37384033203125,1.6939010620117188,1.204867959022522,1.4148571491241455,295374.46875,215341.21875,172279.28125,543.483641658146,464.0487245430161,415.06539394413505,0.7251990437507629,0.7914136648178101,0.8553276062011719,391.4167785644531
4,0.0009990133642141358,357.21390749111004,333.4017333984375,260.074462890625,357.71380615234375,333.9017639160156,260.574462890625,309.1055908203125,294.59173583984375,210.55908203125,1.4471429586410522,1.0198414325714111,0.981012225151062,235805.328125,170001.578125,118893.4375,485.5979078671983,412.312476314991,344.80927699236867,0.7806190848350525,0.8353310823440552,0.9001586437225342,333.4017333984375
5,0.000998458666866564,267.5325194941466,279.50445556640625,239.63853454589844,268.0325012207031,280.0044860839844,240.13853454589844,187.585205078125,208.81263732910156,166.72760009765625,1.0510057210922241,0.6011614799499512,0.6141905188560486,157496.125,132823.96875,112642.7265625,396.85781458855007,364.450228083342,335.62289338258796,0.8534738421440125,0.8713424801826477,0.9054076671600342,279.50445556640625
6,0.00099778098230154,261.2627076493933,260.2115173339844,212.11375427246094,261.7626953125,260.7115478515625,212.61373901367188,193.7637481689453,177.1783447265625,162.7991485595703,0.9653902053833008,0.5080897212028503,0.6243866682052612,139581.9375,117976.390625,86175.9140625,373.6066614770138,343.4769142533454,293.5573437379825,0.8701402544975281,0.8857243061065674,0.9276333451271057,260.2115173339844
7,0.0009969804777275899,220.32610100743256,252.80233764648438,175.86451721191406,220.82608032226562,253.30235290527344,176.364501953125,156.006103515625,186.50885009765625,122.0064697265625,0.7713562846183777,0.544527530670166,0.48237401247024536,112571.40625,108260.90625,56567.70703125,335.5166258920711,329.0302512687853,237.83966664803833,0.8952694535255432,0.8951350450515747,0.9524969458580017,252.80233764648438
8,0.000996057350657239,201.36845931311146,243.6248016357422,167.46946716308594,201.86830139160156,244.12481689453125,167.96945190429688,156.0643310546875,178.7396240234375,134.08541870117188,0.6684629917144775,0.6174027323722839,0.46617788076400757,92134.0,95234.96875,54664.16015625,303.53582984550604,308.60163439295,233.80367866278323,0.9142833352088928,0.9077523946762085,0.9540954828262329,243.6248016357422
9,0.0009950118288582787,188.48922594992223,227.18238830566406,170.41175842285156,188.988037109375,227.68240356445312,170.9117431640625,130.685791015625,154.2939453125,137.5850830078125,0.6235121488571167,0.4695369303226471,0.4253283441066742,88877.0703125,97521.3203125,45949.875,298.12257598595244,312.284037876578,214.3592195358063,0.9173133969306946,0.9055377244949341,0.9614133834838867,227.18238830566406
10,0.0009938441702975688,177.26896004256506,203.9011688232422,141.0736846923828,177.76889038085938,204.40118408203125,141.57369995117188,125.07170104980469,144.05691528320312,113.1146011352539,0.5181031823158264,0.48513227701187134,0.40910860896110535,78973.0859375,78341.5078125,31603.068359375,281.02150440402244,279.89553017599263,177.77251857183944,0.9265275597572327,0.9241159558296204,0.9734611511230469,203.9011688232422
11,0.000992554663077387,161.29158395691846,218.60231018066406,143.35862731933594,161.79159545898438,219.0967559814453,143.85862731933594,97.82470703125,214.419921875,104.62893676757812,0.4681781828403473,0.4953802227973938,0.37581104040145874,74699.2578125,80385.5234375,33749.32421875,273.3116496099279,283.5234089762254,183.70989145593114,0.9305037260055542,0.9221360087394714,0.9716588258743286,203.9011688232422
12,0.0009911436253643444,150.43879296207137,218.186279296875,138.2958526611328,150.9359893798828,218.686279296875,138.79583740234375,103.13623046875,186.73394775390625,120.56060791015625,0.45502084493637085,0.4685315787792206,0.35080501437187195,68670.515625,82802.328125,30493.921875,262.05059745209513,287.75393676716226,174.62508947742876,0.9361125230789185,0.919795036315918,0.9743925929069519,203.9011688232422
13,0.000989611405310883,139.6868441039668,206.87832641601562,134.5884552001953,140.1868438720703,207.3783416748047,135.0810089111328,89.1802978515625,137.363037109375,104.1861572265625,0.42039453983306885,0.4314650893211365,0.3139212429523468,64236.65234375,81431.15625,29423.0,253.4495064973495,285.36144842988165,171.53133824464845,0.9402375817298889,0.921123206615448,0.975291907787323,203.9011688232422
14,0.0009879583809693738,146.11627243644924,207.2538299560547,135.68016052246094,146.61529541015625,207.7538299560547,136.18016052246094,88.4461669921875,118.97470092773438,111.49774169921875,0.39248642325401306,0.3897879421710968,0.29678332805633545,73489.2265625,95050.4921875,27947.2265625,271.088964294934,308.3025984118525,167.17424012837623,0.931629478931427,0.9079310894012451,0.9765311479568481,203.9011688232422
15,0.0009861849601988384,131.65759068636908,211.30364990234375,134.6613311767578,132.15757751464844,211.8036651611328,135.1613311767578,84.03375244140625,168.290283203125,105.8287582397461,0.33657851815223694,0.4378022849559784,0.2917662262916565,54359.5859375,77600.8125,31089.3125,233.15142276533507,278.56922389237474,176.3216166554742,0.9494267106056213,0.9248334169387817,0.9738925695419312,203.9011688232422
16,0.0009842915805643156,126.4501570959584,220.8357696533203,151.60240173339844,126.94811248779297,221.33580017089844,152.10240173339844,77.162353515625,166.151611328125,136.93829345703125,0.3513822853565216,0.38123655319213867,0.3300449848175049,56727.1171875,91428.0078125,35459.26953125,238.17455193093153,302.3706464134705,188.30631835190766,0.9472240805625916,0.9114399552345276,0.9702228903770447,203.9011688232422
17,0.000982278709228899,128.4945622591987,198.96353149414062,151.57571411132812,128.99301147460938,199.4635467529297,152.07571411132812,79.89306640625,131.3385009765625,113.69996643066406,0.33824679255485535,0.4163591265678406,0.3099082410335541,64214.3203125,70552.59375,37869.375,253.4054464933617,265.6173822437078,194.6005524144266,0.9402583837509155,0.931660532951355,0.9681990146636963,198.96353149414062
18,0.0009801468428384716,131.96822512548383,194.53663635253906,113.80557250976562,132.46824645996094,195.03665161132812,114.30257415771484,76.941162109375,135.441162109375,85.4576416015625,0.3457271158695221,0.3667222857475281,0.26548439264297485,73071.1953125,73221.734375,20689.578125,270.31684245066936,270.59514846907365,143.83872262016234,0.9320183992385864,0.9290751218795776,0.9826258420944214,194.53663635253906
19,0.000977896507399165,111.52971055514907,175.36341857910156,102.95903015136719,112.02949523925781,175.86341857910156,103.45423889160156,67.48876953125,108.2108154296875,89.70614624023438,0.2950025498867035,0.2860197126865387,0.254269540309906,45431.4296875,63369.68359375,15372.001953125,213.14649818258803,251.73335812670913,123.98387779515932,0.9577329754829407,0.9386181235313416,0.9870913028717041,175.36341857910156
20,0.0009755282581475768,118.3094667823119,162.41265869140625,115.31222534179688,118.8094711303711,162.9126739501953,115.81221771240234,74.66815185546875,132.3935546875,98.04269409179688,0.2870980203151703,0.2611196041107178,0.2602607309818268,50350.08984375,48206.609375,20117.08984375,224.3882569203433,219.56003592411804,141.8347272135777,0.9531568884849548,0.9533055424690247,0.9831065535545349,162.41265869140625
21,0.0009730426794137727,109.29783083095377,181.4840087890625,115.33036804199219,109.79586791992188,181.98402404785156,115.83036041259766,63.694915771484375,147.64102172851562,85.71907043457031,0.268511563539505,0.27952003479003906,0.2597264349460602,47876.26171875,61408.31640625,22701.193359375,218.806448073977,247.80701444117759,150.66915198332737,0.955458402633667,0.9405179619789124,0.9809365272521973,162.41265869140625
22,0.0009704403844771128,109.45471151983847,187.94439697265625,115.08841705322266,109.9527587890625,188.4444122314453,115.58842468261719,59.938751220703125,145.18521118164062,72.87953186035156,0.27712446451187134,0.31290504336357117,0.2520160973072052,47570.38671875,59069.2421875,22298.71484375,218.10636560804454,243.04164702268622,149.32754214728774,0.9557430148124695,0.9427836537361145,0.9812745451927185,162.41265869140625
23,0.0009677220154149337,104.47507751603982,175.95980834960938,115.25104522705078,104.97383117675781,176.45982360839844,115.74462890625,61.17919921875,117.61767578125,100.85287475585938,0.2782582938671112,0.23595917224884033,0.22129018604755402,46893.4609375,60065.33984375,23766.98828125,216.5489804582326,245.08231238453337,154.16545748399673,0.9563727974891663,0.9418188333511353,0.9800415635108948,162.41265869140625
24,0.0009648882429441257,103.83465975033839,166.15945434570312,111.14130401611328,104.33185577392578,166.65945434570312,111.64129638671875,61.53192138671875,115.84156799316406,81.99658966064453,0.2527286112308502,0.25313055515289307,0.23437154293060303,45810.96484375,51273.1328125,20451.27734375,214.03496173230673,226.43571452511637,143.00796251870034,0.9573798775672913,0.9503352046012878,0.9828259348869324,162.41265869140625
25,0.0009619397662556434,102.5233070118449,170.378173828125,125.2358627319336,103.02029418945312,170.878173828125,125.7358627319336,61.07621765136719,87.02629852294922,116.75434875488281,0.2409972846508026,0.2536247670650482,0.2381593883037567,41679.51953125,52668.9921875,26118.73828125,204.15562576439083,229.4972596513954,161.61292733333556,0.9612235426902771,0.9489831328392029,0.9780666828155518,162.41265869140625
26,0.0009588773128419905,103.05011146336703,166.1986541748047,121.82412719726562,103.5478744506836,166.6986541748047,122.31945037841797,64.676513671875,109.3157958984375,95.59564208984375,0.24808569252490997,0.27983298897743225,0.24664618074893951,40117.76171875,52539.7734375,27265.99609375,200.29418793052884,229.2155610718871,165.12418385490963,0.9626765251159668,0.9491083025932312,0.9771032333374023,162.41265869140625
27,0.0009557016383177226,92.02577503981199,149.15118408203125,111.36134338378906,92.52352142333984,149.64837646484375,111.8593978881836,57.302730560302734,89.231689453125,84.74676513671875,0.2404928207397461,0.20238126814365387,0.24213965237140656,38438.07421875,47539.1953125,21552.5546875,196.05630369552009,218.0348488487563,146.80788360132436,0.964239239692688,0.9539520144462585,0.9819011092185974,149.15118408203125
