epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,843.0778357786972,758.0791625976562,741.4771728515625,843.577880859375,758.5791015625,741.9771728515625,652.169189453125,654.2579345703125,638.3028564453125,1.7879338264465332,1.6771734952926636,1.317583680152893,1025192.6875,734451.1875,714125.375,1012.517993667273,857.0012762534254,845.0593914039415,0.048788249492645264,0.38309675455093384,0.2914460301399231,758.0791625976562
2,0.0009997532801828658,567.1953629606763,402.1044006347656,414.476806640625,567.6953125,402.60443115234375,414.976806640625,503.867431640625,339.8839111328125,358.06854248046875,1.7728642225265503,1.630791425704956,1.2735552787780762,465909.40625,251899.1875,228793.46875,682.5755681607715,501.8955942225435,478.32360254329916,0.5677119493484497,0.7884169220924377,0.7729915380477905,402.1044006347656
3,0.0009994449374809851,428.5131425016919,355.94415283203125,367.9975280761719,429.0131530761719,356.44415283203125,368.4975280761719,416.13958740234375,320.150390625,369.4167785644531,1.7537964582443237,1.4334765672683716,1.1734987497329712,301693.96875,197137.859375,187922.75,549.2667555477939,444.0020938858284,433.5005767008851,0.7200771570205688,0.8344137668609619,0.8135433793067932,355.94415283203125
4,0.0009990133642141358,349.77197887107593,290.8594665527344,326.55731201171875,350.27178955078125,291.3492736816406,327.0572814941406,326.61181640625,180.13720703125,282.87908935546875,1.4709796905517578,0.9845481514930725,0.8880743980407715,227824.875,147944.8125,149897.375,477.3100407491969,384.63594800798325,387.16582364666436,0.7886156439781189,0.8757335543632507,0.8512721061706543,290.8594665527344
5,0.000998458666866564,280.62558938811975,253.30296325683594,288.47564697265625,281.1244201660156,253.802978515625,288.97564697265625,208.61651611328125,157.298583984375,231.566650390625,1.0932477712631226,0.7416932582855225,0.5784873366355896,168428.5,123197.453125,144238.578125,410.40041422981045,350.9949474351447,379.7875434042038,0.8437258005142212,0.8965201377868652,0.8568867444992065,253.30296325683594
6,0.00099778098230154,259.26868974401594,209.27914428710938,277.6616516113281,259.7686767578125,209.77915954589844,278.1616516113281,198.9908447265625,108.1158447265625,239.83941650390625,0.9399638772010803,0.6571609973907471,0.5324234366416931,148633.34375,90685.5390625,130703.984375,385.52995181957004,301.1403975930496,361.5300601264022,0.8620924949645996,0.9238285422325134,0.8703157305717468,209.27914428710938
7,0.0009969804777275899,224.50244671667963,195.25108337402344,265.0397033691406,225.0009307861328,195.75111389160156,265.53704833984375,148.2943115234375,137.0231170654297,224.95681762695312,0.7629470825195312,0.5523555278778076,0.6500279307365417,114777.2734375,75429.6484375,115757.4296875,338.7879475977562,274.64458566937014,340.23143547811685,0.8935053944587708,0.9366427659988403,0.8851456642150879,195.25108337402344
8,0.000996057350657239,220.453692636229,203.6765594482422,260.47161865234375,220.9536895751953,204.1672821044922,260.97161865234375,167.447998046875,133.7548828125,212.6572265625,0.7488609552383423,0.5016953349113464,0.5882275104522705,107572.1484375,75887.453125,111212.1875,327.9819330961692,275.4767742024725,333.4849134518682,0.9001905918121338,0.9362582564353943,0.8896554708480835,195.25108337402344
9,0.0009950118288582787,200.300079948634,175.36741638183594,257.88690185546875,200.79974365234375,175.867431640625,258.3868713378906,145.212890625,120.52316284179688,185.0357666015625,0.6386179327964783,0.47280293703079224,0.4956081509590149,95150.6484375,63108.23046875,111476.546875,308.4649873770117,251.2135156968072,333.8810370101902,0.9117156863212585,0.9469921588897705,0.889393150806427,175.36741638183594
10,0.0009938441702975688,182.15206528869444,183.08399963378906,251.280517578125,182.6505584716797,183.58401489257812,251.78050231933594,126.57763671875,138.7777862548828,205.60800170898438,0.5494657158851624,0.48313307762145996,0.4955354332923889,83196.8203125,53548.90234375,104148.390625,288.438590192956,231.40635761307425,322.7202978199543,0.9228069186210632,0.9550215005874634,0.8966641426086426,175.36741638183594
