epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,855.7877363725142,772.1422119140625,646.5946044921875,856.2877807617188,772.6422729492188,647.0946655273438,659.2166748046875,622.969482421875,539.0167236328125,1.7958906888961792,1.6915154457092285,1.6321403980255127,1044158.1875,791312.3125,568927.5,1021.8405881056008,889.5573688638636,754.2728286237017,0.047777771949768066,0.3353361487388611,0.365592360496521,772.1422119140625
2,0.0009997532801828658,558.724834095348,404.69024658203125,477.3607482910156,559.2227783203125,405.1902770996094,477.8608093261719,499.5242614746094,365.319091796875,453.52923583984375,1.679688811302185,1.6145964860916138,1.6393154859542847,461077.03125,261579.640625,352427.6875,679.0265320663103,511.44857085048153,593.6562031175956,0.5795198678970337,0.7802858352661133,0.607010006904602,404.69024658203125
3,0.0009994449374809851,452.466338001598,361.5306091308594,375.440673828125,452.9663391113281,362.0306091308594,375.9407043457031,431.2816162109375,355.408935546875,324.8666076660156,1.8314930200576782,1.4511979818344116,1.466569423675537,369645.5625,188325.359375,217268.3125,607.9848373931706,433.964698305058,466.12049139680613,0.662900984287262,0.8418158888816833,0.7577254176139832,361.5306091308594
4,0.0009990133642141358,374.8376573967211,310.9544372558594,296.5830383300781,375.3376770019531,311.4524841308594,297.08306884765625,342.3284912109375,252.8196258544922,272.5997314453125,1.488828420639038,1.0798544883728027,1.0906236171722412,244242.140625,148933.4375,135165.390625,494.20860031468493,385.91895198344434,367.6484606590921,0.7772628664970398,0.87490314245224,0.8492778539657593,310.9544372558594
5,0.000998458666866564,306.1642681699811,258.0361022949219,247.510498046875,306.66424560546875,258.5361022949219,248.010498046875,257.39697265625,157.9547119140625,188.24163818359375,1.1149049997329712,0.643950879573822,0.6235244870185852,176446.453125,115772.515625,107260.8515625,420.05529769900534,340.2536048670168,327.50702521091057,0.8390892744064331,0.9027566909790039,0.8803940415382385,258.0361022949219
6,0.00099778098230154,261.31823878432766,250.41177368164062,224.28335571289062,261.81793212890625,250.91175842285156,224.78338623046875,207.4320068359375,197.0269775390625,159.2440185546875,0.8819080591201782,0.6330292224884033,0.620428204536438,146483.703125,105437.8203125,84637.4375,382.7318945750406,324.7119035583697,290.9251407149269,0.8664138913154602,0.9114373922348022,0.9056212902069092,250.41177368164062
7,0.0009969804777275899,238.0768602775805,203.0692596435547,195.315185546875,238.57606506347656,203.5692901611328,195.815185546875,160.7576904296875,125.60514831542969,129.58154296875,0.7683729529380798,0.5521444082260132,0.4840719699859619,126262.1484375,75623.046875,78704.8203125,355.3338548991638,274.9964488407078,280.5437939297535,0.8848549723625183,0.9364803433418274,0.912236750125885,203.0692596435547
8,0.000996057350657239,229.3819988828717,231.13519287109375,243.47088623046875,229.8818359375,231.63519287109375,243.9677276611328,171.59417724609375,208.8143310546875,174.40042114257812,0.6859701871871948,0.5455058813095093,0.46935421228408813,131553.171875,81696.046875,119490.2421875,362.70259424906243,285.82520335862614,345.67360643748896,0.8800297975540161,0.9313793182373047,0.8667571544647217,203.0692596435547
9,0.0009950118288582787,211.6858477968158,167.8660125732422,204.04718017578125,212.18569946289062,168.36602783203125,204.54718017578125,147.86053466796875,129.16693115234375,108.902099609375,0.5788020491600037,0.49855655431747437,0.46468451619148254,108308.921875,48599.83203125,90386.25,329.1032085455868,220.45369588929555,300.64306078803816,0.9012274742126465,0.9591785073280334,0.8992108106613159,167.8660125732422
10,0.0009938441702975688,194.17394940925368,176.8443145751953,167.60244750976562,194.67393493652344,177.34432983398438,168.1024627685547,128.92617797851562,135.01171875,88.6304931640625,0.5718806385993958,0.4800148010253906,0.4067404270172119,95568.703125,51018.19921875,57149.73828125,309.1418818681804,225.872085966261,239.0601143671817,0.9128459095954895,0.9571471810340881,0.9362726807594299,167.8660125732422
