epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,857.7016886393229,755.2996215820312,639.689208984375,858.2017211914062,755.7996826171875,640.1892700195312,650.057373046875,668.5716552734375,532.7100830078125,1.751373052597046,1.7272175550460815,1.755147099494934,1056466.625,724959.125,582102.0625,1027.8456231360817,851.445315331525,762.9561340601438,0.032620131969451904,0.3910696506500244,0.38606011867523193,755.2996215820312
2,0.0009997532801828658,588.109756747159,513.3307495117188,570.446044921875,588.6083984375,513.830810546875,570.946044921875,526.9447021484375,409.6981201171875,346.916748046875,1.7411609888076782,1.7088066339492798,2.009357452392578,482824.8125,608655.0,902981.0625,694.8559652906492,780.1634444140535,950.2531570586862,0.5578895211219788,0.48875945806503296,0.04763072729110718,513.3307495117188
3,0.0009994449374809851,514.2777907862808,390.4364318847656,466.0786437988281,514.77783203125,390.9364318847656,466.5786437988281,453.05230712890625,333.7308349609375,334.045654296875,1.754946231842041,1.4952642917633057,2.283945322036743,525613.75,305633.25,809264.625,724.9922413377952,552.8410711949683,899.5913655654994,0.5187088251113892,0.7432829141616821,0.14647293090820312,390.4364318847656
4,0.0009990133642141358,372.7530922629617,373.5457763671875,405.78448486328125,373.25311279296875,374.0458068847656,406.28448486328125,358.65606689453125,342.1239318847656,292.964599609375,1.4647819995880127,1.2270272970199585,1.7299823760986328,200139.484375,198228.703125,490963.8125,447.36951659115084,445.2288210852932,700.6880992995385,0.8167372941970825,0.8334975242614746,0.4821830987930298,373.5457763671875
5,0.000998458666866564,327.4453938802083,287.0695495605469,406.6157531738281,327.9446716308594,287.5696105957031,407.1140441894531,290.576171875,213.687744140625,248.779541015625,1.2122164964675903,0.8348456621170044,1.5645058155059814,163753.453125,135107.78125,547428.0,404.66461807897167,367.5701038577539,739.8837746565334,0.8500550985336304,0.8865160346031189,0.4226306676864624,287.0695495605469
6,0.00099778098230154,287.18407463304925,251.7796173095703,357.46368408203125,287.6826171875,252.27960205078125,357.9637145996094,218.4566650390625,180.2249755859375,194.402099609375,0.984645426273346,0.6982442140579224,1.4499009847640991,146757.15625,111657.0,468945.0625,383.0889664947295,334.1511633976455,684.7956355731249,0.8656181693077087,0.9062135219573975,0.5054061412811279,251.7796173095703
7,0.0009969804777275899,241.82966003417968,225.5794219970703,338.6854248046875,242.3296356201172,226.07945251464844,339.1854553222656,180.37269592285156,143.9913787841797,209.548828125,0.8093855381011963,0.6575229167938232,1.3919702768325806,108964.65625,90916.9453125,437363.65625,330.0979494786358,301.5243693509697,661.3347535477022,0.9002238512039185,0.9236341714859009,0.5387148857116699,225.5794219970703
8,0.000996057350657239,238.41429780902286,221.40733337402344,315.4236145019531,238.914306640625,221.9073486328125,315.92364501953125,185.00164794921875,156.533447265625,184.03384399414062,0.7592443227767944,0.6126177310943604,1.3191856145858765,101125.484375,87758.5390625,394294.25,318.0023339143913,296.2406775959372,627.9285389277987,0.9074019193649292,0.9262871146202087,0.5841399431228638,221.40733337402344
9,0.0009950118288582787,231.26292909564393,218.81935119628906,310.8370666503906,231.76292419433594,219.3193817138672,311.33709716796875,164.9212646484375,155.8087158203125,171.682861328125,0.7388331294059753,0.5324485898017883,1.2967725992202759,100023.671875,85617.8203125,428000.28125,316.2651923228353,292.6052294688186,654.2173043033943,0.9084108471870422,0.928085207939148,0.5485904216766357,218.81935119628906
10,0.0009938441702975688,215.94207606460108,224.14242553710938,308.9704284667969,216.44204711914062,224.6424102783203,309.4704284667969,150.44802856445312,155.248046875,193.7276611328125,0.5839553475379944,0.5620595216751099,1.2515692710876465,93656.375,82736.7421875,423648.375,306.03329067276326,287.63995234928683,650.8827659417632,0.9142412543296814,0.9305051565170288,0.5531803369522095,218.81935119628906
