epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,873.5140802556818,791.718505859375,584.894775390625,874.0140380859375,792.218505859375,585.3948364257812,670.974853515625,667.1868286132812,501.53851318359375,1.7675130367279053,1.7063055038452148,1.5481963157653809,1096867.0,804022.25,444187.71875,1047.3141839963785,896.6728779214859,666.4740945828278,0.021013855934143066,0.32466042041778564,0.348924458026886,791.718505859375
2,0.0009997532801828658,610.5265306877368,432.9002380371094,376.8653259277344,611.026611328125,433.4002380371094,377.3653259277344,509.43292236328125,417.2100830078125,337.965087890625,1.7860362529754639,1.5720938444137573,1.482609748840332,560285.6875,244483.125,203619.15625,748.5223360060808,494.45234856353954,451.24179355418755,0.4999285340309143,0.7946460843086243,0.7015417814254761,432.9002380371094
3,0.0009994449374809851,456.0352958910393,322.84027099609375,354.34002685546875,456.5352783203125,323.34033203125,354.84002685546875,430.00396728515625,264.30517578125,304.0617980957031,1.6753071546554565,1.4202386140823364,1.4326974153518677,330513.25,218607.421875,202683.578125,574.9028178744647,467.554726074927,450.20392948640506,0.7050071954727173,0.8163803815841675,0.7029131650924683,322.84027099609375
4,0.0009990133642141358,415.25486949573866,295.1841125488281,272.9942626953125,415.75482177734375,295.6841125488281,273.4942626953125,339.4532470703125,295.2716979980469,244.256103515625,1.5163497924804688,1.1402827501296997,1.1254545450210571,383506.3125,116556.765625,112136.4140625,619.2788648904466,341.40410897498,334.86775608066534,0.6577092409133911,0.9020980000495911,0.835634171962738,295.1841125488281
5,0.000998458666866564,336.0298304702296,269.5898132324219,212.97317504882812,336.529296875,270.08984375,213.47317504882812,282.42529296875,158.348388671875,133.80307006835938,1.3242181539535522,0.8583360314369202,0.8420583009719849,220688.046875,144194.75,79713.90625,469.77446383876594,379.72983817445794,282.336512427989,0.8030294179916382,0.878883421421051,0.8831580281257629,269.5898132324219
6,0.00099778098230154,291.7210441820549,264.5889892578125,201.7378692626953,292.2208251953125,265.0889892578125,202.23785400390625,226.04505920410156,150.848876953125,131.356689453125,1.0116229057312012,0.6213669776916504,0.7276214957237244,172216.328125,182154.65625,77328.859375,414.98955182630806,426.79580158431736,278.080670624551,0.8462918400764465,0.846998929977417,0.8866539597511292,264.5889892578125
7,0.0009969804777275899,262.1203305331143,222.8876190185547,184.1162567138672,262.620361328125,223.3876190185547,184.6162567138672,194.80352783203125,132.043212890625,128.48046875,0.7731930613517761,0.566222071647644,0.6877733469009399,150702.875,103801.3515625,68406.828125,388.2046818367857,322.182171391435,261.54699028090533,0.8654932379722595,0.9128119349479675,0.8997315168380737,222.8876190185547
8,0.000996057350657239,260.9243710604581,213.40383911132812,194.68934631347656,261.42437744140625,213.90383911132812,195.1893768310547,199.83114624023438,120.96263122558594,155.7359161376953,0.7785545587539673,0.5710238814353943,0.6524885892868042,134669.59375,91788.9453125,68395.90625,366.9735600148872,302.96690464884114,261.52611007316267,0.8798034191131592,0.9229017496109009,0.8997475504875183,213.40383911132812
9,0.0009950118288582787,216.49377691095526,225.56692504882812,186.0006866455078,216.9937744140625,226.06690979003906,186.5006866455078,152.0189971923828,157.728759765625,127.06005859375,0.6522475481033325,0.5432209968566895,0.5710402727127075,102431.828125,102601.6796875,61634.4453125,320.04972758151195,320.3149695026756,248.26285528145365,0.9085765480995178,0.9138195514678955,0.9096583127975464,213.40383911132812
10,0.0009938441702975688,205.55931368741122,208.6775360107422,169.69281005859375,206.05931091308594,209.17755126953125,170.19281005859375,131.00430297851562,136.23583984375,110.72803497314453,0.5752018094062805,0.5374782681465149,0.5269460678100586,103089.609375,94982.0234375,57794.71875,321.0757066098275,308.19153693360886,240.40532180049593,0.907989501953125,0.9202197194099426,0.9152864217758179,208.6775360107422
