epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,851.0560927882339,751.6566162109375,689.264404296875,851.5560302734375,752.1566772460938,689.764404296875,641.043701171875,622.1561279296875,553.7564697265625,1.6819716691970825,1.725294589996338,2.286353349685669,1040865.75,728304.9375,641602.875,1020.2282832778162,853.4078377305894,801.0011704111299,0.004426240921020508,0.38825929164886475,0.5153380632400513,751.6566162109375
2,0.0009997532801828658,577.3912083481297,436.9234924316406,477.5160217285156,577.8912353515625,437.4234619140625,478.0159912109375,506.37933349609375,386.853759765625,510.28436279296875,1.6484140157699585,1.6678619384765625,2.3596599102020264,480555.25,275894.0,290721.84375,693.2209243812538,525.2561279985223,539.1862792671935,0.5403555035591125,0.7682624459266663,0.7803909182548523,436.9234924316406
3,0.0009994449374809851,436.9247236772017,347.4700622558594,436.1387023925781,437.4247741699219,347.9700927734375,436.63873291015625,414.97857666015625,310.1689453125,435.30206298828125,1.6118364334106445,1.484468936920166,2.150676965713501,284120.34375,177508.59375,266797.84375,533.0294023316162,421.31768744024976,516.5247755432454,0.728242814540863,0.8509014248847961,0.7984629273414612,347.4700622558594
4,0.0009990133642141358,339.51080803148676,313.6941223144531,399.1043395996094,340.0107421875,314.1941223144531,399.6043395996094,293.1848449707031,255.757568359375,319.72174072265625,1.355596899986267,1.0335489511489868,1.6031321287155151,202016.609375,157242.515625,248234.75,449.46257839223944,396.53816414690783,498.23162284222786,0.8067739009857178,0.8679239749908447,0.8124853372573853,313.6941223144531
5,0.000998458666866564,281.5674937855114,285.04876708984375,316.33087158203125,282.0674743652344,285.54876708984375,316.8309020996094,222.6929931640625,205.150634765625,198.30047607421875,0.9545760750770569,0.6604772210121155,0.9850790500640869,163464.34375,142649.734375,189514.484375,404.3072392995208,377.68999771638113,435.3326134980011,0.8436486124992371,0.8801811933517456,0.8568421602249146,285.04876708984375
6,0.00099778098230154,265.7709169330019,253.14866638183594,274.3377380371094,266.2703857421875,253.648681640625,274.8377380371094,193.15771484375,161.864013671875,194.324951171875,0.8137914538383484,0.5029478669166565,0.8607286810874939,144130.328125,118773.0859375,143613.015625,379.64500276574165,344.6347137731485,378.9630795011567,0.8621413111686707,0.9002363681793213,0.8915157914161682,253.14866638183594
7,0.0009969804777275899,236.21743977864583,229.6227569580078,285.6449890136719,236.7174530029297,230.12278747558594,286.14501953125,171.4850616455078,151.07510375976562,187.6908721923828,0.6927329897880554,0.6044695973396301,1.0073859691619873,114217.984375,102683.3515625,141399.21875,337.961513156454,320.4424309645962,376.03087472972214,0.8907520771026611,0.9137510061264038,0.8931881189346313,229.6227569580078
8,0.000996057350657239,224.41734591397372,206.2838592529297,272.61444091796875,224.91595458984375,206.78384399414062,273.11444091796875,169.09024047851562,130.6809539794922,228.67715454101562,0.7187849879264832,0.536356508731842,0.9056997299194336,109519.171875,80765.828125,125515.828125,330.9368094893646,284.19329359610157,354.2821306882412,0.8952464461326599,0.9321606159210205,0.9051862955093384,206.2838592529297
9,0.0009950118288582787,195.3338056159742,195.98008728027344,233.13214111328125,195.83380126953125,196.4801025390625,233.6321258544922,125.76744079589844,145.4022216796875,165.970947265625,0.5434315204620361,0.48135077953338623,0.7156437039375305,87364.6484375,72060.4609375,101759.265625,295.57511471282555,268.4407959634675,318.997281532304,0.9164369106292725,0.9394727349281311,0.9231318235397339,195.98008728027344
10,0.0009938441702975688,179.01173123446378,186.61813354492188,227.26280212402344,179.5111846923828,187.11813354492188,227.7628173828125,124.13446044921875,121.7119140625,148.437255859375,0.5457563996315002,0.47116464376449585,0.6477221250534058,81727.8515625,65964.5390625,97444.9375,285.8808345491177,256.83562654448855,312.16171690327434,0.9218284487724304,0.9445930123329163,0.9263908267021179,186.61813354492188
11,0.000992554663077387,172.81160491018585,178.91275024414062,237.4838409423828,173.3106689453125,179.41275024414062,237.9725799560547,117.68438720703125,151.72705078125,163.9039306640625,0.48246923089027405,0.4080427289009094,0.6770070195198059,79217.75,54113.95703125,103187.6796875,281.4564797619696,232.62406803950876,321.2283917830116,0.9242293238639832,0.9545469284057617,0.922052800655365,178.91275024414062
12,0.0009911436253643444,171.07467998157847,166.406005859375,220.5515899658203,171.57403564453125,166.906005859375,221.0515899658203,101.0277328491211,134.0699462890625,158.762451171875,0.41033366322517395,0.36954036355018616,0.6733593940734863,79633.484375,53669.171875,94721.6640625,282.1940544642994,231.66607838654323,307.7688484276796,0.9238317012786865,0.9549205303192139,0.928447961807251,166.406005859375
13,0.000989611405310883,150.6650527491714,152.2591094970703,224.6660614013672,151.16505432128906,152.75914001464844,225.1651611328125,100.69467163085938,108.6961669921875,150.93099975585938,0.3982973098754883,0.36904197931289673,0.6457502245903015,62173.078125,49483.84375,89927.484375,249.34529898315708,222.44964317795612,299.87911627020645,0.9405323266983032,0.9584359526634216,0.9320694804191589,152.2591094970703
14,0.0009879583809693738,148.4655801484079,167.774169921875,212.75018310546875,148.96481323242188,168.27374267578125,213.24298095703125,105.94158172607422,93.998291015625,126.40322875976562,0.3797284960746765,0.4048154056072235,0.5356442332267761,60704.92578125,68505.796875,99458.8203125,246.38369625697638,261.7361206921964,315.3709249637639,0.9419365525245667,0.94245845079422,0.9248695373535156,152.2591094970703
15,0.0009861849601988384,147.247239037716,152.0133514404297,184.8518829345703,147.74554443359375,152.5133514404297,185.3518829345703,93.162841796875,110.92413330078125,125.446044921875,0.3453496992588043,0.36685362458229065,0.4386691451072693,62615.03515625,41050.2734375,64955.203125,250.229964545116,202.6086706868687,254.86310663766147,0.9401095509529114,0.9655197858810425,0.9509333372116089,152.0133514404297
16,0.0009842915805643156,133.44381371700402,153.4794921875,198.48202514648438,133.9422607421875,153.97164916992188,198.98202514648438,75.00823974609375,100.02197265625,114.48076629638672,0.3168381154537201,0.33061137795448303,0.4306322932243347,58225.85546875,47047.60546875,80852.328125,241.3003428691099,216.90459992528974,284.34543802389373,0.944307804107666,0.9604822993278503,0.9389247894287109,152.0133514404297
17,0.000982278709228899,125.26882398200758,155.00363159179688,187.2161102294922,125.7688217163086,155.5036163330078,187.7161102294922,80.71038055419922,96.432861328125,126.376220703125,0.27920597791671753,0.33269065618515015,0.44186028838157654,48644.5703125,47894.94140625,69503.4921875,220.55514120622988,218.8491293248616,263.6351497571976,0.9534721374511719,0.9597705602645874,0.9474976062774658,152.0133514404297
18,0.0009801468428384716,119.12937462546608,157.80783081054688,165.99578857421875,119.62934112548828,158.30783081054688,166.49578857421875,66.555908203125,103.9287109375,117.80148315429688,0.2694567143917084,0.3248487710952759,0.38204050064086914,47097.35546875,46137.6953125,51538.0859375,217.01925137818995,214.79686988524762,227.02001219606169,0.9549520015716553,0.9612466096878052,0.9610685110092163,152.0133514404297
19,0.000977896507399165,122.0862821636778,154.6182403564453,153.8113555908203,122.5836410522461,155.1097869873047,154.3113555908203,81.92855834960938,103.5220947265625,105.689453125,0.2959875166416168,0.2974165976047516,0.3400610089302063,49829.94921875,44169.9375,47651.8203125,223.22622878763596,210.16645188992462,218.29296899465177,0.9523383378982544,0.962899386882782,0.9640041589736938,152.0133514404297
20,0.0009755282581475768,116.10348029859138,146.7681427001953,156.1973114013672,116.60276794433594,147.2681427001953,156.69732666015625,76.023193359375,109.1895751953125,92.03357696533203,0.2688376009464264,0.2761203348636627,0.36224454641342163,42559.9140625,38152.83984375,52214.78515625,206.30054304945492,195.32751942250738,228.50554732051913,0.9592920541763306,0.9679534435272217,0.9605573415756226,146.7681427001953
21,0.0009730426794137727,103.41167232629024,153.54803466796875,145.192138671875,103.91092681884766,154.04803466796875,145.69215393066406,65.11308288574219,125.867431640625,102.1376953125,0.2644261419773102,0.2837086319923401,0.3576093912124634,43476.2109375,41472.4375,38970.62109375,208.50949843472358,203.6478271428399,197.40977963046817,0.9584156274795532,0.9651651382446289,0.9705618619918823,146.7681427001953
22,0.0009704403844771128,100.44657694498697,144.8861541748047,169.89295959472656,100.9465103149414,145.3861541748047,170.38951110839844,68.51181030273438,109.842041015625,130.588623046875,0.2511707842350006,0.27285486459732056,0.32410505414009094,35234.453125,36434.58984375,55716.8359375,187.70842582313668,190.87846877987576,236.0441398075792,0.9662986993789673,0.969396710395813,0.9579119086265564,144.8861541748047
23,0.0009677220154149337,102.3968406677246,144.31968688964844,171.2236785888672,102.89631652832031,144.8197021484375,171.7189178466797,65.56072998046875,113.5628662109375,122.19140625,0.22456461191177368,0.2910134792327881,0.3558746576309204,33072.25,43071.875,56754.14453125,181.85777409833213,207.53764718720313,238.23128369559277,0.9683668613433838,0.9638217091560364,0.9571283459663391,144.31968688964844
24,0.0009648882429441257,108.6439979322029,146.085693359375,151.93492126464844,109.14187622070312,146.585693359375,152.43492126464844,74.04572296142578,131.0450439453125,132.754638671875,0.2646791338920593,0.2731294333934784,0.3071145713329315,47549.65625,33242.12890625,42549.66796875,218.0588366702895,182.32424113718395,206.27570862500994,0.9545193910598755,0.9720782041549683,0.9678583145141602,144.31968688964844
25,0.0009619397662556434,102.16569525978782,144.77490234375,149.63575744628906,102.6635971069336,145.27490234375,150.13577270507812,67.62213134765625,138.150634765625,90.9552001953125,0.19103917479515076,0.2645818293094635,0.3054444491863251,30231.95703125,33945.28515625,54291.53515625,173.87339368416895,184.24246295642598,233.0054401859536,0.9710835218429565,0.9714876413345337,0.958988606929779,144.31968688964844
