epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,862.8841881954309,757.72998046875,658.0907592773438,863.3841552734375,758.22998046875,658.5908203125,679.7277221679688,620.8348388671875,515.4447021484375,1.7836880683898926,1.7044737339019775,1.5248095989227295,1067938.375,745052.125,623079.0,1033.4110387449903,863.1640197552259,789.3535329622589,0.014223456382751465,0.374192476272583,0.38797152042388916,757.72998046875
2,0.0009997532801828658,569.6723708644058,540.1734008789062,543.1675415039062,570.17236328125,540.6735229492188,543.6675415039062,508.4141845703125,397.6217041015625,497.2333984375,1.756112813949585,1.709995150566101,1.738309383392334,472508.03125,662677.8125,422071.375,687.392196093322,814.0502518272444,649.6702047962489,0.5638444423675537,0.4433829188346863,0.5854141712188721,540.1734008789062
3,0.0009994449374809851,543.9693359375,361.44012451171875,403.65185546875,544.4693603515625,361.9401550292969,404.15185546875,457.1401062011719,332.490234375,385.21435546875,1.8414273262023926,1.420265793800354,1.451253056526184,682489.0,236741.296875,341788.625,826.1289245632306,486.5606815958314,584.6269109440652,0.3700183033943176,0.8011488318443298,0.6642731428146362,361.44012451171875
4,0.0009990133642141358,356.81803255948154,266.2209167480469,387.6871643066406,357.3170471191406,266.720947265625,388.1871337890625,327.34100341796875,235.9134521484375,319.9190979003906,1.5047998428344727,1.154154658317566,1.1196099519729614,206382.375,108740.265625,316670.375,454.29326981587565,329.7578894052423,562.734728802124,0.8094956874847412,0.9086634516716003,0.6889458894729614,266.2209167480469
5,0.000998458666866564,295.63110203598484,226.08700561523438,316.48980712890625,296.1311340332031,226.5870361328125,316.98980712890625,256.05377197265625,169.1336669921875,231.36013793945312,1.2680480480194092,0.7495793104171753,0.6978323459625244,161198.984375,85635.328125,359209.84375,401.4959331985817,292.6351450612178,599.3411747494076,0.8512028455734253,0.9280704855918884,0.6471608281135559,226.08700561523438
6,0.00099778098230154,270.6086679169626,235.29615783691406,338.57757568359375,271.1084899902344,235.79615783691406,339.07757568359375,210.00848388671875,187.3890380859375,268.5888671875,0.9596143960952759,0.6382892727851868,0.6074205040931702,148716.25,87310.09375,318879.1875,385.63745928008603,295.48281464410076,564.6938883147222,0.8627252578735352,0.9266637563705444,0.6867762207984924,226.08700561523438
7,0.0009969804777275899,257.8583656079841,212.3455047607422,342.99688720703125,258.3566589355469,212.84552001953125,343.4940185546875,208.3389892578125,155.61126708984375,239.2501220703125,0.867922306060791,0.5405439734458923,0.5234509110450745,133509.78125,80576.109375,306859.375,365.38990304878433,283.8593126444859,553.9488920469107,0.876761794090271,0.9323199987411499,0.6985828876495361,212.3455047607422
8,0.000996057350657239,235.6416895086115,218.01947021484375,335.29766845703125,236.1415557861328,218.5144805908203,335.7976989746094,179.7890167236328,140.24978637695312,208.153076171875,0.7467421293258667,0.6048381328582764,0.5749457478523254,120747.0078125,84518.65625,384208.28125,347.48670163403375,290.72092502948595,619.8453688219345,0.888542652130127,0.929008424282074,0.6226058006286621,212.3455047607422
9,0.0009950118288582787,218.87565696022727,185.95484924316406,307.7919921875,219.37423706054688,186.45486450195312,308.29205322265625,157.7645263671875,122.6474609375,196.55059814453125,0.7311460971832275,0.5130771398544312,0.5008395910263062,120426.375,60287.73828125,299639.90625,347.0250351199464,245.53561509738256,547.3937396883526,0.8888386487960815,0.9493612051010132,0.7056742906570435,185.95484924316406
10,0.0009938441702975688,206.47153764204546,200.2109375,273.50067138671875,206.97154235839844,200.7109375,274.00067138671875,160.68231201171875,126.37257385253906,172.7001953125,0.6283997297286987,0.49706384539604187,0.4511556327342987,97310.2890625,70380.3203125,152179.984375,311.94597138366765,265.2928953298599,390.1025305929199,0.9101762771606445,0.9408839344978333,0.8505189418792725,185.95484924316406
11,0.000992554663077387,182.9037849195076,179.31427001953125,277.76824951171875,183.40328979492188,179.8142852783203,278.2682189941406,118.50967407226562,140.5863037109375,236.04580688476562,0.5355116724967957,0.46866244077682495,0.49894455075263977,89284.015625,57036.71484375,165056.796875,298.80430991704253,238.82360612751413,406.27182633675204,0.9175850749015808,0.9520919322967529,0.8378705382347107,179.31427001953125
12,0.0009911436253643444,174.66065350156842,158.37060546875,274.3970642089844,175.16014099121094,158.87062072753906,274.8911437988281,119.89599609375,110.926513671875,212.3172607421875,0.5017024278640747,0.4262167811393738,0.4949343502521515,84231.75,46084.265625,157396.9375,290.22706627742355,214.67246126366558,396.7328288659763,0.9222486019134521,0.9612914323806763,0.8453945517539978,158.37060546875
13,0.000989611405310883,165.13433246034563,165.3076629638672,259.88214111328125,165.632568359375,165.8076629638672,260.3821105957031,111.79100799560547,104.77294921875,204.6175537109375,0.4382176697254181,0.39857175946235657,0.3604561984539032,74185.0390625,47798.4140625,149560.75,272.36930638840346,218.6284841060286,386.7308495581908,0.9315223693847656,0.9598516821861267,0.8530917763710022,158.37060546875
14,0.0009879583809693738,157.69079062721946,164.03640747070312,224.95657348632812,158.1907958984375,164.5364227294922,225.45655822753906,103.0614013671875,105.9261474609375,127.49232482910156,0.42992520332336426,0.34422507882118225,0.3154541552066803,71199.03125,48012.58203125,117429.984375,266.8314660042927,219.11773554701134,342.6805865160733,0.934278666973114,0.9596717953681946,0.8846526741981506,158.37060546875
