epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,391.73675537109375,371.4443664550781,391.1287841796875,392.23675537109375,371.9443664550781,391.6288146972656,442.39288330078125,460.386474609375,454.27386474609375,0.9087834358215332,2.7206931114196777,1.49480140209198,183181.34375,163705.875,181385.046875,427.99689689295644,404.60582670050616,425.8932341268173,-0.09109866619110107,0.326157808303833,-0.005920767784118652,371.4443664550781
2,0.0009997532801828658,358.9610900878906,358.8300476074219,365.35028076171875,359.46112060546875,359.33001708984375,365.85028076171875,411.72406005859375,394.88800048828125,416.53680419921875,0.8849371075630188,2.7664644718170166,1.5024330615997314,153535.359375,156005.296875,169169.25,391.83588321515424,394.97505854800505,411.30189642159445,0.08548420667648315,0.3578546643257141,0.061825335025787354,358.8300476074219
3,0.0009994449374809851,316.6065979003906,346.8687438964844,371.69134521484375,317.10662841796875,347.36871337890625,372.19134521484375,336.7189636230469,335.21917724609375,360.5040588378906,0.8512651920318604,2.8164875507354736,1.5426081418991089,120474.9140625,152393.328125,179800.828125,347.0949640408227,390.37588056256754,424.0292774384807,0.2824050188064575,0.3727222681045532,0.002865016460418701,346.8687438964844
4,0.0009990133642141358,284.6951904296875,335.03741455078125,384.9401550292969,285.1951904296875,335.5373840332031,385.44012451171875,308.07928466796875,265.50006103515625,257.56298828125,0.8367691040039062,2.863105535507202,1.593331217765808,100050.4296875,150000.703125,215230.5625,316.30749230377074,387.2992423501497,463.92948009368837,0.40406113862991333,0.38257068395614624,-0.19362032413482666,335.03741455078125
5,0.000998458666866564,246.43893432617188,330.3546447753906,393.3975524902344,246.93893432617188,330.8546447753906,393.8975830078125,232.999755859375,289.32098388671875,247.36227416992188,0.8051489591598511,2.9176347255706787,1.6348042488098145,79346.3125,149621.953125,282228.46875,281.68477505893003,386.8099703019559,531.2517941146176,0.5273828506469727,0.38412970304489136,-0.5651756525039673,330.3546447753906
6,0.00099778098230154,211.45021057128906,325.1063537597656,362.3192138671875,211.95022583007812,325.60638427734375,362.8192138671875,145.31884765625,316.983642578125,240.26632690429688,0.7927738428115845,2.97058367729187,1.6149653196334839,69187.3984375,153420.234375,303751.0,263.0349756923972,391.68895105044766,551.1360993438916,0.5878932476043701,0.36849528551101685,-0.6845347881317139,325.1063537597656
7,0.0009969804777275899,198.1842498779297,320.2087097167969,366.7335205078125,198.6841278076172,320.708740234375,367.23345947265625,132.2276611328125,330.591552734375,225.63934326171875,0.7959219813346863,2.98986554145813,1.5979658365249634,67961.4453125,157311.84375,295279.90625,260.6941604879173,396.6255712255578,543.3966380554815,0.595195472240448,0.3524767756462097,-0.6375560760498047,320.2087097167969
8,0.000996057350657239,216.44607543945312,318.6417236328125,332.6007080078125,216.94607543945312,319.14166259765625,333.1007080078125,167.593017578125,323.2210693359375,193.82220458984375,0.8103941082954407,2.9564099311828613,1.5230765342712402,72667.75,154305.984375,250014.984375,269.569564305765,392.81800413804865,500.01498415047524,0.5671628713607788,0.36484938859939575,-0.3865269422531128,318.6417236328125
9,0.0009950118288582787,187.85220336914062,316.0773620605469,299.3155517578125,188.3522186279297,316.57733154296875,299.8155517578125,131.46395874023438,309.50030517578125,138.10235595703125,0.7447284460067749,2.9048099517822266,1.4413948059082031,62315.890625,148671.921875,207672.4375,249.6315096797678,385.5799811647384,455.7109143963967,0.6288225650787354,0.3880401849746704,-0.15170466899871826,316.0773620605469
10,0.0009938441702975688,174.7204132080078,313.5367126464844,269.2315673828125,175.2176055908203,314.0367126464844,269.7315673828125,122.00921630859375,294.75787353515625,86.2611083984375,0.7038679718971252,2.8479161262512207,1.3569024801254272,53143.7265625,142553.71875,174970.5625,230.52923147076163,377.5628672817283,418.29482724509035,0.6834554672241211,0.4132237434387207,0.02965259552001953,313.5367126464844
11,0.000992554663077387,163.7095489501953,308.1885681152344,257.65386962890625,164.20956420898438,308.68853759765625,258.15386962890625,115.2369384765625,277.48297119140625,96.60284423828125,0.6742076873779297,2.7903072834014893,1.2931358814239502,49528.578125,136311.328125,157968.453125,222.55016990557434,369.2036404546954,397.4524539174466,0.7049887180328369,0.4389185905456543,0.12394243478775024,308.1885681152344
12,0.0009911436253643444,169.28273010253906,299.09088134765625,265.8179931640625,169.78273010253906,299.5908508300781,266.3180236816406,108.95814514160156,259.32208251953125,103.5892333984375,0.6546427011489868,2.7268199920654297,1.2558636665344238,49460.16015625,129592.1484375,167258.171875,222.3964031998944,359.9890948869146,408.9720918045631,0.705396294593811,0.46657586097717285,0.07242375612258911,299.09088134765625
13,0.000989611405310883,150.96319580078125,287.5163879394531,276.8496398925781,151.4631805419922,288.0163879394531,277.349609375,93.38153076171875,243.6785888671875,104.68060302734375,0.6071631908416748,2.661001443862915,1.2242231369018555,41969.94921875,123017.5390625,178976.75,204.86568580108772,350.7385622689641,423.0564383152678,0.7500107884407043,0.49363815784454346,0.007435142993927002,287.5163879394531
