epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,394.991943359375,378.9301452636719,390.7443542480469,395.4919738769531,379.43017578125,391.2443542480469,451.9508056640625,438.6344909667969,424.9332275390625,1.124144434928894,1.6523864269256592,1.0082088708877563,184070.015625,175389.375,178307.96875,429.0338164119467,418.79514682001746,422.2652824351062,-0.04269373416900635,0.036234259605407715,0.18080246448516846,378.9301452636719
2,0.0009997532801828658,357.3730163574219,364.9741516113281,363.47686767578125,357.8730163574219,365.4740905761719,363.97686767578125,411.06707763671875,441.1064758300781,423.595458984375,1.0743061304092407,1.6710903644561768,1.0041816234588623,152292.328125,171985.921875,155315.46875,390.24649662104594,414.7118540324113,394.10083576414803,0.1373160481452942,0.054936230182647705,0.2864365577697754,364.9741516113281
3,0.0009994449374809851,321.5959777832031,382.6485900878906,345.15423583984375,322.09600830078125,383.14862060546875,345.65423583984375,350.504150390625,408.19451904296875,380.9705810546875,1.0416529178619385,1.7341188192367554,1.0122826099395752,124274.5703125,197915.96875,137980.71875,352.5259853010839,444.87747610999594,371.4575598234609,0.2960270047187805,-0.08754944801330566,0.3660773038864136,364.9741516113281
4,0.0009990133642141358,281.00201416015625,403.1217346191406,324.3626403808594,281.50201416015625,403.6216735839844,324.86260986328125,288.746826171875,314.48828125,364.93634033203125,1.0072588920593262,1.7851693630218506,1.0228132009506226,98252.296875,223127.578125,121612.25,313.452224230424,472.3638196612861,348.7294796830345,0.44343435764312744,-0.22608745098114014,0.44127875566482544,364.9741516113281
5,0.000998458666866564,252.20448303222656,411.5824890136719,299.3031921386719,252.70448303222656,412.08245849609375,299.8031921386719,255.06524658203125,296.12713623046875,359.41925048828125,0.9866846203804016,1.8212013244628906,1.0328576564788818,85842.1328125,263598.375,109004.734375,292.9882810156406,513.4183235919809,330.1586503107256,0.5137336254119873,-0.4484747648239136,0.499201238155365,364.9741516113281
6,0.00099778098230154,209.3836212158203,407.6659240722656,273.6933288574219,209.88360595703125,408.16595458984375,274.193359375,163.7384033203125,333.29986572265625,310.19964599609375,0.9666880369186401,1.8357778787612915,1.041522741317749,69160.34375,309388.96875,103514.4921875,262.9835427360427,556.2274433628747,321.73668144540187,0.6082302331924438,-0.7000943422317505,0.5244249701499939,364.9741516113281
7,0.0009969804777275899,207.30776977539062,378.6367492675781,268.2911376953125,207.8077850341797,379.13671875,268.7911071777344,148.8646240234375,272.16302490234375,312.44378662109375,1.0050379037857056,1.7933987379074097,1.0570662021636963,75046.421875,289008.5625,107136.7890625,273.9460200021165,537.5951659938918,327.3175660768911,0.5748876333236694,-0.5881038904190063,0.5077831149101257,364.9741516113281
8,0.000996057350657239,201.1486358642578,325.71807861328125,288.0296936035156,201.6486358642578,326.2180480957031,288.5296936035156,143.52880859375,161.68536376953125,403.8790283203125,0.9719269275665283,1.6877626180648804,1.0787222385406494,70880.8046875,229552.953125,118007.234375,266.2344919192478,479.11684704777394,343.5218106248859,0.5984845161437988,-0.2613948583602905,0.4578412175178528,325.71807861328125
9,0.0009950118288582787,192.80239868164062,304.7889404296875,328.07989501953125,193.30239868164062,305.2889099121094,328.5798645019531,145.3284912109375,157.38104248046875,431.37548828125,0.9256322383880615,1.594348669052124,1.1060765981674194,63646.671875,175518.140625,134300.171875,252.28292029980943,418.94885203924355,366.4698785371043,0.6394633054733276,0.03552669286727905,0.38298678398132324,304.7889404296875
10,0.0009938441702975688,187.97203063964844,295.9019470214844,317.8878479003906,188.47203063964844,296.40191650390625,318.3878479003906,143.4144287109375,221.63690185546875,421.05804443359375,0.8850105404853821,1.5171858072280884,1.083066463470459,59054.8046875,150138.75,126590.125,243.01194350792719,387.47741869688355,355.7950603929178,0.6654747128486633,0.1749866008758545,0.41840893030166626,295.9019470214844
