epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,387.75439453125,378.4524841308594,399.49554443359375,388.2544250488281,378.95245361328125,399.99554443359375,444.10638427734375,441.1088562011719,469.93707275390625,1.1172987222671509,1.684743046760559,0.9741641283035278,178716.0,177097.875,186243.859375,422.748151977037,420.82998348501735,431.5597981450543,0.023572802543640137,0.02684605121612549,-0.1689457893371582,378.4524841308594
2,0.0009997532801828658,353.578857421875,364.7804260253906,346.17156982421875,354.078857421875,365.2804260253906,346.67156982421875,407.9825439453125,438.7857666015625,396.43902587890625,1.0781431198120117,1.7047584056854248,0.9352866411209106,149980.84375,172616.890625,145945.140625,387.27360321870634,415.4718890911875,382.0276699730008,0.18056929111480713,0.05146908760070801,0.08398616313934326,364.7804260253906
3,0.0009994449374809851,322.90777587890625,376.70684814453125,284.8417663574219,323.40777587890625,377.2068176269531,285.3321838378906,328.11358642578125,418.970947265625,319.6483154296875,1.0658882856369019,1.7511266469955444,0.8957183957099915,124815.59375,190858.421875,107410.75,353.2925045199799,436.8734620859912,327.73579297965,0.3180614113807678,-0.04876828193664551,0.32584434747695923,364.7804260253906
4,0.0009990133642141358,288.72100830078125,397.5937805175781,223.0134735107422,289.2210388183594,398.09375,223.51345825195312,286.702880859375,345.01715087890625,221.4696044921875,1.0311262607574463,1.8005321025848389,0.8592106699943542,104179.6953125,218088.671875,75841.7578125,322.7687954442003,466.9996486883047,275.3938231197279,0.4308069944381714,-0.19839870929718018,0.5239847898483276,364.7804260253906
5,0.000998458666866564,257.4549865722656,431.2015686035156,171.81964111328125,257.9549865722656,431.7015075683594,172.31166076660156,244.364990234375,264.18353271484375,114.3143310546875,1.0237536430358887,1.870321273803711,0.8285984992980957,87543.5,283185.65625,58330.35546875,295.87750843888085,532.1519108769601,241.51678092577748,0.5217000246047974,-0.5561070442199707,0.6338938474655151,364.7804260253906
6,0.00099778098230154,215.8382568359375,442.4246826171875,168.6103515625,216.33828735351562,442.9247131347656,169.11033630371094,172.4246826171875,316.85540771484375,100.74530029296875,0.9927186965942383,1.9037388563156128,0.8405967950820923,73261.0078125,332306.78125,55231.3125,270.66770736920205,576.4605634820131,235.013430467282,0.5997334122657776,-0.8260278701782227,0.6533447504043579,364.7804260253906
7,0.0009969804777275899,210.328369140625,381.16729736328125,171.81146240234375,210.828369140625,381.6672668457031,172.3114471435547,154.1929931640625,235.830078125,118.2423095703125,0.9856270551681519,1.807451605796814,0.8466817736625671,74014.2578125,257003.234375,56501.9375,272.0556152930867,506.9548642384251,237.70136200703604,0.5956180095672607,-0.41223442554473877,0.6453697681427002,364.7804260253906
8,0.000996057350657239,208.68975830078125,285.78265380859375,151.61325073242188,209.18975830078125,286.28265380859375,152.11325073242188,180.2060546875,83.88616943359375,111.9464111328125,0.9994165897369385,1.6390010118484497,0.8113248944282532,73024.6796875,161086.453125,47409.3515625,270.23078967338273,401.3557687700527,217.73688608616592,0.6010246276855469,0.11482894420623779,0.7024387121200562,285.78265380859375
9,0.0009950118288582787,203.2918243408203,248.4863739013672,147.6189422607422,203.79183959960938,248.98635864257812,148.11892700195312,194.9732666015625,146.52252197265625,113.71142578125,0.9731591939926147,1.5146982669830322,0.7844057083129883,68849.9375,102014.578125,46345.64453125,262.39271617177184,319.39721057798863,215.28038584889705,0.6238335967063904,0.43942922353744507,0.7091150283813477,248.4863739013672
10,0.0009938441702975688,188.41452026367188,247.197021484375,171.16477966308594,188.91452026367188,247.69699096679688,171.66477966308594,148.49517822265625,209.43487548828125,150.949951171875,0.9151972532272339,1.4425400495529175,0.7845091223716736,59893.15234375,87379.8671875,49729.1171875,244.73077522810652,295.60085789371453,223.00026275208737,0.6727696657180786,0.51984703540802,0.6878788471221924,247.197021484375
11,0.000992554663077387,196.0137481689453,244.6109619140625,163.2882080078125,196.51373291015625,245.1109619140625,163.7882080078125,158.4739990234375,205.9158935546875,153.3917236328125,0.8901473879814148,1.3809446096420288,0.7546797394752502,60810.84765625,82847.8359375,47230.09375,246.59855566537692,287.8330000842502,217.3248576440348,0.6677557229995728,0.5447505712509155,0.7035638093948364,244.6109619140625
