epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,407.3159484863281,374.28118896484375,233.86697387695312,407.81591796875,374.78118896484375,234.36697387695312,458.04620361328125,434.1639099121094,197.16986083984375,1.1515259742736816,1.640989065170288,0.4386062026023865,192629.515625,172235.90625,79869.1015625,438.8957913047242,415.013139852222,282.61121981000684,-0.025683879852294922,0.05356258153915405,0.3958215117454529,374.28118896484375
2,0.0009997532801828658,368.8307189941406,360.3542785644531,212.64401245117188,369.33074951171875,360.854248046875,213.14401245117188,418.1346435546875,428.8542785644531,247.4842529296875,1.1146153211593628,1.6582543849945068,0.42904356122016907,159221.65625,168556.28125,63779.90234375,399.02588418547487,410.5560634675854,252.54683198121887,0.1522011160850525,0.07378214597702026,0.5175299644470215,360.3542785644531
3,0.0009994449374809851,339.0090026855469,374.7210388183594,201.5180206298828,339.50897216796875,375.22100830078125,202.0180206298828,375.70745849609375,415.1455078125,269.5948486328125,1.1129851341247559,1.7163118124008179,0.4347924292087555,135165.921875,188590.71875,53083.34375,367.6491831556273,434.2703291154025,230.3982286173225,0.2802894711494446,-0.03630721569061279,0.5984452366828918,360.3542785644531
4,0.0009990133642141358,298.50701904296875,417.4566955566406,211.73550415039062,299.00701904296875,417.9566955566406,212.23548889160156,309.236328125,305.30035400390625,214.660888671875,1.0929747819900513,1.807780385017395,0.4626126289367676,107632.4609375,253019.71875,55380.15234375,328.0738650631897,503.01065470822783,235.32987983626305,0.4268953204154968,-0.3903449773788452,0.5810707807540894,360.3542785644531
5,0.000998458666866564,259.1152038574219,413.0604248046875,230.26406860351562,259.61517333984375,413.5604553222656,230.76405334472656,232.9730224609375,209.95477294921875,184.3619384765625,1.0815874338150024,1.8367968797683716,0.5057212710380554,89823.7265625,293382.28125,62654.84765625,299.70606694309674,541.6477464644342,250.30950372738548,0.5217205286026001,-0.6121375560760498,0.5260405540466309,360.3542785644531
6,0.00099778098230154,224.76039123535156,391.0309753417969,244.3084259033203,225.2604217529297,391.5309753417969,244.8084259033203,164.7821044921875,225.5252685546875,219.62811279296875,1.083409070968628,1.828776478767395,0.5453871488571167,79088.3125,288332.84375,74400.9921875,281.22644345793657,536.9663339074434,272.7654527015839,0.5788828134536743,-0.5843908786773682,0.4371855854988098,360.3542785644531
7,0.0009969804777275899,206.2505340576172,355.0025634765625,248.2896270751953,206.7505340576172,355.5025329589844,248.7895965576172,119.48345947265625,207.44952392578125,255.194091796875,1.0649458169937134,1.7725067138671875,0.5644382238388062,75428.03125,242688.59375,82425.234375,274.6416415076199,492.634340814767,287.0979525789064,0.5983724594116211,-0.33357536792755127,0.37648534774780273,355.0025634765625
8,0.000996057350657239,217.0064239501953,291.0024719238281,251.0590057373047,217.50640869140625,291.5024719238281,251.5590057373047,153.89166259765625,130.51318359375,265.333984375,1.083429217338562,1.6477779150009155,0.5636194944381714,78865.671875,164503.671875,82225.3203125,280.83032577519117,405.5905224176226,286.7495777023917,0.5800682306289673,0.09605121612548828,0.37799757719039917,291.0024719238281
9,0.0009950118288582787,210.30386352539062,244.35853576660156,246.4693145751953,210.80386352539062,244.8585205078125,246.9693145751953,168.5645751953125,67.4195556640625,247.86785888671875,1.054200530052185,1.5281213521957397,0.5397094488143921,74983.8125,115860.578125,74467.4921875,273.8317229613837,340.38298742005304,272.8873250766697,0.6007378101348877,0.3633453845977783,0.4366825222969055,244.35853576660156
10,0.0009938441702975688,200.3311004638672,227.93502807617188,228.4776153564453,200.8311004638672,228.43502807617188,228.97763061523438,142.3135986328125,74.1470947265625,238.3358154296875,1.0222082138061523,1.4513505697250366,0.4936905801296234,68520.8828125,99519.8984375,64888.30859375,261.76493808854536,315.46774547883655,254.73183663168214,0.6351505517959595,0.45313751697540283,0.5091453194618225,227.93502807617188
11,0.000992554663077387,188.72000122070312,223.86068725585938,210.55599975585938,189.219970703125,224.36068725585938,211.05601501464844,122.7298583984375,38.3984375,242.87652587890625,0.9723681211471558,1.4045404195785522,0.4525086581707001,60102.83984375,110266.1484375,59344.1953125,245.1588053563445,332.0634704954762,243.60664053448954,0.6799737215042114,0.3940867781639099,0.5510843396186829,223.86068725585938
12,0.0009911436253643444,179.1673583984375,228.79920959472656,192.4196319580078,179.66734313964844,229.29917907714844,192.9196319580078,116.84185791015625,43.0186767578125,202.520263671875,0.9313181638717651,1.3688949346542358,0.4040848910808563,55456.76171875,117596.625,51918.5234375,235.49259376623715,342.9236431044089,227.8563658042057,0.7047123908996582,0.3538057804107666,0.6072566509246826,223.86068725585938
13,0.000989611405310883,157.6795196533203,253.91748046875,175.40650939941406,158.1795196533203,254.41746520996094,175.90647888183594,78.77783203125,73.4500732421875,167.43853759765625,0.8878940939903259,1.3576191663742065,0.3500256836414337,49519.5,134001.703125,44229.03515625,222.52977328887926,366.0624306385456,210.30700215696575,0.7363262176513672,0.26365983486175537,0.6654245853424072,223.86068725585938
14,0.0009879583809693738,150.21583557128906,275.67169189453125,157.5089111328125,150.71372985839844,276.1716613769531,158.00889587402344,77.04541015625,137.038818359375,179.51458740234375,0.8467149138450623,1.338266134262085,0.2931051552295685,46038.8984375,145384.15625,38008.16015625,214.5667691826952,381.29274350556426,194.95681613180392,0.754859209060669,0.20111310482025146,0.7124831080436707,223.86068725585938
15,0.0009861849601988384,150.516357421875,286.5679016113281,141.96923828125,151.01634216308594,287.0679016113281,142.46923828125,82.6575927734375,177.24560546875,174.4581298828125,0.8140822052955627,1.3104326725006104,0.24350786209106445,43951.25390625,156311.296875,34331.3359375,209.64554349246254,395.3622350136644,185.28717154055755,0.7659751772880554,0.14106839895248413,0.7402968406677246,223.86068725585938
16,0.0009842915805643156,149.47251892089844,284.8425598144531,140.20204162597656,149.9647979736328,285.3425598144531,140.70204162597656,92.2747802734375,186.833984375,166.38336181640625,0.7896713018417358,1.2659026384353638,0.24155737459659576,41319.140625,157606.078125,32831.578125,203.27110130316115,396.9963200396195,181.19486230299137,0.7799902558326721,0.13395363092422485,0.7516419291496277,223.86068725585938
17,0.000982278709228899,145.4966583251953,273.3945617675781,148.34915161132812,145.9966583251953,273.8945617675781,148.84913635253906,93.83642578125,187.71014404296875,157.47216796875,0.7388449907302856,1.2051445245742798,0.2700614333152771,39454.203125,147267.640625,33297.11328125,198.6308211859378,383.75466202379874,182.4749661768704,0.7899203300476074,0.1907634139060974,0.7481203079223633,223.86068725585938
18,0.0009801468428384716,132.71058654785156,244.82119750976562,159.70523071289062,133.21058654785156,245.32118225097656,160.20521545410156,78.80419921875,160.43524169921875,141.08203125,0.7033118605613708,1.1169888973236084,0.2979208528995514,35032.62109375,124219.390625,35479.55078125,187.17003257399406,352.4477133207137,188.36016240503193,0.8134636878967285,0.3174136281013489,0.7316110730171204,223.86068725585938
19,0.000977896507399165,129.19259643554688,226.47389221191406,172.41123962402344,129.69259643554688,226.973876953125,172.91123962402344,79.530029296875,129.275634765625,127.87103271484375,0.67745441198349,1.0326926708221436,0.32311996817588806,33867.34375,96972.4296875,38852.01953125,184.0308228259603,311.4039654331653,197.1091563861253,0.8196684122085571,0.4671359062194824,0.7060996294021606,223.86068725585938
20,0.0009755282581475768,127.15650939941406,221.35537719726562,182.62515258789062,127.65367126464844,221.85536193847656,183.12513732910156,58.766357421875,126.6318359375,153.59271240234375,0.6680542230606079,0.9694927334785461,0.3410063087940216,31978.578125,91263.6640625,42494.35546875,178.82555221500087,302.09876541042,206.14159082715452,0.829725444316864,0.4985055923461914,0.6785467863082886,221.35537719726562
21,0.0009730426794137727,122.77393341064453,226.06735229492188,186.6157684326172,123.27392578125,226.56735229492188,187.11575317382812,79.40728759765625,142.29998779296875,152.84033203125,0.6370634436607361,0.9228941202163696,0.3367903530597687,29386.79296875,99349.3046875,43771.2734375,171.42576518350444,315.19724727145064,209.2158536954119,0.843525767326355,0.4540749192237854,0.6688874363899231,221.35537719726562
22,0.0009704403844771128,124.70171356201172,223.53878784179688,187.1448516845703,125.20169830322266,224.03878784179688,187.6448516845703,81.9632568359375,163.4027099609375,149.75970458984375,0.6110435724258423,0.860205352306366,0.3293974697589874,28636.482421875,96994.0703125,44046.48046875,169.22317341863967,311.4387103628899,209.87253385984076,0.8475208878517151,0.46701693534851074,0.6668055653572083,221.35537719726562
23,0.0009677220154149337,116.68849182128906,213.32901000976562,191.0850067138672,117.18761444091797,213.82899475097656,191.58499145507812,81.6719970703125,137.99810791015625,156.9918212890625,0.5768071413040161,0.7776113152503967,0.3204505741596222,25570.931640625,81842.328125,46418.60546875,159.90913557587947,286.08098176040994,215.4497748171253,0.8638438582420349,0.5502758622169495,0.6488614082336426,213.32901000976562
24,0.0009648882429441257,113.55218505859375,209.5042266845703,184.30886840820312,114.05218505859375,210.0042266845703,184.80885314941406,84.2935791015625,133.63824462890625,167.7384033203125,0.5492159128189087,0.7040852308273315,0.29322323203086853,23744.318359375,76782.0625,44248.5859375,154.09191529530355,277.0957641321859,210.35347854860873,0.8735699653625488,0.5780820846557617,0.6652767658233643,209.5042266845703
25,0.0009619397662556434,106.05125427246094,205.9292449951172,180.47198486328125,106.55104064941406,206.4292449951172,180.97195434570312,68.612548828125,156.14935302734375,171.975341796875,0.4875335991382599,0.6430674195289612,0.2761974334716797,21612.55078125,74187.4921875,43975.5078125,147.01207699114383,272.37380965779363,209.70338054618958,0.8849208354949951,0.592339277267456,0.6673424243927002,205.9292449951172
26,0.0009588773128419905,98.90958404541016,197.09530639648438,183.93109130859375,99.40957641601562,197.59530639648438,184.4311065673828,63.7135009765625,140.46969604492188,184.3997802734375,0.48240926861763,0.5800874829292297,0.2747601568698883,19688.734375,70268.3515625,47012.38671875,140.31655060968396,265.0817827812768,216.82339984132247,0.8951644897460938,0.6138749718666077,0.6443696618080139,197.09530639648438
27,0.0009557016383177226,94.33271026611328,183.05821228027344,182.25965881347656,94.83271026611328,183.55821228027344,182.7596435546875,66.41981506347656,108.17822265625,173.775634765625,0.42406201362609863,0.5042905211448669,0.2744363248348236,17615.095703125,67264.8046875,47660.69921875,132.7218734916178,259.3545925706734,218.3133051803073,0.9062058925628662,0.6303794384002686,0.6394654512405396,183.05821228027344
28,0.0009524135262330098,86.28970336914062,167.2320098876953,183.46192932128906,86.78654479980469,167.7320098876953,183.96192932128906,50.279296875,76.90419006347656,176.137451171875,0.4041583836078644,0.42636898159980774,0.27775582671165466,16244.849609375,61447.3671875,49148.46484375,127.45528474478805,247.88579464644602,221.69453047774994,0.9135019183158875,0.662346363067627,0.6282110810279846,167.2320098876953
29,0.0009490137878803078,86.57349395751953,151.4517364501953,181.47569274902344,87.07347869873047,151.9517364501953,181.97569274902344,66.296142578125,50.2633056640625,177.474365234375,0.3628697395324707,0.3360438644886017,0.27696260809898376,13939.365234375,61161.21875,48803.71484375,118.06508897373092,247.30794315993978,220.9156283374945,0.9257778525352478,0.6639187335968018,0.6308189630508423,151.4517364501953
30,0.0009455032620941839,85.96504211425781,131.58975219726562,181.9037322998047,86.46504211425781,132.08973693847656,182.40371704101562,56.543212890625,76.925048828125,208.239990234375,0.36046192049980164,0.23826324939727783,0.27561071515083313,14629.1650390625,47759.6875,49457.2890625,120.95108531576928,218.53989910311572,222.3899482047244,0.9221048951148987,0.7375602126121521,0.625874936580658,131.58975219726562
31,0.0009418828150443468,80.25599670410156,132.15467834472656,183.0375213623047,80.75599670410156,132.65467834472656,183.5375213623047,55.6685791015625,67.4598388671875,191.0706787109375,0.30749231576919556,0.27541249990463257,0.2743387818336487,12747.548828125,43968.58203125,48183.60546875,112.90504341314873,209.68686661603297,219.50764330371277,0.9321238398551941,0.758392333984375,0.6355098485946655,131.58975219726562
32,0.0009381533400219318,77.08443450927734,144.56805419921875,178.8538360595703,77.58443450927734,145.0680389404297,179.3538360595703,47.86036682128906,85.636962890625,197.012939453125,0.32825329899787903,0.30411019921302795,0.26060983538627625,11689.0400390625,56703.56640625,46563.5546875,108.11586395650964,238.12510662727271,215.78590011282017,0.9377599954605103,0.6884135007858276,0.6477649211883545,131.58975219726562
33,0.0009343157572190957,78.75625610351562,169.1931915283203,168.4878387451172,79.2562484741211,169.6931610107422,168.98782348632812,62.815185546875,84.2635498046875,183.5306396484375,0.2871347963809967,0.3232893645763397,0.23705315589904785,11314.3134765625,98857.390625,41858.57421875,106.36876175157113,314.4159516071028,204.59368078889923,0.9397553205490112,0.45677798986434937,0.6833562254905701,131.58975219726562
34,0.0009303710135019718,75.34963989257812,201.9942169189453,159.50332641601562,75.84065246582031,202.49423217773438,160.00331115722656,59.325927734375,79.01806640625,154.47442626953125,0.2737424075603485,0.34205159544944763,0.23287291824817657,10319.63671875,151969.265625,35425.44140625,101.5856127547105,389.8323557954111,188.2164748534251,0.9450516104698181,0.1649278998374939,0.732020378112793,131.58975219726562
35,0.0009263200821770461,68.74907684326172,228.90142822265625,152.15032958984375,69.2419204711914,229.4014129638672,152.65029907226562,51.93978500366211,67.4189453125,147.551513671875,0.24015222489833832,0.3758045732975006,0.23792771995067596,8996.8056640625,191544.0,32304.609375,94.85149268231102,437.6574002573246,179.73483072292916,0.9520952105522156,-0.0525355339050293,0.755628228187561,131.58975219726562
36,0.0009221639627510075,66.69071197509766,249.08782958984375,147.3076171875,67.19048309326172,249.5878143310547,147.8076171875,47.577880859375,52.211181640625,142.3018798828125,0.2784707248210907,0.44542789459228516,0.23949337005615234,9317.9091796875,219429.90625,31349.61328125,96.52931772102971,468.4334597891146,177.05822003298803,0.9503854513168335,-0.20576870441436768,0.7628524303436279,131.58975219726562
37,0.0009179036806841352,72.30393981933594,250.6258087158203,145.69570922851562,72.79998779296875,251.1258087158203,146.19569396972656,55.6185302734375,63.19927978515625,130.16485595703125,0.25653257966041565,0.48252466320991516,0.23426266014575958,9765.23828125,216999.484375,30337.126953125,98.81922020158831,465.83203450922093,174.1755635935334,0.9480035901069641,-0.1924135684967041,0.7705115079879761,131.58975219726562
38,0.0009135402871372809,61.972930908203125,241.3209228515625,145.31788635253906,62.472930908203125,241.82090759277344,145.81788635253906,44.11273193359375,77.34468078613281,136.30291748046875,0.19081269204616547,0.48808082938194275,0.2233104407787323,8362.7265625,197878.671875,29257.0625,91.4479445504381,444.835555992324,171.0469599262144,0.9554714560508728,-0.08734464645385742,0.778681755065918,131.58975219726562
