epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,395.5536193847656,382.62554931640625,378.52850341796875,396.0536193847656,383.1255187988281,379.02850341796875,455.9105224609375,443.7297058105469,409.27557373046875,1.1430472135543823,1.6514371633529663,0.7193154096603394,185720.890625,177908.609375,161827.265625,430.9534668905681,421.79214001093004,402.2775977170491,0.00015687942504882812,0.022391080856323242,-0.10712003707885742,382.62554931640625
2,0.0009997532801828658,358.7962341308594,365.5570983886719,342.35272216796875,359.2962341308594,366.0570983886719,342.85272216796875,417.54736328125,444.2259826660156,408.98114013671875,1.1056957244873047,1.6550992727279663,0.7037831544876099,153797.4375,177387.015625,131440.921875,392.1701639594731,421.1733795303307,362.5478201217048,0.17201930284500122,0.025257229804992676,0.10076409578323364,365.5570983886719
3,0.0009994449374809851,324.6833190917969,383.65277099609375,299.65753173828125,325.1833190917969,384.15277099609375,300.1575012207031,344.11785888671875,433.36651611328125,333.2713623046875,1.06847083568573,1.705146074295044,0.6849226355552673,127384.8203125,198669.328125,105266.890625,356.9101011634442,445.7233762379981,324.4485947342044,0.31421375274658203,-0.09168922901153564,0.27983033657073975,365.5570983886719
4,0.0009990133642141358,296.915771484375,420.3768310546875,258.2310791015625,297.415771484375,420.8768005371094,258.7310485839844,306.2470703125,344.18896484375,296.15545654296875,1.0647196769714355,1.7758358716964722,0.664948582649231,109148.53125,248061.96875,85062.4140625,330.37634789736387,498.0581981555971,291.6546143343184,0.4123902916908264,-0.3631020784378052,0.4180566668510437,365.5570983886719
5,0.000998458666866564,262.343994140625,456.8565979003906,229.7112579345703,262.8439636230469,457.3565979003906,230.2112579345703,269.83441162109375,264.99957275390625,182.9979248046875,1.0283966064453125,1.8501145839691162,0.6588171124458313,90433.40625,342393.21875,74426.4140625,300.7214762034797,585.143759045587,272.81204896869934,0.5131446123123169,-0.8814529180526733,0.4908214211463928,365.5570983886719
6,0.00099778098230154,227.21250915527344,486.1102294921875,219.9636993408203,227.71249389648438,486.6102600097656,220.4636993408203,202.388916015625,361.214599609375,161.45703125,1.0168246030807495,1.9028321504592896,0.6670565605163574,77102.5546875,436680.4375,76505.265625,277.67346774133824,660.8180063375997,276.5958525086738,0.5849123001098633,-1.3995616436004639,0.47659921646118164,365.5570983886719
7,0.0009969804777275899,207.52267456054688,525.4031982421875,241.16119384765625,208.02268981933594,525.9031982421875,241.6611785888672,148.7474365234375,443.5227966308594,226.728515625,1.0111223459243774,1.9498807191848755,0.692942202091217,73580.53125,531316.875,88555.140625,271.2573155695529,728.9148612835384,297.5821577732778,0.6038733720779419,-1.9195895195007324,0.394161581993103,365.5570983886719
8,0.000996057350657239,214.4741668701172,538.8352661132812,251.8813934326172,214.9741668701172,539.3352661132812,252.3814239501953,152.97979736328125,442.78411865234375,229.62200927734375,1.0146024227142334,1.9384019374847412,0.6925620436668396,76984.2421875,559790.875,90867.1015625,277.46034345019467,748.1917367894409,301.4417050815962,0.5855492353439331,-2.076054334640503,0.37834465503692627,365.5570983886719
9,0.0009950118288582787,217.02879333496094,513.5975341796875,226.9882354736328,217.52882385253906,514.0975341796875,227.4882354736328,152.03643798828125,420.2249450683594,245.5679931640625,0.9955524802207947,1.8672311305999756,0.6505079865455627,77939.8046875,511043.15625,79138.1484375,279.1770131789149,714.8728252283759,281.3150341476616,0.5804048776626587,-1.808185338973999,0.4585866928100586,365.5570983886719
10,0.0009938441702975688,195.9483184814453,483.6671142578125,200.61978149414062,196.4483184814453,484.1670837402344,201.11976623535156,130.2166748046875,406.2232971191406,183.7335205078125,0.9559874534606934,1.7734116315841675,0.60433429479599,69653.6796875,436749.46875,68936.3203125,263.91983572194795,660.8702359389474,262.557270538258,0.6250139474868774,-1.3999409675598145,0.5283812284469604,365.5570983886719
