epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,393.0036315917969,381.3402404785156,359.8702087402344,393.5036315917969,381.8402404785156,360.37017822265625,452.66796875,441.4563903808594,396.35601806640625,1.0677580833435059,1.6596845388412476,1.2119706869125366,184332.546875,176288.96875,152051.953125,429.3396637570305,419.86779913444184,389.9383965769465,-0.009282469749450684,0.03129100799560547,0.14096176624298096,381.3402404785156
2,0.0009997532801828658,356.4378967285156,359.29974365234375,315.5599365234375,356.9378967285156,359.79974365234375,316.0599060058594,411.85748291015625,436.9299011230469,342.0995178222656,1.0308884382247925,1.6735246181488037,1.1820151805877686,151377.515625,167140.546875,122260.578125,389.0726354101506,408.82826085656063,349.6578014645176,0.17115730047225952,0.08156156539916992,0.3092721700668335,359.29974365234375
3,0.0009994449374809851,327.1134948730469,369.1126403808594,276.9956359863281,327.6134948730469,369.61260986328125,277.4956359863281,350.386474609375,386.5855712890625,265.34991455078125,1.0357228517532349,1.714477300643921,1.1631965637207031,129058.1953125,173409.875,100126.8125,359.2467053606755,416.4251133157077,316.4282106576466,0.293363094329834,0.0471116304397583,0.4343199133872986,359.29974365234375
4,0.0009990133642141358,290.8743896484375,363.5853271484375,237.7708282470703,291.37445068359375,364.0852966308594,238.2708282470703,312.40667724609375,284.9930419921875,189.41119384765625,0.9909784197807312,1.7339609861373901,1.1492011547088623,101975.59375,187934.578125,83154.875,319.33617670098073,433.51421905746065,288.3658700331924,0.4416494369506836,-0.03270161151885986,0.5302051901817322,359.29974365234375
5,0.000998458666866564,260.0279541015625,359.6160888671875,194.14639282226562,260.5279846191406,360.1160583496094,194.64637756347656,254.6856689453125,229.3424072265625,83.24542236328125,0.999267578125,1.7433420419692993,1.1314606666564941,87167.0,206671.328125,70928.4609375,295.24057986665724,454.61118345790834,266.323977398769,0.5227314233779907,-0.13566017150878906,0.5992799401283264,359.29974365234375
6,0.00099778098230154,225.5291748046875,344.5841979980469,216.27442932128906,226.02919006347656,345.0841979980469,216.7744140625,169.7060546875,243.24029541015625,125.005615234375,0.991870641708374,1.7368123531341553,1.1719996929168701,76790.2734375,216798.375,75437.9765625,277.1105798007359,465.61612407647567,274.6597468914948,0.5795475244522095,-0.19130849838256836,0.5738028287887573,344.5841979980469
7,0.0009969804777275899,198.52801513671875,356.2746276855469,253.3316192626953,199.02735900878906,356.7746276855469,253.83157348632812,141.3817138671875,253.09979248046875,236.04443359375,0.9689745903015137,1.7399152517318726,1.2067877054214478,70912.6953125,223345.078125,87255.125,266.2943771702662,472.5939886678628,295.38978486061427,0.6117292642593384,-0.22728264331817627,0.50704026222229,344.5841979980469
8,0.000996057350657239,212.91171264648438,326.32122802734375,252.52383422851562,213.41171264648438,326.82122802734375,253.02381896972656,182.5863037109375,181.4410400390625,259.7779541015625,0.9933263063430786,1.6695924997329712,1.1861997842788696,78939.984375,190046.640625,89513.125,280.9626031609901,435.9433915372499,299.18744124712185,0.567777156829834,-0.04430747032165527,0.49428337812423706,326.32122802734375
9,0.0009950118288582787,210.033203125,269.53839111328125,247.7799530029297,210.52732849121094,270.03839111328125,248.2799530029297,156.8070068359375,82.6572265625,222.8250732421875,0.9531055092811584,1.5606460571289062,1.1585652828216553,71661.5703125,149570.0,85836.1640625,267.69678801304286,386.7428085950662,292.9780948509632,0.6076288819313049,0.17811191082000732,0.515056848526001,269.53839111328125
10,0.0009938441702975688,187.25962829589844,240.3318328857422,238.21075439453125,187.75965881347656,240.83180236816406,238.71072387695312,129.3060302734375,63.8095703125,167.8062744140625,0.9079694747924805,1.474071741104126,1.1214996576309204,59532.72265625,119064.5859375,82110.375,243.99328403923334,345.057366154528,286.54907956578745,0.6740384101867676,0.34573930501937866,0.5361062288284302,240.3318328857422
