epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,397.4503479003906,376.9350891113281,307.4396667480469,397.9502868652344,377.43505859375,307.9396667480469,453.9334716796875,439.8282775878906,340.02056884765625,1.1489238739013672,1.6643807888031006,0.3331151306629181,185613.125,175631.0,112893.0859375,430.8284171221764,419.0835238947005,335.99566356948714,0.04361426830291748,0.03490656614303589,-0.5307523012161255,376.9350891113281
2,0.0009997532801828658,361.82171630859375,368.55596923828125,294.9608154296875,362.3216552734375,369.0559387207031,295.4607849121094,418.50054931640625,437.7799987792969,332.370849609375,1.1379743814468384,1.7037302255630493,0.34277817606925964,156998.546875,178349.5,100600.0546875,396.2304214406057,422.3144563000419,317.1751167533481,0.19105315208435059,0.019968390464782715,-0.3640671968460083,368.55596923828125
3,0.0009994449374809851,327.62664794921875,390.9025573730469,270.06036376953125,328.1266174316406,391.4025573730469,270.56036376953125,350.59234619140625,388.90185546875,277.4798583984375,1.120430827140808,1.7732571363449097,0.33528000116348267,128649.4375,210780.59375,88286.9375,358.6773445591455,459.1084771053569,297.13117894290394,0.3371239900588989,-0.1582406759262085,-0.19710981845855713,368.55596923828125
4,0.0009990133642141358,285.80218505859375,407.06890869140625,232.4611358642578,286.30218505859375,407.56890869140625,232.9611358642578,289.3931884765625,280.60296630859375,218.85906982421875,1.1095824241638184,1.8164914846420288,0.31457948684692383,103089.1796875,232736.734375,77810.1796875,321.0750374717723,482.4279577045675,278.94476099668907,0.46882516145706177,-0.2788897752761841,-0.05505228042602539,368.55596923828125
5,0.000998458666866564,248.5591583251953,408.55291748046875,176.4405059814453,249.0591583251953,409.05291748046875,176.94052124023438,234.8309326171875,313.57135009765625,118.13818359375,1.099044919013977,1.841044545173645,0.2759411334991455,85416.0859375,265053.71875,69286.2109375,292.2603051006072,514.8336806678444,263.22274016030605,0.559887170791626,-0.4564718008041382,0.060526907444000244,368.55596923828125
6,0.00099778098230154,218.1197509765625,404.94512939453125,172.07456970214844,218.6197509765625,405.4450988769531,172.5745849609375,135.1375732421875,339.99517822265625,47.704345703125,1.0887500047683716,1.855495810508728,0.2851245403289795,75926.7265625,302824.53125,77181.3125,275.5480476477741,550.2949493226337,277.8152488615411,0.6087817549705505,-0.6640228033065796,-0.04652523994445801,368.55596923828125
7,0.0009969804777275899,220.365966796875,416.8992614746094,193.63670349121094,220.8625030517578,417.39923095703125,194.11827087402344,163.2364501953125,345.78485107421875,111.560546875,1.0857242345809937,1.8481558561325073,0.3117932677268982,79007.8046875,315547.5625,89582.578125,281.08327002420475,561.7362036579092,299.3034883274834,0.5929062366485596,-0.7339359521865845,-0.21467792987823486,368.55596923828125
8,0.000996057350657239,220.1092071533203,399.92486572265625,188.44229125976562,220.60922241210938,400.4248046875,188.94227600097656,179.0244140625,322.60406494140625,93.3673095703125,1.0739084482192993,1.7907027006149292,0.29894208908081055,76059.59375,287104.65625,78395.046875,275.7890384877543,535.8214779663092,279.99115499422476,0.6080971956253052,-0.5776418447494507,-0.06298267841339111,368.55596923828125
9,0.0009950118288582787,217.468505859375,362.9126281738281,160.6751251220703,217.968505859375,363.41259765625,161.1751251220703,141.228759765625,270.49725341796875,67.622802734375,1.0748971700668335,1.6959301233291626,0.2583274841308594,74746.21875,236418.828125,57107.3984375,273.39754708116897,486.2291929995565,238.97154315420067,0.6148644685745239,-0.2991229295730591,0.2256631851196289,362.9126281738281
10,0.0009938441702975688,184.47781372070312,339.5739440917969,136.9246826171875,184.9752197265625,340.07391357421875,137.4246826171875,116.61297607421875,197.921142578125,88.0133056640625,0.9936709403991699,1.6061831712722778,0.22310666739940643,62614.62890625,192137.328125,44539.17578125,250.2291527904972,438.33472155990563,211.04306617666927,0.6773734092712402,-0.05579578876495361,0.3960795998573303,339.5739440917969
