epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,444.13257962740386,353.68450927734375,438.0064697265625,444.632568359375,354.18450927734375,438.5064697265625,448.25653076171875,376.5758056640625,387.2264404296875,5.173048973083496,3.2585601806640625,9.020560264587402,205198.625,136530.8125,207054.375,452.98854842037673,369.50076116295077,455.03227907479265,-7.750490188598633,-2.0575482845306396,-11.40864086151123,353.68450927734375
2,0.0009997532801828658,377.4648536095252,309.6527099609375,387.77056884765625,377.96484375,310.1527404785156,388.27056884765625,395.8316650390625,338.768310546875,342.6834716796875,4.614444732666016,2.922499179840088,8.210464477539062,154492.34375,105929.8359375,164637.921875,393.05514085176395,325.4686404824588,405.75598809506187,-5.588170051574707,-1.3722527027130127,-8.86664867401123,309.6527099609375
3,0.0009994449374809851,330.4275944636418,283.247314453125,341.28717041015625,330.9276123046875,283.747314453125,341.78717041015625,341.9446105957031,301.33782958984375,306.4221496582031,4.169071674346924,2.6456615924835205,7.33348274230957,122052.4921875,87392.640625,129073.8046875,349.3601181982568,295.6224629912281,359.26842985085676,-4.204805850982666,-0.9571201801300049,-6.735313415527344,283.247314453125
4,0.0009990133642141358,291.86468411959135,249.55902099609375,300.4269104003906,292.3646545410156,250.0590362548828,300.92694091796875,294.4751281738281,263.619384765625,275.8866882324219,3.75075626373291,2.377365827560425,6.52419376373291,97335.4296875,70187.0078125,101553.0,311.98626522252545,264.9283069294408,318.6738144247186,-3.1507716178894043,-0.5718075037002563,-5.086008548736572,249.55902099609375
5,0.000998458666866564,265.42603571965145,206.17132568359375,260.4156799316406,265.926025390625,206.6713409423828,260.9156799316406,265.1370849609375,228.8857879638672,246.58157348632812,3.4128565788269043,2.062551736831665,5.626222133636475,79767.1796875,51663.4140625,77107.8828125,282.4308405388831,227.29587339522905,277.68306180338044,-2.4015910625457764,-0.15697968006134033,-3.621027946472168,206.17132568359375
6,0.00099778098230154,229.30475135216346,174.125,222.5283203125,229.80474853515625,174.625,223.0283203125,225.66940307617188,186.04087829589844,220.92715454101562,2.973600387573242,1.738450288772583,4.756303787231445,60554.1328125,38882.20703125,57294.265625,246.07749351068253,197.18571710762927,239.36220592441072,-1.5822703838348389,0.12924987077713013,-2.433609962463379,174.125
7,0.0009969804777275899,191.07747427133413,146.01791381835938,179.7496795654297,191.57748413085938,146.51791381835938,180.2496795654297,186.54055786132812,139.6166534423828,178.86813354492188,2.4753167629241943,1.4265656471252441,3.6863064765930176,44004.9140625,27901.59375,38348.27734375,209.77348274388734,167.0377015826068,195.82716191516948,-0.8765453100204468,0.3751559257507324,-1.2981886863708496,146.01791381835938
8,0.000996057350657239,156.83148522010217,117.79908752441406,135.28712463378906,157.3314971923828,118.29907989501953,135.78713989257812,158.86578369140625,96.06867218017578,147.05413818359375,2.0729308128356934,1.1142619848251343,2.462057113647461,32017.015625,19365.482421875,23265.27734375,178.93299199700428,139.15991672128507,152.52959497667985,-0.36533355712890625,0.5663184523582458,-0.3942737579345703,117.79908752441406
9,0.0009950118288582787,125.0505366398738,96.54489135742188,103.84600067138672,125.550537109375,97.04489135742188,104.34600067138672,123.55204772949219,91.7908935546875,119.71173095703125,1.6626484394073486,0.824878454208374,1.592352032661438,22342.537109375,14300.87890625,15301.4892578125,149.47420215333148,119.58628226619473,123.69918858995196,0.047224998474121094,0.6797380447387695,0.08299118280410767,96.54489135742188
10,0.0009938441702975688,108.07223839393029,104.46580505371094,97.33301544189453,108.57223510742188,104.96580505371094,97.8330078125,107.78792572021484,87.369384765625,101.95095825195312,1.376120686531067,0.7755334973335266,1.5556119680404663,17672.486328125,13411.3388671875,12891.1318359375,132.9379040308858,115.80733511823635,113.53912028872472,0.24637454748153687,0.6996588706970215,0.2274424433708191,96.54489135742188
