epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,447.74898024338944,446.0987243652344,360.8275146484375,448.2489929199219,446.59869384765625,361.3274841308594,455.34820556640625,442.2666015625,361.3292236328125,5.193915367126465,9.971179962158203,3.122746706008911,209417.5,215144.265625,138696.5,457.6215685476374,463.8364643115071,372.41979002195893,-7.928593635559082,-10.643803596496582,-2.4434900283813477,446.0987243652344
2,0.0009997532801828658,378.0125624436599,396.5138854980469,297.0315856933594,378.5126037597656,397.013916015625,297.5315856933594,382.0498046875,400.41900634765625,331.0956726074219,4.610456943511963,9.019885063171387,2.8216423988342285,154422.53125,172010.828125,105622.3671875,392.9663233026464,414.74188132499955,324.9959494939898,-5.583862781524658,-8.309382438659668,-1.6223413944244385,396.5138854980469
3,0.0009994449374809851,329.5281728891226,346.19403076171875,258.56109619140625,330.0281677246094,346.6940612792969,259.06109619140625,351.6654968261719,356.1881103515625,291.8253479003906,4.187615871429443,8.018059730529785,2.5390961170196533,122823.078125,134130.5625,82711.0,350.4612362658672,366.23839572060166,287.59520162895626,-4.236608028411865,-6.259268283843994,-1.053508996963501,346.19403076171875
4,0.0009990133642141358,290.8056142953726,294.23651123046875,220.0105743408203,291.3056335449219,294.7365417480469,220.5105743408203,306.4508972167969,306.5168762207031,226.384521484375,3.7449331283569336,6.767299175262451,2.205824136734009,96500.546875,97907.25,60671.234375,310.64537156539126,312.9013422790001,246.3153149420474,-3.1143369674682617,-4.298829555511475,-0.5063163042068481,294.23651123046875
5,0.000998458666866564,251.486623441256,232.92002868652344,169.6205291748047,251.9866180419922,233.4200439453125,170.1205291748047,265.9178771972656,241.72250366210938,149.91403198242188,3.2789621353149414,5.162842750549316,1.8319091796875,73127.203125,62207.08203125,41099.03515625,270.42041920868326,249.4134760417929,202.7289697015451,-2.1178059577941895,-2.366703987121582,-0.02038705348968506,232.92002868652344
6,0.00099778098230154,205.86254366361177,163.98110961914062,105.799560546875,206.36253356933594,164.46737670898438,106.299560546875,208.650390625,185.63958740234375,41.9716796875,2.719853639602661,3.265610456466675,1.32565438747406,51462.375,33675.40234375,23353.33984375,226.85320143211555,183.50858929148248,152.81799581119364,-1.194117784500122,-0.8225435018539429,0.42019450664520264,163.98110961914062
7,0.0009969804777275899,140.70127704326924,106.53628540039062,113.04257202148438,141.20126342773438,107.03628540039062,113.54257202148438,137.48287963867188,85.20315551757812,111.72241973876953,1.8648723363876343,1.4442496299743652,1.1225589513778687,27544.154296875,17937.783203125,18678.849609375,165.96431633599735,133.9320096284865,136.67058794552324,-0.17435526847839355,0.02919083833694458,0.5362504720687866,106.53628540039062
8,0.000996057350657239,119.80494572566106,79.13890075683594,129.49783325195312,120.29804229736328,79.61873626708984,129.99783325195312,119.60012817382812,57.66459655761719,123.90846252441406,1.3348243236541748,0.9773461222648621,1.0255300998687744,20929.013671875,12486.2939453125,20615.447265625,144.66863402920137,111.74208672345662,143.58080395939075,0.10768359899520874,0.3242303729057312,0.4881695508956909,79.13890075683594
9,0.0009950118288582787,114.35577885554387,69.73580932617188,119.48069763183594,114.85464477539062,70.23580932617188,119.98069763183594,101.49748229980469,42.57988739013672,108.09628295898438,1.1581921577453613,1.0613285303115845,0.925352931022644,20456.9609375,10105.2880859375,17775.0078125,143.0278327371984,100.52506197927708,133.3229455588947,0.12780988216400146,0.4530925750732422,0.55869060754776,69.73580932617188
10,0.0009938441702975688,110.5464862530048,54.549774169921875,90.67171478271484,111.0464859008789,55.04977798461914,91.17171478271484,99.86203002929688,22.962779998779297,97.40716552734375,1.1064053773880005,0.664968729019165,0.8189600110054016,18209.587890625,8110.87109375,12665.2138671875,134.94290604038807,90.06037471468792,112.53983235809221,0.22362732887268066,0.5610322952270508,0.6855541467666626,54.549774169921875
11,0.000992554663077387,93.4366458599384,50.95154571533203,79.01896667480469,93.9366455078125,51.4515380859375,79.51895904541016,78.64720153808594,24.929515838623047,74.9923095703125,1.0474039316177368,0.7365541458129883,0.7602066397666931,14361.533203125,6653.373046875,10806.806640625,119.83961449839948,81.56821100695417,103.955791760849,0.3876906633377075,0.6399133801460266,0.7316938042640686,50.95154571533203
12,0.0009911436253643444,79.67969149076022,56.249759674072266,80.08274841308594,80.17532348632812,56.749759674072266,80.58274841308594,69.02163696289062,41.91360855102539,66.27464294433594,0.942409873008728,0.9404261112213135,0.7683865427970886,10911.9990234375,6094.38232421875,10858.08984375,104.46051418329081,78.06652499130949,104.20215853690364,0.5347628593444824,0.6701664924621582,0.7304205894470215,50.95154571533203
13,0.000989611405310883,82.25271747295673,62.421142578125,87.86603546142578,82.75271606445312,62.921142578125,88.36603546142578,59.984344482421875,58.59333038330078,78.18315124511719,1.013771414756775,1.1330952644348145,0.8359353542327881,11618.5263671875,6314.86572265625,11550.3671875,107.78926833032823,79.46612940527713,107.47263459830135,0.5046398043632507,0.6582337021827698,0.7132329940795898,50.95154571533203
14,0.0009879583809693738,84.27637939453125,54.080780029296875,83.55970764160156,84.77074432373047,54.580780029296875,84.05970764160156,76.15757751464844,48.728050231933594,66.226806640625,1.0719928741455078,0.9121729135513306,0.7923325300216675,11803.953125,5285.9765625,10671.2275390625,108.64599912099847,72.70472173456136,103.30163376763457,0.49673402309417725,0.7139180898666382,0.7350598573684692,50.95154571533203
15,0.0009861849601988384,77.32738301203801,45.97936248779297,78.51687622070312,77.82205200195312,46.46768569946289,79.01687622070312,58.6376953125,33.6483154296875,60.617950439453125,1.027846336364746,0.7362547516822815,0.7767637968063354,10461.8505859375,4370.9755859375,10170.83203125,102.2831881881744,66.11335406661426,100.85054303894451,0.5539550185203552,0.7634388208389282,0.747483491897583,45.97936248779297
16,0.0009842915805643156,73.31649310772235,46.55872344970703,78.03888702392578,73.81649780273438,47.040245056152344,78.53888702392578,61.94568634033203,35.6072883605957,74.81744384765625,0.9137081503868103,0.7387744784355164,0.8060961961746216,8665.2841796875,3880.655517578125,10269.171875,93.08750818282493,62.294907637608105,101.33692256527233,0.6305522918701172,0.7899754047393799,0.7450419664382935,45.97936248779297
17,0.000982278709228899,78.52548029972957,50.544677734375,80.33324432373047,79.02205657958984,51.044681549072266,80.83323669433594,75.21647644042969,47.13750457763672,89.657958984375,0.9864979386329651,0.8293002247810364,0.8142881393432617,9416.138671875,3508.55810546875,10078.552734375,97.03679030076685,59.23308286311586,100.3919953700244,0.5985393524169922,0.8101136684417725,0.7497745156288147,45.97936248779297
18,0.0009801468428384716,74.53908937894381,52.42256164550781,82.83226776123047,75.0390853881836,52.92256164550781,83.332275390625,60.654266357421875,65.31892395019531,100.31069946289062,0.9284205436706543,0.8899663090705872,0.7912747859954834,8371.5322265625,3762.983642578125,9870.7255859375,91.49607765670886,61.34316296522478,99.35152533271696,0.6430765986442566,0.7963439226150513,0.7549343705177307,45.97936248779297
19,0.000977896507399165,72.61938241811899,58.509891510009766,85.67776489257812,73.119384765625,59.00989532470703,86.1777572631836,60.70054626464844,56.98236083984375,87.1741943359375,0.7817167043685913,1.1892019510269165,0.7473093271255493,7799.5126953125,4969.451171875,9501.5078125,88.3148498006564,70.49433432464626,97.47567805611818,0.6674648523330688,0.7310487627983093,0.7641011476516724,45.97936248779297
20,0.0009755282581475768,68.1246584378756,64.88825988769531,83.9845962524414,68.6246566772461,65.38825988769531,84.48458862304688,60.00851058959961,42.92637252807617,80.05237579345703,0.70591139793396,1.478714942932129,0.6694070100784302,7181.32763671875,6933.853515625,8671.4599609375,84.7427143577473,83.26976351368485,93.12067418644207,0.6938214302062988,0.624733567237854,0.7847091555595398,45.97936248779297
21,0.0009730426794137727,66.37255202073317,68.88150024414062,75.8167495727539,66.87255096435547,69.38150787353516,76.31674194335938,56.41260528564453,45.31020736694336,67.3546142578125,0.6517117619514465,1.632595181465149,0.570996105670929,7121.6611328125,7840.7744140625,7229.97998046875,84.3899350207861,88.54814743439017,85.02928895662218,0.6963652968406677,0.575650155544281,0.8204975128173828,45.97936248779297
22,0.0009704403844771128,64.99399554912861,61.37617874145508,62.85295867919922,65.4939956665039,61.87617874145508,63.35295104980469,60.603759765625,45.47079086303711,61.60828399658203,0.5862467885017395,1.4521957635879517,0.4813540279865265,6372.1953125,6241.77783203125,5980.47265625,79.82603154673292,79.00492283415794,77.33351573703345,0.7283190488815308,0.6621893048286438,0.8515197038650513,45.97936248779297
23,0.0009677220154149337,51.39630995530349,43.93992614746094,71.80308532714844,51.89630889892578,44.4399299621582,72.30308532714844,41.625972747802734,45.18311309814453,64.70728302001953,0.5617411732673645,0.9463921785354614,0.5497925281524658,4323.41748046875,3205.369873046875,7313.75,65.75269941583197,56.61598602026529,85.520465386947,0.8156694769859314,0.8265224695205688,0.8184177279472351,43.93992614746094
24,0.0009648882429441257,55.315360201322115,35.411834716796875,77.43113708496094,55.81535720825195,35.911834716796875,77.93113708496094,46.7212028503418,29.01248550415039,72.30509948730469,0.6835920810699463,0.6791964173316956,0.6161245703697205,5350.3134765625,1855.4429931640625,8867.9619140625,73.14583704191578,43.07485337368036,94.16985671679925,0.7718873620033264,0.8995817303657532,0.7798305153846741,35.411834716796875
25,0.0009619397662556434,54.473483980618994,30.107192993164062,81.10086059570312,54.96818542480469,30.60719108581543,81.60086059570312,45.987396240234375,25.820838928222656,79.67497253417969,0.6814632415771484,0.5112462043762207,0.6648519039154053,4629.5087890625,1555.34619140625,8893.71875,68.0404937449935,39.43787762299399,94.3065148863004,0.8026191592216492,0.915823221206665,0.7791910171508789,30.107192993164062
26,0.0009588773128419905,53.91509998028095,30.043153762817383,77.35102081298828,54.41510009765625,30.54315185546875,77.85102081298828,50.46429443359375,25.456825256347656,82.32140350341797,0.6301845908164978,0.45546144247055054,0.6627066135406494,4316.27490234375,1516.31005859375,7830.73974609375,65.69836301114168,38.93982612433895,88.49146708069513,0.8159739971160889,0.9179359078407288,0.8055821657180786,30.043153762817383
27,0.0009557016383177226,51.77285625751202,29.454927444458008,74.05642700195312,52.272850036621094,29.954927444458008,74.55642700195312,40.33782958984375,22.305503845214844,71.32028198242188,0.650538980960846,0.4208966791629791,0.6575433611869812,4500.77734375,1417.8565673828125,7176.876953125,67.08783305302087,37.65443622447178,84.71645030998997,0.8081076741218567,0.9232643246650696,0.8218159675598145,29.454927444458008
28,0.0009524135262330098,51.23558279184195,23.321624755859375,73.33836364746094,51.72953414916992,23.821624755859375,73.83836364746094,39.946258544921875,15.878796577453613,74.71563720703125,0.5690808296203613,0.35361725091934204,0.6761256456375122,4508.7470703125,996.2064819335938,7132.34228515625,67.14720448620702,31.562738821806857,84.45319582559472,0.8077678680419922,0.9460843801498413,0.822921633720398,23.321624755859375
29,0.0009490137878803078,49.834662099984975,22.320945739746094,67.968017578125,50.33060836791992,22.82094383239746,68.468017578125,41.876220703125,8.794296264648438,71.85748291015625,0.5268889665603638,0.4763965606689453,0.6583654880523682,4072.2568359375,1062.3468017578125,6486.130859375,63.81423693767324,32.59366198753697,80.53651879349516,0.826377809047699,0.9425048232078552,0.8389654755592346,22.320945739746094
30,0.0009455032620941839,42.45317658644456,41.79481506347656,59.3306884765625,42.947662353515625,42.294281005859375,59.8306884765625,30.548110961914062,39.04620361328125,56.79740905761719,0.48224544525146484,1.2387930154800415,0.5845844745635986,3237.2822265625,3195.8427734375,4749.400390625,56.89711966841995,56.53178551432371,68.91589359955366,0.861977219581604,0.827038049697876,0.8820841908454895,22.320945739746094
31,0.0009418828150443468,46.993161245492786,66.46198272705078,51.0212516784668,47.49213409423828,66.96198272705078,51.52125549316406,38.124542236328125,45.31866455078125,43.42628479003906,0.48327332735061646,2.0819008350372314,0.5051955580711365,3431.273193359375,7832.5966796875,4099.00537109375,58.577070542656664,88.50195862062884,64.02347515633426,0.8537063598632812,0.5760927200317383,0.8982318639755249,22.320945739746094
32,0.0009381533400219318,49.548085491473856,76.5611572265625,53.80185317993164,50.043495178222656,77.06114959716797,54.30185317993164,39.22010803222656,54.994407653808594,42.67173767089844,0.4513259828090668,2.360724925994873,0.5236746072769165,4152.90234375,9753.9541015625,4368.81201171875,64.44301625273293,98.7621086326254,66.09698943006973,0.8229394555091858,0.4721071124076843,0.8915332555770874,22.320945739746094
33,0.0009343157572190957,53.51006305401142,65.17485046386719,49.059505462646484,54.00423049926758,65.67485046386719,49.556495666503906,44.87381362915039,52.978416442871094,60.584869384765625,0.6009783148765564,1.9051926136016846,0.5424301624298096,5141.390625,6368.46484375,4448.26611328125,71.70349102379883,79.802661883862,66.69532302404157,0.7807948589324951,0.6553329229354858,0.8895605802536011,22.320945739746094
34,0.0009303710135019718,43.82290485088642,46.104644775390625,59.75961685180664,44.32129669189453,46.604644775390625,60.25961685180664,37.57587814331055,45.80732727050781,48.87750244140625,0.45932695269584656,1.2073960304260254,0.6310837268829346,3102.7626953125,2816.33251953125,5345.25537109375,55.70244783950253,53.06912962854441,73.11125338204612,0.8677125573158264,0.8475775122642517,0.8672905564308167,22.320945739746094
35,0.0009263200821770461,42.362512911283055,34.04717254638672,65.61781311035156,42.86250686645508,34.54717254638672,66.11781311035156,36.83063507080078,33.14034652709961,53.414276123046875,0.48195555806159973,0.72444748878479,0.674541711807251,2667.64794921875,1456.57470703125,6339.41259765625,51.64927830298067,38.1650980220312,79.62042826848051,0.8862638473510742,0.921168863773346,0.8426080942153931,22.320945739746094
36,0.0009221639627510075,46.85963040865385,28.475902557373047,67.99561309814453,47.35219192504883,28.975900650024414,68.49562072753906,42.351593017578125,24.88079071044922,63.54914855957031,0.5812169909477234,0.5020022392272949,0.6757153868675232,3320.5859375,1200.763671875,6809.09765625,57.62452548611572,34.65203705231483,82.51725671791326,0.8584255576133728,0.9350135922431946,0.8309469819068909,22.320945739746094
37,0.0009179036806841352,47.70532713669997,27.087871551513672,66.81356048583984,48.20528030395508,27.58786964416504,67.31356048583984,44.364593505859375,20.9659423828125,65.041015625,0.6290585398674011,0.4668845236301422,0.6411800980567932,3318.99853515625,1236.812744140625,6523.88037109375,57.610750170052896,35.168348612646355,80.77054148075119,0.8584932088851929,0.9330625534057617,0.8380282521247864,22.320945739746094
38,0.0009135402871372809,42.51777789776142,29.945919036865234,60.76628875732422,43.01047897338867,30.444318771362305,61.26628875732422,35.61494445800781,21.182165145874023,58.188018798828125,0.46988746523857117,0.6073927283287048,0.5627021193504333,2688.395263671875,1498.9423828125,5591.6201171875,51.849737353933385,38.716177275300566,74.77713632647014,0.8853792548179626,0.9188758730888367,0.8611739277839661,22.320945739746094
39,0.0009090748587125117,43.07890178973858,34.657386779785156,57.86629104614258,43.5786247253418,35.114356994628906,58.36628723144531,37.67511749267578,24.349613189697266,50.85887145996094,0.5305867195129395,0.7653849720954895,0.4961046576499939,3035.8623046875,1876.3604736328125,4957.92236328125,55.09865973585474,43.316976736988615,70.41251567215342,0.870564877986908,0.8984496593475342,0.8769071102142334,22.320945739746094
40,0.0009045084971874737,38.02163931039664,39.72608184814453,52.70912551879883,38.52164077758789,40.178382873535156,53.20912551879883,33.826904296875,35.70657730102539,41.48353576660156,0.3931572735309601,0.9267839193344116,0.4354669451713562,2242.822021484375,2270.409912109375,4224.3642578125,47.358441924163586,47.64881858041577,64.99510949150329,0.9043764472007751,0.8771233558654785,0.8951195478439331,22.320945739746094
