epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,442.00868733723956,450.063720703125,426.0154113769531,442.5086975097656,450.563720703125,426.5154113769531,445.7515869140625,441.15374755859375,429.4120178222656,4.796353340148926,9.875307083129883,5.781717300415039,203602.078125,218112.828125,187661.0625,451.2228696830426,467.0255112143233,433.19864092584595,-6.302072525024414,-10.804465293884277,-28.594106674194336,450.063720703125
2,0.0009997532801828658,368.43292513760656,402.4004821777344,391.1768493652344,368.93292236328125,402.9004821777344,391.6768493652344,374.2371520996094,397.9106140136719,395.11383056640625,4.276745319366455,8.930832862854004,5.374953269958496,148887.609375,175687.21875,157988.984375,385.8595720919723,419.1505919714298,397.4782816393872,-4.339768886566162,-8.508352279663086,-23.914827346801758,402.4004821777344
3,0.0009994449374809851,331.8118230646307,364.25311279296875,361.5899963378906,332.31182861328125,364.7530822753906,362.09002685546875,342.3787536621094,368.95867919921875,360.0310974121094,3.9138336181640625,8.145735740661621,5.041604042053223,122516.5859375,144580.28125,135165.546875,350.02369339446153,380.23713817826894,367.64867315822045,-3.3939881324768066,-6.824816703796387,-20.315576553344727,364.25311279296875
4,0.0009990133642141358,303.83920473040956,324.6432800292969,329.9483642578125,304.3392333984375,325.14324951171875,330.4483642578125,316.6533508300781,337.9163513183594,321.8301086425781,3.5829544067382812,7.309191703796387,4.674574375152588,103733.9140625,115616.3359375,112733.2890625,322.0774969824809,340.0240225888459,335.7577833237824,-2.720357894897461,-5.257261276245117,-16.77801513671875,324.6432800292969
5,0.000998458666866564,273.67687063506156,281.6365966796875,295.71710205078125,274.1768493652344,282.1365966796875,296.21710205078125,274.14239501953125,300.1727294921875,287.9771423339844,3.2383525371551514,6.348566055297852,4.3013505935668945,85092.6640625,87942.328125,91873.140625,291.7064690103735,296.5507176268505,303.10582413572985,-2.05180025100708,-3.759519100189209,-13.488373756408691,281.6365966796875
6,0.00099778098230154,239.1885223388672,237.98617553710938,261.5149230957031,239.6885223388672,238.48617553710938,262.01495361328125,237.817626953125,250.89013671875,258.41839599609375,2.8534908294677734,5.296084880828857,3.9285531044006348,66389.640625,63601.3359375,73909.28125,257.6618726645446,252.19305291284294,271.86261466042,-1.3810267448425293,-2.442162275314331,-10.655477523803711,237.98617553710938
7,0.0009969804777275899,206.2541707356771,194.3968048095703,225.7136688232422,206.75418090820312,194.89678955078125,226.21365356445312,202.7801513671875,198.84144592285156,225.36392211914062,2.437602996826172,4.129777431488037,3.5485341548919678,49978.08984375,42997.55078125,58209.9140625,223.55779978285258,207.35850785837073,241.26730831693712,-0.7924360036849976,-1.3270666599273682,-8.17969036102295,194.3968048095703
8,0.000996057350657239,168.00020714962122,147.42034912109375,191.85464477539062,168.50021362304688,147.92034912109375,192.35462951660156,162.30111694335938,144.40011596679688,196.43109130859375,1.9981224536895752,2.8279058933258057,3.1748993396759033,34666.70703125,26568.6796875,45749.06640625,186.1899756465154,162.99901744335762,213.89031396080094,-0.2433018684387207,-0.4379211664199829,-6.214617729187012,147.42034912109375
9,0.0009950118288582787,122.39411602598248,106.42961120605469,170.02438354492188,122.89412689208984,106.92961120605469,170.52438354492188,105.93072509765625,104.30656433105469,176.25228881835938,1.430164098739624,1.6726889610290527,2.9073898792266846,20896.6484375,17349.755859375,38161.0703125,144.5567308619699,131.71847197479553,195.34858666624646,0.25055354833602905,0.061015427112579346,-5.01799201965332,106.42961120605469
10,0.0009938441702975688,96.71934856068005,87.18035125732422,155.55508422851562,97.21934509277344,87.68035125732422,156.05508422851562,78.18031311035156,71.11129760742188,156.38406372070312,1.0846490859985352,1.3855137825012207,2.683650016784668,14584.33984375,12732.1025390625,31869.0234375,120.76564016205106,112.83661878602398,178.51897220603752,0.47694098949432373,0.31092703342437744,-4.025737762451172,87.18035125732422
