epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,446.93663348573625,448.4598083496094,382.41436767578125,447.4366760253906,448.9598083496094,382.91436767578125,449.271728515625,440.923095703125,418.4463195800781,4.926787853240967,10.0087251663208,4.5157904624938965,206738.59375,217362.4375,157732.046875,454.6851589286811,466.221446846882,397.15494064029974,-6.8407368659973145,-10.763853073120117,-6.105881214141846,448.4598083496094
2,0.0009997532801828658,370.1346796209162,392.5360107421875,343.14178466796875,370.63470458984375,393.03594970703125,343.6418151855469,381.18804931640625,391.58221435546875,384.4245910644531,4.39374303817749,8.958815574645996,4.175732612609863,148878.09375,168796.25,132196.734375,385.847241469989,410.8482079795408,363.5886884585383,-4.646327972412109,-8.135406494140625,-4.955506801605225,392.5360107421875
3,0.0009994449374809851,329.73104580965907,336.2188415527344,307.032470703125,330.2310485839844,336.7188720703125,307.5324401855469,328.0514831542969,339.68328857421875,353.91595458984375,4.008425235748291,7.750111103057861,3.819399833679199,120501.2734375,125505.1484375,109899.9453125,347.13293338071514,354.26705807554276,331.5116066029966,-3.570113182067871,-5.792452812194824,-3.951028823852539,336.2188415527344
4,0.0009990133642141358,287.8189392089844,288.71893310546875,276.3131408691406,288.3189392089844,289.2189636230469,276.8131408691406,294.16265869140625,295.4327697753906,321.3021545410156,3.5946238040924072,6.686211585998535,3.4224159717559814,94317.9296875,94204.359375,87060.296875,307.11224281604274,306.92728678792963,295.0598191468977,-2.577087879180908,-4.09842586517334,-2.92209529876709,288.71893310546875
5,0.000998458666866564,247.30750621448863,242.4329071044922,241.82119750976562,247.80747985839844,242.9329071044922,242.32119750976562,248.54656982421875,252.09767150878906,281.5382385253906,3.1894755363464355,5.578836917877197,2.9613873958587646,71586.8203125,67452.5,65461.1875,267.557134669401,259.7161912549928,255.85384011188887,-1.7149908542633057,-2.650590658187866,-1.9490482807159424,242.4329071044922
6,0.00099778098230154,208.7988299745502,189.78573608398438,199.24810791015625,209.298828125,190.28573608398438,199.74810791015625,211.55160522460938,208.51812744140625,222.79782104492188,2.7380621433258057,4.266834735870361,2.3958559036254883,52357.22265625,42510.44140625,44613.01171875,228.8170069209236,206.1806038555761,211.21792470988348,-0.9856923818588257,-1.300703763961792,-1.0098309516906738,189.78573608398438
7,0.0009969804777275899,168.04771931966147,134.5475616455078,141.20680236816406,168.5477294921875,135.0475616455078,141.70681762695312,168.9316864013672,129.24365234375,155.3777618408203,2.2489383220672607,2.7058658599853516,1.612499475479126,35735.0390625,22935.005859375,25062.05859375,189.0371367284746,151.44307795133787,158.3100078761605,-0.3552818298339844,-0.24126338958740234,-0.12905406951904297,134.5475616455078
8,0.000996057350657239,126.39187714547822,96.4422836303711,113.75770568847656,126.8869857788086,96.94227600097656,114.25770568847656,123.27377319335938,74.10720825195312,105.54631805419922,1.6710463762283325,1.6594748497009277,1.1322681903839111,21871.98828125,13910.599609375,16617.998046875,147.89181275936136,117.94320501569813,128.9108143131328,0.1704862117767334,0.2471456527709961,0.2513536810874939,96.4422836303711
9,0.0009950118288582787,107.7825839880741,74.98939514160156,103.10783386230469,108.2760009765625,75.4894027709961,103.60782623291016,95.17473602294922,57.47879409790039,95.6636734008789,1.317820429801941,1.2401981353759766,0.95518958568573,16686.205078125,10142.4404296875,15492.2119140625,129.17509465111686,100.70968389230254,124.4677143441724,0.36716151237487793,0.45108187198638916,0.302070677280426,74.98939514160156
10,0.0009938441702975688,95.31793929591323,66.41468048095703,113.16110229492188,95.81793975830078,66.91468048095703,113.66110229492188,83.77083587646484,62.10884094238281,121.50658416748047,1.064023733139038,1.1795661449432373,1.1914892196655273,13355.7138671875,8344.828125,17455.875,115.56692375929845,91.35003078817215,132.1206834678053,0.4934731721878052,0.5483703017234802,0.21360701322555542,66.41468048095703
