epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,449.0406216708097,449.5124816894531,355.9330749511719,449.5406188964844,450.0124816894531,356.43310546875,445.8185119628906,444.44757080078125,414.81976318359375,4.823781490325928,10.004156112670898,5.562705039978027,208778.21875,218307.125,147630.234375,456.92255224490725,467.2334801788074,384.2268006984937,-7.155795097351074,-10.814980506896973,-4.054642677307129,449.5124816894531
2,0.0009997532801828658,374.839550596295,400.2373046875,311.6663818359375,375.3395080566406,400.7373046875,312.1664123535156,396.3902282714844,411.0819396972656,378.15325927734375,4.307708740234375,9.112298011779785,5.063456058502197,152971.75,175451.6875,119968.1328125,391.1160313768793,418.86953517772093,346.36416213647163,-4.975748538970947,-8.49560546875,-3.1075329780578613,400.2373046875
3,0.0009994449374809851,332.5645733457623,354.24822998046875,275.09356689453125,333.05889892578125,354.74822998046875,275.59356689453125,323.867431640625,373.71954345703125,346.26275634765625,3.9132907390594482,8.264031410217285,4.593210220336914,121815.3046875,140306.03125,98288.921875,349.02049321995406,374.5744668954359,313.5106407683797,-3.758640766143799,-6.593490123748779,-2.3652684688568115,354.24822998046875
4,0.0009990133642141358,293.69312448212594,310.04364013671875,238.87750244140625,294.1931457519531,310.54364013671875,239.3775177001953,295.04132080078125,324.17889404296875,308.37933349609375,3.475243091583252,7.4205145835876465,4.089284420013428,95419.078125,110333.5703125,77268.21875,308.899786540878,332.1649745420188,277.97161500771983,-2.7274882793426514,-4.971353530883789,-1.6455504894256592,310.04364013671875
5,0.000998458666866564,248.76371811375475,265.9595947265625,209.74517822265625,249.26373291015625,266.4595642089844,210.2451629638672,246.9698486328125,278.1377868652344,258.53228759765625,3.0241775512695312,6.382480144500732,3.5579755306243896,69379.1796875,82711.046875,57516.44921875,263.39927806943587,287.595283123698,239.82587270507327,-1.7102556228637695,-3.4763970375061035,-0.9692788124084473,265.9595947265625
6,0.00099778098230154,200.16989135742188,216.08323669433594,171.15863037109375,200.66986083984375,216.58323669433594,171.65863037109375,211.60916137695312,224.3885498046875,194.96351623535156,2.5582470893859863,5.04813289642334,2.814087390899658,48637.65625,55751.81640625,35981.3984375,220.53946642267908,236.118225485137,189.6876338549775,-0.9000004529953003,-2.017338991165161,-0.2319502830505371,216.08323669433594
7,0.0009969804777275899,148.9297339699485,160.7474365234375,124.8337173461914,149.42832946777344,161.2474365234375,125.33373260498047,148.532470703125,163.13845825195312,111.52714538574219,1.9349298477172852,3.468075752258301,1.9749181270599365,30931.673828125,33213.8125,19575.498046875,175.87402829333556,182.2465706124535,139.91246565933645,-0.208327054977417,-0.797561764717102,0.32976365089416504,160.7474365234375
8,0.000996057350657239,139.25355691620797,112.51571655273438,84.28352355957031,139.75357055664062,113.01571655273438,84.78351593017578,135.2178192138672,96.1976318359375,67.33905029296875,1.5424573421478271,1.7946248054504395,1.1073895692825317,25972.3984375,19641.13671875,12157.521484375,161.15954342669255,140.14683984574893,110.26115129262436,-0.014595985412597656,-0.0629962682723999,0.5837442874908447,112.51571655273438
9,0.0009950118288582787,152.71122233072916,95.81700134277344,94.36972045898438,153.21121215820312,96.31700134277344,94.86971282958984,142.41311645507812,67.35539245605469,85.68283081054688,1.4773311614990234,1.430842399597168,1.0690207481384277,32584.955078125,15490.6474609375,13207.1962890625,180.51303298688714,124.46142961149651,114.92256649180133,-0.27291154861450195,0.16163206100463867,0.5478049516677856,95.81700134277344
10,0.0009938441702975688,159.2785337043531,89.15214538574219,113.63011169433594,159.778564453125,89.65215301513672,114.13011169433594,140.01840209960938,59.466224670410156,129.54945373535156,1.4586193561553955,1.28548264503479,1.2544519901275635,37785.66015625,13723.6728515625,16448.26171875,194.38533935523532,117.14808087016407,128.25077667893478,-0.4760739803314209,0.25726234912872314,0.4368356466293335,89.15214538574219
11,0.000992554663077387,154.28950269294506,87.6739501953125,110.652099609375,154.7895050048828,88.1739501953125,111.15211486816406,145.39111328125,67.34210205078125,128.20999145507812,1.4383814334869385,1.3212509155273438,1.15042245388031,34342.84375,12923.8388671875,15483.1806640625,185.3182229301803,113.6830632380545,124.43142956690042,-0.3415822982788086,0.30055004358291626,0.469878613948822,87.6739501953125
12,0.0009911436253643444,140.37489318847656,99.68196105957031,83.8912353515625,140.87489318847656,100.18196105957031,84.3912353515625,134.9495849609375,91.9185562133789,98.30014038085938,1.4005030393600464,1.983154535293579,0.7532888054847717,28977.291015625,15039.7041015625,10767.7080078125,170.2271747272597,122.63647133525369,103.76756722508483,-0.131980299949646,0.18603754043579102,0.6313294768333435,87.6739501953125
13,0.000989611405310883,107.33632498076467,114.5225830078125,73.85060119628906,107.83631896972656,115.02256774902344,74.3506088256836,101.86834716796875,98.43185424804688,74.65277099609375,1.1493935585021973,2.694571018218994,0.6991972327232361,16632.03515625,19176.64453125,7535.94970703125,128.96524786255404,138.47976217213113,86.80984798415011,0.3502795696258545,-0.03785741329193115,0.7419801354408264,87.6739501953125
14,0.0009879583809693738,78.05961655125473,127.64738464355469,72.74798583984375,78.55606079101562,128.1473846435547,73.24797821044922,57.64530563354492,110.16500854492188,49.45314025878906,0.8183776140213013,3.2038888931274414,0.8100961446762085,10751.380859375,23555.62109375,7797.8544921875,103.68886564802897,153.47840595259646,88.30546128177747,0.5800038576126099,-0.2748516798019409,0.7330129146575928,87.6739501953125
15,0.0009861849601988384,82.79226661450934,136.34335327148438,76.65597534179688,83.29141235351562,136.8433380126953,77.15597534179688,70.70591735839844,110.44432830810547,69.62937927246094,0.9605268836021423,3.507383346557617,0.9366723299026489,11167.3447265625,27158.8359375,8832.0380859375,105.67565815533159,164.79938087717443,93.97892362619132,0.5637544393539429,-0.46986091136932373,0.6976039409637451,87.6739501953125
16,0.0009842915805643156,72.51444198146011,131.04164123535156,78.03549194335938,73.01225280761719,131.54165649414062,78.53549194335938,49.75631332397461,99.57303619384766,69.1277847290039,0.8290461301803589,3.3370251655578613,0.9959638118743896,9683.3544921875,25092.125,8969.39453125,98.40403697098763,158.40493994822256,94.70688745413398,0.6217256188392639,-0.35800862312316895,0.6929011344909668,87.6739501953125
17,0.000982278709228899,85.13054865056819,118.12255096435547,80.12474060058594,85.62487030029297,118.62254333496094,80.62474822998047,73.43549346923828,87.61736297607422,72.20934295654297,1.0609469413757324,2.9453070163726807,1.0591700077056885,11630.7275390625,20702.2265625,8923.583984375,107.84585081987392,143.88268333089982,94.46472349176173,0.5456526875495911,-0.1204233169555664,0.6944695711135864,87.6739501953125
18,0.0009801468428384716,77.98989151463364,117.21353149414062,79.21397399902344,78.4898910522461,117.71353149414062,79.71398162841797,63.17130661010742,91.45675659179688,76.81109619140625,0.9745693802833557,2.939922571182251,1.0504262447357178,10295.4033203125,20177.736328125,8585.830078125,101.46626690833018,142.04835911803065,92.65975436037482,0.5978163480758667,-0.09203743934631348,0.7060337662696838,87.6739501953125
19,0.000977896507399165,76.16092612526633,130.6915740966797,79.07992553710938,76.65511322021484,131.19155883789062,79.57992553710938,63.45098876953125,108.80740356445312,72.08430480957031,0.888709306716919,3.3441357612609863,1.0475502014160156,9688.3876953125,23754.228515625,8493.908203125,98.42960781854462,154.12406857991064,92.16240124435235,0.6215290427207947,-0.28560054302215576,0.7091810703277588,87.6739501953125
20,0.0009755282581475768,75.40989176432292,142.1956024169922,77.0711669921875,75.90986633300781,142.6956024169922,77.5711669921875,62.068634033203125,123.5351333618164,80.2831802368164,0.9029227495193481,3.6474387645721436,0.988616943359375,9917.009765625,26831.87890625,8403.5859375,99.58418431470432,163.80439220683309,91.67107470461988,0.6125980019569397,-0.45216572284698486,0.7122735381126404,87.6739501953125
21,0.0009730426794137727,81.57206217447917,139.31103515625,75.1651840209961,82.07206726074219,139.81103515625,75.66517639160156,66.40139770507812,118.00096130371094,73.86144256591797,0.9552269577980042,3.51479434967041,0.8981273770332336,10872.318359375,25206.587890625,7846.56103515625,104.27040979767462,158.76582721299002,88.58081640601564,0.5752795338630676,-0.36420345306396484,0.7313452959060669,87.6739501953125
22,0.0009704403844771128,77.93358658299302,121.6858901977539,76.50758361816406,78.43357849121094,122.1858901977539,77.00757598876953,56.03699493408203,93.82020568847656,66.34992980957031,0.9109299182891846,3.0100440979003906,0.901652455329895,9828.5205078125,19697.16015625,7452.90966796875,99.13889503021758,140.34657158708936,86.33023611672071,0.6160547733306885,-0.06602823734283447,0.7448233366012573,87.6739501953125
23,0.0009677220154149337,75.93443899443655,99.6324462890625,91.72809600830078,76.43439483642578,100.1324462890625,92.22809600830078,68.16631317138672,67.62008666992188,99.33760833740234,0.8309010863304138,2.447779417037964,1.1445178985595703,9652.97265625,14159.818359375,11068.1748046875,98.24954277883434,118.99503501984863,105.20539342014506,0.6229124665260315,0.23365771770477295,0.6210419535636902,87.6739501953125
24,0.0009648882429441257,66.01416061863755,74.11698913574219,110.22190856933594,66.51416015625,74.61698150634766,110.7219009399414,47.911285400390625,45.19706726074219,103.25030517578125,0.738135039806366,1.8038426637649536,1.385786533355713,7590.5703125,9279.4619140625,18951.6171875,87.12387911761046,96.32996373954731,137.66487274355794,0.7034789323806763,0.4977870583534241,0.35112446546554565,74.11698913574219
25,0.0009619397662556434,61.205220424767695,54.86388397216797,128.26882934570312,61.705223083496094,55.36388397216797,128.76882934570312,49.127281188964844,32.81462097167969,129.7911376953125,0.6824325323104858,1.3299492597579956,1.609131097793579,6348.568359375,6003.64794921875,27163.408203125,79.67790383396768,77.48321075703271,164.81325251060667,0.7519969940185547,0.6750770807266235,0.06996476650238037,54.86388397216797
26,0.0009588773128419905,66.8441293889826,50.037879943847656,150.2757568359375,67.34413146972656,50.537879943847656,150.77577209472656,56.442440032958984,47.009315490722656,152.38226318359375,0.6832919716835022,1.1566658020019531,1.8780760765075684,7335.7333984375,4207.578125,34088.24609375,85.64889607249764,64.86584713853662,184.63002489776684,0.7134340405464172,0.7722820043563843,-0.16713154315948486,50.037879943847656
27,0.0009557016383177226,78.93367466782078,44.701332092285156,162.66781616210938,79.43367767333984,45.20133590698242,163.16783142089844,59.22637176513672,29.27090072631836,162.495849609375,0.8157897591590881,0.9277342557907104,2.0031843185424805,10092.2724609375,3599.455078125,37104.6328125,100.46030291083886,59.995458812521804,192.6256286492013,0.6057514548301697,0.8051941990852356,-0.27040815353393555,44.701332092285156
28,0.0009524135262330098,90.33988074100378,44.45425033569336,146.85076904296875,90.83988952636719,44.954246520996094,147.3507537841797,82.55549621582031,34.03795623779297,144.75083923339844,0.8950782418251038,0.8853793144226074,1.7547773122787476,12347.4560546875,3516.384033203125,30921.970703125,111.11910751390825,59.29910651268807,175.84644068938388,0.5176541209220886,0.8096901178359985,-0.058722853660583496,44.45425033569336
29,0.0009490137878803078,74.93692432750355,53.907615661621094,111.12433624267578,75.4369125366211,54.407615661621094,111.62433624267578,59.536537170410156,44.6831169128418,101.61552429199219,0.8273425698280334,1.0705358982086182,1.226910948753357,9564.1845703125,4751.21630859375,19572.005859375,97.79664907507056,68.92906722561789,139.89998520148242,0.6263809204101562,0.7428598403930664,0.3298832178115845,44.45425033569336
30,0.0009455032620941839,58.345314025878906,75.94027709960938,84.23966217041016,58.84039306640625,76.4402847290039,84.73966979980469,53.053680419921875,73.64213562011719,66.01251983642578,0.6471366882324219,1.7682721614837646,0.8888331055641174,5424.77392578125,8204.1552734375,10361.4052734375,73.6530646054952,90.57679213483716,101.79098817399063,0.7880845069885254,0.5559836626052856,0.6452406644821167,44.45425033569336
