epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,495.0264680823501,397.4601135253906,414.32440185546875,495.5264587402344,397.9601745605469,414.8243713378906,496.3289489746094,388.1431884765625,408.7246398925781,8.502906799316406,5.68290901184082,7.611786842346191,252891.953125,171077.5625,177318.765625,502.883637758279,413.615234849975,421.0923480959966,-30.491512298583984,-19.0136775970459,-23.748945236206055,397.4601135253906
2,0.0009997532801828658,397.27730804235756,365.6820373535156,327.8575744628906,397.77728271484375,366.1820068359375,328.3574523925781,418.7997131347656,344.2248229980469,339.6684265136719,7.187952518463135,4.936281681060791,6.399232387542725,164725.15625,149116.4375,116986.234375,405.8634699624986,386.15597561089226,342.0325048515126,-19.512493133544922,-16.44453239440918,-15.328142166137695,365.6820373535156
3,0.0009994449374809851,324.8875124146338,304.1378173828125,249.37767028808594,325.3874816894531,304.6378173828125,249.87770080566406,333.13250732421875,265.18939208984375,253.29844665527344,5.928460121154785,4.087149143218994,4.98398494720459,112047.375,114889.15625,68637.84375,334.7347830746007,338.9530295630945,261.988251167872,-12.952763557434082,-12.440420150756836,-8.580002784729004,304.1378173828125
4,0.0009990133642141358,237.64836546190742,205.4865264892578,154.30892944335938,238.1483612060547,205.98651123046875,154.80894470214844,256.03497314453125,183.9854278564453,173.70529174804688,4.381256103515625,2.880880355834961,3.050844192504883,63323.61328125,56184.515625,29725.60546875,251.64183531608967,237.03273112589324,172.4111523908764,-6.885408401489258,-5.572800159454346,-3.148897647857666,205.4865264892578
5,0.000998458666866564,145.4027931057677,137.42633056640625,117.03600311279297,145.90280151367188,137.9263153076172,117.53600311279297,146.46148681640625,117.85663604736328,130.0498046875,2.3434934616088867,1.7214303016662598,2.0487420558929443,29021.55859375,31530.521484375,18887.849609375,170.3571501104371,177.56835721596065,137.4330732006492,-2.6139259338378906,-2.688628911972046,-1.6362371444702148,137.42633056640625
6,0.00099778098230154,148.41712858238998,129.78260803222656,111.14466094970703,148.91712951660156,130.28260803222656,111.64466094970703,130.22373962402344,121.10479736328125,106.00740051269531,2.17065167427063,1.5434339046478271,1.9904767274856567,34831.35546875,25896.11328125,17209.462890625,186.63160361725986,160.9226934936462,131.18484245759873,-3.3373937606811523,-2.029482126235962,-1.4019794464111328,129.78260803222656
7,0.0009969804777275899,117.84737349529655,103.94855499267578,92.90912628173828,118.34307098388672,104.44855499267578,93.40912628173828,94.6849365234375,98.96998596191406,93.56639099121094,1.8120640516281128,1.4817557334899902,1.750935435295105,23427.048828125,15838.6494140625,10518.51953125,153.05897173352824,125.85169611118675,102.55983390806558,-1.9172661304473877,-0.8528999090194702,-0.468103289604187,103.94855499267578
8,0.000996057350657239,89.39962239168128,88.95138549804688,78.10894012451172,89.8949966430664,89.45138549804688,78.60894775390625,77.76695251464844,70.74531555175781,80.99342346191406,1.438623070716858,1.4484045505523682,1.4824012517929077,12239.48046875,12483.4921875,8444.85546875,110.63218550110089,111.72954930321701,91.8958947328443,-0.5241281986236572,-0.4603935480117798,-0.17867541313171387,88.95138549804688
9,0.0009950118288582787,72.42526940585805,75.77079010009766,68.40454864501953,72.92213439941406,76.27072143554688,68.90454864501953,63.086273193359375,57.57624053955078,55.37077331542969,1.2783395051956177,1.3310058116912842,1.3449678421020508,9059.4990234375,9955.693359375,7134.88671875,95.18140061712425,99.77822086695573,84.46825864636965,-0.12813925743103027,-0.16467654705047607,0.00416111946105957,75.77079010009766
10,0.0009938441702975688,65.92712189551114,67.4833984375,65.37712860107422,66.4271240234375,67.9833984375,65.87712097167969,53.99812698364258,49.71259307861328,55.334686279296875,1.2225682735443115,1.1271300315856934,1.3180413246154785,7071.2568359375,8143.95849609375,6366.19775390625,84.09076546171703,90.24388342759718,79.7884562697277,0.11944782733917236,0.04727107286453247,0.1114494800567627,67.4833984375
