epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,495.1281167374176,414.755859375,400.01983642578125,495.6280822753906,415.255859375,400.51983642578125,497.4112854003906,429.114501953125,389.140869140625,8.43124771118164,7.877477645874023,5.8572235107421875,252886.375,178263.6875,170452.875,502.87809158880646,422.2128462043759,412.8593888965104,-30.614421844482422,-22.78761100769043,-18.656919479370117,414.755859375
2,0.0009997532801828658,398.1145669327301,327.67523193359375,358.7715759277344,398.61456298828125,328.1752624511719,359.2715759277344,415.00445556640625,354.7205810546875,345.3397521972656,7.1486616134643555,6.562187194824219,5.009147644042969,164996.078125,116766.21875,139479.15625,406.1970927086997,341.71072378548496,373.4690833924543,-19.62687873840332,-14.581352233886719,-15.084976196289062,327.67523193359375
3,0.0009994449374809851,321.0239799655214,248.9663848876953,278.777099609375,321.5239562988281,249.4663848876953,279.2770690917969,331.88397216796875,242.89028930664062,260.6466979980469,5.855624675750732,5.032615661621094,3.9649863243103027,108872.8125,67052.8984375,89358.8828125,329.9588042468332,258.94574419654015,298.92956162363737,-12.610664367675781,-7.947577476501465,-9.305020332336426,248.9663848876953
4,0.0009990133642141358,226.04197838192894,142.9838409423828,177.81309509277344,226.5419921875,143.48382568359375,178.3131103515625,236.54222106933594,169.806884765625,190.46400451660156,4.152982234954834,2.7481002807617188,2.613262414932251,58452.796875,26316.15625,39363.6328125,241.77013230546075,162.22255160735205,198.4027036421127,-6.307437419891357,-2.511643171310425,-3.5394816398620605,142.9838409423828
5,0.000998458666866564,163.74761942130368,95.35054016113281,127.4404525756836,164.24761962890625,95.85054779052734,127.94046783447266,165.2922821044922,88.84085845947266,108.29931640625,2.583310604095459,1.8455901145935059,1.7252508401870728,34315.80078125,13327.0361328125,25757.044921875,185.24524496259008,115.44278293948263,160.4900150223527,-3.2899675369262695,-0.7783675193786621,-1.9703466892242432,95.35054016113281
6,0.00099778098230154,142.27632618599196,86.0128173828125,113.35711669921875,142.77633666992188,86.51282501220703,113.85712432861328,126.98472595214844,72.62761688232422,111.44511413574219,2.2613213062286377,1.7684861421585083,1.3954880237579346,31273.197265625,10823.1328125,19438.109375,176.84229490035747,104.03428671596687,139.42062033644808,-2.9095981121063232,-0.4442451000213623,-1.2416362762451172,86.0128173828125
7,0.0009969804777275899,103.07563797308474,74.92607879638672,99.6250228881836,103.57563781738281,75.42607879638672,100.1250228881836,86.2894287109375,80.4249267578125,75.02622985839844,1.7849901914596558,1.518032193183899,1.3173195123672485,16950.130859375,7884.05224609375,17964.09375,130.19266822434741,88.79218572652522,134.03019715720782,-1.1190097332000732,-0.05205249786376953,-1.0716502666473389,74.92607879638672
8,0.000996057350657239,76.5611579531715,67.84334564208984,103.57818603515625,77.0587158203125,68.34334564208984,104.07817077636719,59.98289489746094,61.62528610229492,71.2269058227539,1.3543015718460083,1.3354789018630981,1.4295578002929688,9899.90625,6898.99365234375,18023.056640625,99.49827259807077,83.06018090724189,134.24997817737253,-0.23763036727905273,0.07939428091049194,-1.0784499645233154,67.84334564208984
9,0.0009950118288582787,66.30325270672233,62.2530403137207,98.48210144042969,66.8031997680664,62.75304412841797,98.98210144042969,49.460533142089844,64.63964080810547,75.54096984863281,1.136739730834961,1.137596607208252,1.3296233415603638,7653.275390625,5876.580078125,16802.294921875,87.48300058082712,76.65885518402294,129.62366651917773,0.04323083162307739,0.21582579612731934,-0.9376695156097412,62.2530403137207
10,0.0009938441702975688,61.809740702311196,60.58073043823242,92.71176147460938,62.30375671386719,61.08073425292969,93.2117691040039,51.28631591796875,50.16286849975586,79.45659637451172,1.0812920331954956,0.9863532185554504,1.1019207239151,6545.62158203125,5190.400390625,15304.2431640625,80.90501580267598,72.04443344648496,123.71031955363506,0.18170344829559326,0.3073899745941162,-0.7649117708206177,60.58073043823242
11,0.000992554663077387,55.87571897960844,60.80835723876953,89.78620147705078,56.371559143066406,61.30835723876953,90.28620147705078,44.35038757324219,56.228904724121094,93.19901275634766,0.9257736802101135,0.9608904719352722,1.0109552145004272,5648.7783203125,5516.99169921875,12315.796875,75.15835496012735,74.2764545412525,110.97656002507917,0.29382163286209106,0.2638094425201416,-0.4202789068222046,60.58073043823242
12,0.0009911436253643444,56.87730867035535,47.79768753051758,77.09307098388672,57.37731170654297,48.29768371582031,77.59307098388672,44.81560516357422,33.46788787841797,58.11857604980469,0.890587329864502,0.8549696803092957,0.9916347861289978,5696.39306640625,3854.14404296875,9161.583984375,75.4744530712628,62.081752898647686,95.7161636526193,0.28786909580230713,0.485700786113739,-0.05652964115142822,47.79768753051758
13,0.000989611405310883,43.4779756507095,41.71779251098633,65.49359893798828,43.9770622253418,42.19736099243164,65.9697494506836,33.4340934753418,32.465660095214844,67.44869995117188,0.7332737445831299,0.9536848068237305,1.0379438400268555,3482.424072265625,3220.62548828125,7398.005859375,59.01206717499078,56.75055496011691,86.0116611825106,0.5646470785140991,0.5702378749847412,0.14684921503067017,41.71779251098633
14,0.0009879583809693738,44.434862746673375,41.99070358276367,57.780517578125,44.93486404418945,42.49070358276367,58.27865982055664,35.67266845703125,30.956762313842773,46.766571044921875,0.7820581197738647,0.944648027420044,0.9577006101608276,3325.08447265625,2915.01806640625,6192.43505859375,57.66354543952574,53.99090725674324,78.69202665196615,0.5843167901039124,0.6110183000564575,0.28587770462036133,41.71779251098633
15,0.0009861849601988384,37.11746915181478,35.40754699707031,54.77197265625,37.61422348022461,35.90754699707031,55.27197265625,27.694488525390625,25.589824676513672,54.71830749511719,0.7045172452926636,0.7150933742523193,0.8414063453674316,2506.882568359375,2317.9541015625,5493.9677734375,50.068778378939655,48.14513580376007,74.1213044504581,0.6866036653518677,0.6906908750534058,0.36642616987228394,35.40754699707031
16,0.0009842915805643156,36.70584046759573,32.0325813293457,55.0695915222168,37.20009994506836,32.51942825317383,55.5695915222168,25.583816528320312,19.94396209716797,41.101531982421875,0.683483898639679,0.5590478777885437,0.7441811561584473,2880.775390625,2129.32421875,5228.9423828125,53.67285524941821,46.144601187462875,72.31142636411275,0.6398617625236511,0.7158617377281189,0.3969893455505371,32.0325813293457
17,0.000982278709228899,30.902398128898778,28.74006462097168,51.2547492980957,31.400314331054688,29.239694595336914,51.73007583618164,22.304738998413086,17.12029266357422,45.031578063964844,0.5026240944862366,0.4819943606853485,0.7282156944274902,1928.3896484375,1886.7296142578125,4574.32177734375,43.913433576042536,43.43650094399654,67.63373254038069,0.7589236497879028,0.7482336759567261,0.47248131036758423,28.74006462097168
18,0.0009801468428384716,26.413931710379465,28.48223876953125,47.24015808105469,26.90532875061035,28.971126556396484,47.74015808105469,18.780593872070312,20.557159423828125,39.86424255371094,0.436279296875,0.5243040919303894,0.7791604399681091,1464.9378662109375,1650.6480712890625,4021.9453125,38.27450674026953,40.628168446153985,63.41880882277749,0.8168617486953735,0.7797365784645081,0.5361823439598083,28.48223876953125
19,0.000977896507399165,29.79210059496821,26.915050506591797,47.138641357421875,30.291311264038086,27.401710510253906,47.638641357421875,22.813674926757812,18.894428253173828,43.53277587890625,0.5421707034111023,0.4627714157104492,0.734458327293396,1710.3546142578125,1477.064697265625,3754.873779296875,41.356433771032684,38.43259940812779,61.277024889405936,0.7861811518669128,0.8028995990753174,0.5669814944267273,26.915050506591797
20,0.0009755282581475768,25.273401403102746,29.53471565246582,45.653472900390625,25.77204704284668,30.03435516357422,46.153472900390625,18.077301025390625,21.775047302246094,37.03692626953125,0.42025113105773926,0.5009618997573853,0.589123547077179,1350.2784423828125,1804.3634033203125,3772.509521484375,36.74613506728038,42.47779894627678,61.420758066669734,0.8311958312988281,0.7592247128486633,0.5649477243423462,26.915050506591797
21,0.0009730426794137727,25.874618815726976,27.41337013244629,42.99094009399414,26.365697860717773,27.91337013244629,43.490943908691406,20.647171020507812,24.859851837158203,34.973487854003906,0.461742639541626,0.4706515073776245,0.5970037579536438,1367.1607666015625,1450.3126220703125,3260.7822265625,36.9751371410785,38.08297023697485,57.10325933396884,0.8290852904319763,0.8064694404602051,0.6239609718322754,26.915050506591797
22,0.0009704403844771128,24.1222826380308,26.22258949279785,41.147640228271484,24.618499755859375,26.72258758544922,41.64763641357422,16.363998413085938,21.995330810546875,31.43891143798828,0.39409932494163513,0.45081838965415955,0.634100079536438,1301.0399169921875,1200.2010498046875,2973.560791015625,36.06993092580283,34.64391793381181,54.53036577005169,0.8373513221740723,0.8398444652557373,0.6570838689804077,26.22258949279785
23,0.0009677220154149337,22.412030044867066,27.889644622802734,38.9792366027832,22.90704917907715,28.389644622802734,39.4792366027832,20.125152587890625,22.6824951171875,28.73993682861328,0.432709276676178,0.520697832107544,0.6357410550117493,882.86328125,1247.7291259765625,2796.12744140625,29.71301535102084,35.32320945181174,52.87842132104787,0.8896294236183167,0.8335022926330566,0.6775457859039307,26.22258949279785
24,0.0009648882429441257,23.485076774545266,30.10683250427246,37.49279022216797,23.98189353942871,30.60683250427246,37.9927864074707,19.591201782226562,28.035236358642578,30.754287719726562,0.4778449237346649,0.544175922870636,0.5591383576393127,1034.17578125,1424.0423583984375,2667.69775390625,32.15860353389121,37.73648577170955,51.64976044384185,0.8707131743431091,0.8099749684333801,0.6923564672470093,26.22258949279785
25,0.0009619397662556434,22.453348068963912,29.32182502746582,37.00337219238281,22.946348190307617,29.821821212768555,37.50337600708008,16.735946655273438,25.480052947998047,34.66607666015625,0.3807065784931183,0.5090039372444153,0.5063981413841248,915.9783325195312,1471.2916259765625,2745.137451171875,30.265133941873298,38.35741943844192,52.394059311833004,0.8854895830154419,0.8036699891090393,0.683426022529602,26.22258949279785
26,0.0009588773128419905,21.93389399522016,25.781930923461914,37.40580749511719,22.427602767944336,26.28192901611328,37.90580368041992,15.409809112548828,23.90753173828125,28.46124267578125,0.3784732520580292,0.4528716504573822,0.5411524772644043,939.0923461914062,1170.873779296875,2766.896728515625,30.644613657075304,34.21803295481602,52.601299684662024,0.882599949836731,0.8437579274177551,0.6809166669845581,25.781930923461914
27,0.0009557016383177226,18.560298076292284,23.645105361938477,37.329803466796875,19.0534725189209,24.145103454589844,37.829803466796875,16.459861755371094,21.036476135253906,26.085453033447266,0.33542555570602417,0.41190147399902344,0.5650057792663574,649.4456787109375,960.7495727539062,2811.221435546875,25.48422411436019,30.995960587694427,53.02095279742599,0.9188099503517151,0.8717970252037048,0.6758050918579102,23.645105361938477
28,0.0009524135262330098,18.00221210920892,24.980709075927734,37.78928756713867,18.492887496948242,25.480709075927734,38.28929138183594,13.795915603637695,18.87358283996582,24.723094940185547,0.30767354369163513,0.4517548978328705,0.5639281868934631,601.8221435546875,1071.0604248046875,2798.933349609375,24.532063581253972,32.727059519680154,52.904946362409014,0.9247636198997498,0.8570770621299744,0.6772221326828003,23.645105361938477
29,0.0009490137878803078,18.479805589533175,24.947214126586914,37.847164154052734,18.97394561767578,25.44490623474121,38.347164154052734,15.328346252441406,17.07436752319336,26.482192993164062,0.336340069770813,0.45909902453422546,0.5360774993896484,618.5146484375,1284.3985595703125,2811.34521484375,24.869954733322295,35.83850665932263,53.02212005233052,0.9226768016815186,0.8286091089248657,0.6757907867431641,23.645105361938477
30,0.0009455032620941839,18.499026927818246,24.55942726135254,36.34109115600586,18.992515563964844,25.059425354003906,36.841087341308594,15.682552337646484,18.171977996826172,26.84833526611328,0.31848737597465515,0.4510013163089752,0.5553918480873108,637.05078125,1251.2774658203125,2696.0390625,25.239864921389735,35.37340054080626,51.92339609944634,0.9203594923019409,0.8330287933349609,0.6890881061553955,23.645105361938477
31,0.0009418828150443468,16.711089400207104,25.57840919494629,34.77341842651367,17.198219299316406,26.078413009643555,35.27336120605469,12.146280288696289,19.888521194458008,27.464874267578125,0.3165314793586731,0.4560338258743286,0.5292540788650513,559.4332885742188,1339.7340087890625,2651.50634765625,23.65234213717996,36.60237709205595,51.49277956817101,0.9300628304481506,0.821225106716156,0.6942237019538879,23.645105361938477
32,0.0009381533400219318,19.414615812755766,25.26595115661621,37.77084732055664,19.912179946899414,25.762807846069336,38.27084732055664,13.508502960205078,21.20034408569336,27.134002685546875,0.37610796093940735,0.42541253566741943,0.5397732853889465,770.1814575195312,1271.75048828125,2725.631103515625,27.752143295960607,35.66161084809897,52.2075770699582,0.9037162661552429,0.8302968740463257,0.6856755018234253,23.645105361938477
33,0.0009343157572190957,17.734744999684445,24.654619216918945,40.52294158935547,18.22496223449707,25.154138565063477,41.0229377746582,13.972671508789062,21.48265838623047,32.986541748046875,0.32779160141944885,0.4052768051624298,0.563949465751648,582.6281127929688,1207.832275390625,2817.693603515625,24.137690709613643,34.753881443525486,53.081951768144556,0.9271631240844727,0.8388261795043945,0.6750587224960327,23.645105361938477
