epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,496.8114071407834,420.57366943359375,433.7955627441406,497.3114013671875,421.0736389160156,434.2955322265625,490.614990234375,432.4345397949219,442.23626708984375,8.505236625671387,7.977558612823486,5.964122295379639,257504.65625,183306.640625,197657.4375,507.4491661733222,428.14324778629873,444.5868166061607,-31.93545913696289,-23.46054458618164,-19.29680824279785,420.57366943359375
2,0.0009997532801828658,398.49599724846917,339.39501953125,345.86822509765625,398.9959716796875,339.89501953125,346.3682556152344,408.99566650390625,371.60198974609375,377.5755615234375,7.166885852813721,6.804990768432617,5.0481109619140625,165420.078125,122804.484375,131795.640625,406.71867196503285,350.43470772028274,363.0366932212225,-20.15762710571289,-15.387102127075195,-12.533671379089355,339.39501953125
3,0.0009994449374809851,330.7352220689928,259.48065185546875,289.1092224121094,331.2351989746094,259.98065185546875,289.6092224121094,344.72998046875,257.7959289550781,308.23388671875,6.026488304138184,5.399792194366455,4.084310531616211,117172.5703125,74799.953125,90058.8671875,342.30479154183627,273.4958009275462,300.09809594114387,-13.986653327941895,-8.981348991394043,-8.247856140136719,259.48065185546875
4,0.0009990133642141358,247.35379399480047,172.2432861328125,193.5623779296875,247.85377502441406,172.74325561523438,194.06239318847656,256.36279296875,175.86456298828125,214.215576171875,4.5798258781433105,3.5446388721466064,2.7225453853607178,68799.515625,34570.546875,46873.39453125,262.2966176392673,185.93156503133082,216.50264324310223,-7.799622535705566,-3.6131134033203125,-3.8132786750793457,172.2432861328125
5,0.000998458666866564,166.00352684227195,88.72535705566406,160.9186553955078,166.50352478027344,89.22535705566406,161.41864013671875,175.21798706054688,75.8697509765625,167.1030731201172,2.954439878463745,1.6610182523727417,1.982506275177002,35170.734375,12065.8779296875,31006.0703125,187.53862102244435,109.8447901799967,176.08540630188523,-3.4984211921691895,-0.6100777387619019,-2.1839139461517334,88.72535705566406
6,0.00099778098230154,119.847346537822,86.1968765258789,130.41561889648438,120.34660339355469,86.69688415527344,130.91561889648438,98.74691772460938,91.71435546875,120.07299041748047,1.842567801475525,1.6749056577682495,1.9302926063537598,22532.69921875,11284.87890625,21763.78125,150.1089578231426,106.23031067567298,147.52552745203116,-1.881986379623413,-0.5058608055114746,-1.2348527908325195,86.1968765258789
7,0.0009969804777275899,105.06898209855363,72.63157653808594,93.46227264404297,105.56758117675781,73.13157653808594,93.96228790283203,85.0282211303711,67.59760284423828,96.18617248535156,1.8501425981521606,1.4611515998840332,1.36647367477417,18180.04296875,7341.97998046875,12231.2275390625,134.83338966572782,85.68535452729802,110.59488025701054,-1.3252713680267334,0.02028191089630127,-0.2559854984283447,72.63157653808594
8,0.000996057350657239,81.00299897065034,71.4103775024414,79.96078491210938,81.50300598144531,71.91036987304688,80.46078491210938,67.36920166015625,64.58637237548828,72.16498565673828,1.3659611940383911,1.3604817390441895,1.0981851816177368,11161.87109375,7225.759765625,9388.76953125,105.64975671410701,85.00446909207186,96.895663118893,-0.4276301860809326,0.035790443420410156,0.03589743375778198,71.4103775024414
9,0.0009950118288582787,68.37261942270639,67.96317291259766,68.72028350830078,68.86890411376953,68.46316528320312,69.21522521972656,52.72489929199219,63.97119140625,53.9621696472168,1.1074563264846802,1.2948215007781982,0.9433386921882629,8746.564453125,6894.849609375,7584.171875,93.52306909594552,83.03523113338699,87.0871510327442,-0.1187065839767456,0.07994723320007324,0.2212057113647461,67.96317291259766
10,0.0009938441702975688,60.715622463741816,64.33888244628906,61.94194793701172,61.21470642089844,64.83887481689453,62.44194793701172,44.2738037109375,57.49494934082031,41.69274139404297,0.9817428588867188,1.2661105394363403,0.9106041789054871,7354.99072265625,6281.37109375,6340.583984375,85.76124254379859,79.25510137366552,79.62778399764117,0.05927908420562744,0.16181021928787231,0.3489058017730713,64.33888244628906
