epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,502.2971603805954,412.7389831542969,423.5865173339844,502.7971496582031,413.2389831542969,424.0865478515625,493.4176940917969,428.56231689453125,427.3948059082031,7.9751787185668945,7.943816184997559,9.552445411682129,262611.5,177913.53125,185457.765625,512.4563396036779,421.7979744498544,430.64807630477117,-30.33345603942871,-22.74088478088379,-39.936431884765625,412.7389831542969
2,0.0009997532801828658,395.37583139780406,333.7841796875,351.1871643066406,395.8758544921875,334.2841491699219,351.6871643066406,415.9331359863281,355.10284423828125,350.1407775878906,6.767927169799805,6.662404537200928,7.943563461303711,164704.265625,118888.515625,129634.1953125,405.83773312125624,344.80213982079636,360.047490357175,-18.65166664123535,-14.86455249786377,-27.61439323425293,333.7841796875
3,0.0009994449374809851,323.80573664484797,262.59075927734375,264.55950927734375,324.30572509765625,263.0907897949219,265.05950927734375,332.45880126953125,248.03811645507812,278.63421630859375,5.615702152252197,5.203145980834961,6.01728630065918,111686.4453125,71915.40625,79510.9296875,334.19522036154257,268.1704798258004,281.9768247347643,-12.325851440429688,-8.59643268585205,-16.550594329833984,262.59075927734375
4,0.0009990133642141358,244.01335556442672,148.44137573242188,168.9369659423828,244.5133514404297,148.9413604736328,169.4369659423828,249.38714599609375,159.64254760742188,182.04689025878906,4.337482929229736,2.9935686588287354,3.51660418510437,66949.6328125,27350.384765625,37434.48828125,258.74627110839685,165.37951737027473,193.47994283969075,-6.988087177276611,-2.649651288986206,-7.262983322143555,148.44137573242188
5,0.000998458666866564,151.27875869338578,96.24822235107422,155.0520782470703,151.77874755859375,96.74823760986328,155.5520782470703,153.89901733398438,83.0807876586914,135.2974395751953,2.3601577281951904,1.7453798055648804,2.8922312259674072,30031.486328125,13824.2890625,35756.3984375,173.29595012037933,117.57673691041099,189.09362347128473,-2.5832021236419678,-0.8447211980819702,-6.892575740814209,96.24822235107422
6,0.00099778098230154,132.34172470505172,96.31700134277344,138.08297729492188,132.84173583984375,96.81698608398438,138.58297729492188,117.99090576171875,96.40834045410156,131.5284881591797,2.0179855823516846,1.86642324924469,3.0307230949401855,29348.560546875,13224.2490234375,27823.908203125,171.31421583416537,114.99673483815747,166.80500053393183,-2.5017194747924805,-0.7646514177322388,-5.141622066497803,96.24822235107422
7,0.0009969804777275899,93.40820601179793,67.41944885253906,95.35810852050781,93.90821075439453,67.9194564819336,95.85810852050781,74.59759521484375,61.47020721435547,94.52249145507812,1.5386104583740234,1.4211232662200928,2.043339729309082,16024.3662109375,6414.05517578125,12982.486328125,126.58738567068008,80.08779667203518,113.94071409344862,-0.9119449853897095,0.14410477876663208,-1.8656480312347412,67.41944885253906
8,0.000996057350657239,71.3055154955065,62.34801483154297,77.9393539428711,71.8019790649414,62.84800720214844,78.43936157226562,59.21350860595703,53.035316467285156,57.404945373535156,1.2054579257965088,1.2897611856460571,1.7384153604507446,9002.8154296875,6270.501953125,10126.0546875,94.88316726209924,79.18650107894021,100.62829963534115,-0.07416963577270508,0.1632605791091919,-1.235142707824707,62.34801483154297
9,0.0009950118288582787,69.74325520283467,65.1584243774414,75.43547821044922,70.24295043945312,65.6584243774414,75.93547821044922,58.804237365722656,61.954856872558594,56.58100128173828,1.2065112590789795,1.3371970653533936,1.7242224216461182,8581.107421875,6913.810546875,9139.4462890625,92.63426699593947,83.14932679748526,95.6004513015629,-0.023853540420532227,0.07741707563400269,-1.017366647720337,62.34801483154297
10,0.0009938441702975688,63.97612700591216,68.10020446777344,71.0975112915039,64.47586059570312,68.6001968383789,71.59751892089844,49.389862060546875,56.95320129394531,51.134605407714844,1.1488436460494995,1.2932931184768677,1.6030527353286743,7667.78271484375,7092.462890625,7532.16845703125,87.5658764293703,84.21676134015722,86.78806632844892,0.08511954545974731,0.05357760190963745,-0.6625893115997314,62.34801483154297
11,0.000992554663077387,56.80428912188556,64.56138610839844,64.79338836669922,57.30126953125,65.06138610839844,65.29338836669922,44.393428802490234,46.580116271972656,56.051231384277344,1.000394582748413,1.127893090248108,1.425644040107727,6085.78955078125,6593.63818359375,6247.78564453125,78.01147063593437,81.20122033315602,79.04293544986326,0.2738748788833618,0.12014108896255493,-0.3790851831436157,62.34801483154297
12,0.0009911436253643444,47.53743125296928,50.79343795776367,58.47393035888672,48.02650451660156,51.29343795776367,58.97393035888672,34.45045471191406,51.41213607788086,47.14412307739258,0.7987874746322632,0.939321756362915,1.2385510206222534,4644.6796875,4522.9384765625,5857.1552734375,68.15188689610875,67.25279530668223,76.53205389532872,0.44582080841064453,0.3964564800262451,-0.29286062717437744,50.79343795776367
13,0.000989611405310883,44.06942346933726,44.08601760864258,55.25255584716797,44.56487274169922,44.57240676879883,55.7525520324707,33.352813720703125,30.746471405029297,41.654327392578125,0.7893144488334656,0.7899395227432251,1.082077145576477,3789.662109375,3523.306640625,5587.5390625,61.56023155719121,59.357448063617085,74.74984322726036,0.5478370189666748,0.5298479199409485,-0.23334777355194092,44.08601760864258
14,0.0009879583809693738,40.10596538234402,43.30036163330078,57.33567428588867,40.60289001464844,43.80034637451172,57.83567428588867,27.98043441772461,31.046470642089844,53.116146087646484,0.7272142767906189,0.7175493240356445,1.0809024572372437,3433.835693359375,3325.66455078125,5643.4912109375,58.59893935353587,57.668575071534846,75.12317359468715,0.5902923345565796,0.5562213659286499,-0.2456982135772705,43.30036163330078
15,0.0009861849601988384,37.98866313212627,41.45747375488281,57.47766876220703,38.479148864746094,41.95747375488281,57.97766876220703,25.59532928466797,32.03370666503906,48.15488052368164,0.6756335496902466,0.7029066681861877,1.09255051612854,3143.12890625,2847.2724609375,5708.56103515625,56.06361481611759,53.35983940134659,75.5550199202955,0.6249780654907227,0.6200582981109619,-0.2600611448287964,41.45747375488281
16,0.0009842915805643156,33.360103813377584,37.93404006958008,53.40524673461914,33.8520622253418,38.408973693847656,53.8623161315918,22.720046997070312,37.11054992675781,45.356143951416016,0.5946184992790222,0.6910712122917175,1.0326987504959106,2399.388671875,2395.88671875,5315.28125,48.983555116743005,48.94779585180522,72.90597540668392,0.7137172818183899,0.680291473865509,-0.17325174808502197,37.93404006958008
17,0.000982278709228899,32.41228949057089,42.203372955322266,53.396942138671875,32.910335540771484,42.703372955322266,53.88491439819336,23.776657104492188,37.95149230957031,44.539268493652344,0.5747493505477905,0.8214223980903625,1.0766650438308716,2161.405029296875,2718.3857421875,5267.49169921875,46.49091340570623,52.13814095446346,72.57748755102197,0.7421122789382935,0.6372569799423218,-0.16270315647125244,37.93404006958008
18,0.0009801468428384716,30.63798780699034,45.049232482910156,53.66157531738281,31.128265380859375,45.54923629760742,54.16157531738281,21.98175811767578,39.95402526855469,44.90898132324219,0.5588808059692383,0.8494292497634888,1.0820549726486206,1911.1680908203125,3213.30908203125,5219.9345703125,43.716908523136816,56.686057210139865,72.24911466801859,0.7719692587852478,0.5712141990661621,-0.1522057056427002,37.93404006958008
19,0.000977896507399165,29.059077752603066,45.445350646972656,56.084991455078125,29.556011199951172,45.945350646972656,56.56242370605469,22.667282104492188,36.159664154052734,37.277931213378906,0.49249783158302307,0.7980607151985168,1.1712918281555176,1504.33984375,3459.322998046875,5470.63623046875,38.785820137648244,58.816009708640344,73.96374943490054,0.8205099105834961,0.5383859872817993,-0.20754361152648926,37.93404006958008
20,0.0009755282581475768,28.137248683620143,42.809696197509766,56.728614807128906,28.63277244567871,43.309696197509766,57.22794723510742,21.77081298828125,34.864479064941406,45.31934356689453,0.4662929177284241,0.7891194820404053,1.242236614227295,1585.8076171875,3035.415771484375,5877.5810546875,39.82220005458639,55.09460746283955,76.66538367925578,0.8107895851135254,0.5949523448944092,-0.29736924171447754,37.93404006958008
21,0.0009730426794137727,23.58670255300161,37.10139465332031,57.79695510864258,24.076244354248047,37.58964538574219,58.29695510864258,17.15784454345703,28.787330627441406,40.47025680541992,0.4149249792098999,0.741910994052887,1.289198398590088,1310.76318359375,2412.16064453125,5910.27587890625,36.204463586604206,49.11375209176397,76.87831865296125,0.8436064720153809,0.6781198978424072,-0.3045860528945923,37.10139465332031
22,0.0009704403844771128,24.66669072331609,34.00547409057617,57.68300247192383,25.16132164001465,34.5028190612793,58.18300247192383,16.02825927734375,28.827430725097656,42.684078216552734,0.4231097102165222,0.6919703483581543,1.2738780975341797,1343.483154296875,2044.2784423828125,5700.650390625,36.6535558206414,45.21369750841898,75.50265154698211,0.8397024869918823,0.727210283279419,-0.25831496715545654,34.00547409057617
23,0.0009677220154149337,25.856230813103753,36.30539321899414,57.00023651123047,26.353761672973633,36.80538558959961,57.50023651123047,18.102046966552734,36.81577682495117,40.65901184082031,0.4524538218975067,0.696056604385376,1.2765631675720215,1416.4112548828125,2210.0673828125,5490.7783203125,37.63523953534523,47.01135376494172,74.09978623661812,0.8310011029243469,0.7050873041152954,-0.21198952198028564,34.00547409057617
24,0.0009648882429441257,23.805513381958008,38.8819694519043,57.02587127685547,24.295425415039062,39.38197326660156,57.52587127685547,16.577289581298828,29.490097045898438,42.66169357299805,0.3907445967197418,0.7011486887931824,1.284818172454834,1239.7244873046875,2485.41845703125,5500.54345703125,35.209721488598674,49.853971326577884,74.16564876700836,0.8520824313163757,0.6683443188667297,-0.21414506435394287,34.00547409057617
25,0.0009619397662556434,22.599465911452835,36.04872512817383,54.54428482055664,23.086164474487305,36.54872512817383,55.04428482055664,18.40674591064453,29.79867935180664,45.89521789550781,0.3991509675979614,0.647117555141449,1.2019506692886353,1008.9888305664062,2339.801513671875,5235.3427734375,31.764584533193666,48.37149484636458,72.35566856465013,0.8796126246452332,0.6877755522727966,-0.15560686588287354,34.00547409057617
26,0.0009588773128419905,21.994591171677047,34.46749496459961,51.8648681640625,22.48125648498535,34.96749496459961,52.364871978759766,17.992359161376953,27.808822631835938,29.935821533203125,0.3991675078868866,0.7156853675842285,1.1104106903076172,1009.0267333984375,1970.0377197265625,4997.24169921875,31.765181148522316,44.38510695860226,70.6911712961297,0.8796080946922302,0.7371170520782471,-0.1030503511428833,34.00547409057617
