epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,499.36860120618667,416.8934326171875,459.8396301269531,499.8686218261719,417.3934326171875,460.3396301269531,489.2615966796875,430.51593017578125,467.697998046875,8.161921501159668,8.01180648803711,8.738048553466797,259204.109375,181207.3125,216500.390625,509.1209182257197,425.6845222697203,465.29602472512056,-31.192161560058594,-23.180410385131836,-23.71833610534668,416.8934326171875
2,0.0009997532801828658,396.39873277818833,342.0060119628906,375.529052734375,396.8987121582031,342.5059814453125,376.02911376953125,409.77825927734375,369.084228515625,383.36212158203125,6.803682804107666,6.82627010345459,7.324641704559326,165593.921875,123514.03125,144392.953125,406.9323308303237,351.44563057463097,379.9907276829265,-19.56613540649414,-15.481782913208008,-15.485668182373047,342.0060119628906
3,0.0009994449374809851,323.0730112436655,275.7657775878906,291.2879943847656,323.5730285644531,276.26580810546875,291.7879638671875,334.04351806640625,283.1517333984375,280.937744140625,5.68491792678833,5.448663711547852,5.796396255493164,112062.453125,79523.515625,88698.03125,334.75730481200856,281.99914117777024,297.8221470105942,-12.917729377746582,-9.611663818359375,-9.126852989196777,275.7657775878906
4,0.0009990133642141358,247.15027061668602,166.8378448486328,193.4344482421875,247.65028381347656,167.33782958984375,193.93443298339844,264.57562255859375,171.71360778808594,170.90640258789062,4.385579586029053,3.3897299766540527,3.77736759185791,68563.328125,31579.7109375,44398.51953125,261.8460007809934,177.7068117363541,210.70956203089122,-7.515303611755371,-3.214015007019043,-4.0690789222717285,166.8378448486328
5,0.000998458666866564,158.37233631030932,82.33614349365234,111.83621215820312,158.87232971191406,82.83614349365234,112.33619689941406,174.51939392089844,70.06745147705078,84.38108825683594,2.6688451766967773,1.722123384475708,2.2044453620910645,31538.76953125,10314.5849609375,20700.1875,177.59158068796503,101.56074517714755,143.87559730544996,-2.916994571685791,-0.37638425827026367,-1.363386869430542,82.33614349365234
6,0.00099778098230154,127.2936735410948,97.5374755859375,99.65269470214844,127.7911605834961,98.03748321533203,100.15269470214844,115.08116912841797,102.41679382324219,73.64213562011719,2.2349417209625244,2.02563738822937,2.262006998062134,25997.421875,14403.337890625,17885.9921875,161.2371603415292,120.01390707174315,133.7385217037335,-2.228780746459961,-0.9219896793365479,-1.042083740234375,82.33614349365234
7,0.0009969804777275899,113.67201500969963,96.14031219482422,84.9691162109375,114.1720199584961,96.64031219482422,85.46912384033203,95.69536590576172,110.41152954101562,63.451236724853516,1.979249119758606,1.9737600088119507,1.7979960441589355,21578.35546875,11787.634765625,12371.5966796875,146.8957299200695,108.5708743891519,111.22767946733178,-1.6799495220184326,-0.5729488134384155,-0.41249287128448486,82.33614349365234
8,0.000996057350657239,89.25869049897065,86.5619888305664,81.08070373535156,89.7586898803711,87.06198120117188,81.58070373535156,70.59418487548828,92.8884506225586,52.01322937011719,1.5728845596313477,1.7347168922424316,1.6802735328674316,14976.80078125,9736.1611328125,11654.5419921875,122.37974007673819,98.67198757911234,107.95620404676843,-0.860061526298523,-0.2991989850997925,-0.33062517642974854,82.33614349365234
9,0.0009950118288582787,74.5375605402766,78.90570831298828,81.02118682861328,75.03678894042969,79.40570068359375,81.52118682861328,55.862098693847656,70.84403991699219,65.72553253173828,1.3231562376022339,1.5691431760787964,1.739505410194397,10216.24609375,9223.4189453125,11611.525390625,101.07544753178192,96.03863256686083,107.75678814174539,-0.268818736076355,-0.23077845573425293,-0.3257138729095459,78.90570831298828
10,0.0009938441702975688,65.92107174847577,75.1312484741211,78.68992614746094,66.4210433959961,75.63125610351562,79.18992614746094,50.24800491333008,53.22093963623047,66.77031707763672,1.225785255432129,1.4655581712722778,1.7164925336837769,8921.166015625,9025.32421875,11031.275390625,94.45192436168254,95.00170639914843,105.02987856141223,-0.10797476768493652,-0.20434439182281494,-0.25946545600891113,75.1312484741211
