epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,538.3821005544355,458.86328125,437.3388671875,538.882080078125,459.36328125,437.8388671875,517.4761352539062,450.5948791503906,445.5991516113281,7.609153747558594,7.109755039215088,5.543810844421387,306188.0,214419.90625,201538.0,553.3425702040283,463.05497108874664,448.92983861623634,-59.38230514526367,-121.14488983154297,-65.15736389160156,458.86328125
2,0.0009997532801828658,440.81789747668853,393.46197509765625,381.8016662597656,441.3179016113281,393.96197509765625,382.3016662597656,434.7459411621094,393.86016845703125,386.4873352050781,6.451579570770264,6.1466522216796875,4.718578815460205,205971.3125,156919.453125,147215.140625,453.8406245588863,396.1306010964061,383.68625284860025,-39.61891174316406,-88.38959503173828,-47.3252067565918,393.46197509765625
3,0.0009994449374809851,365.99719002016127,314.4234313964844,286.7586669921875,366.4971923828125,314.9234313964844,287.2586364746094,367.537109375,314.483642578125,312.3482666015625,5.347752094268799,4.936763286590576,3.6287331581115723,142181.59375,102209.7578125,86765.3515625,377.0697465323889,319.70260839176774,294.5595891538756,-27.039154052734375,-57.22406768798828,-27.481809616088867,314.4234313964844
4,0.0009990133642141358,264.28668025847406,198.57017517089844,182.50955200195312,264.78668212890625,199.07015991210938,183.00955200195312,286.2075500488281,174.45269775390625,222.00595092773438,3.993098020553589,3.026232957839966,2.249187707901001,76905.5625,47590.90625,41104.71875,277.31852173989387,218.1534007298534,202.74298693173088,-14.166289329528809,-26.110292434692383,-12.49313735961914,198.57017517089844
5,0.000998458666866564,158.60509397445188,142.1775360107422,139.22193908691406,159.1051025390625,142.6775360107422,139.721923828125,141.92520141601562,123.69326782226562,148.06588745117188,2.0708131790161133,1.9575426578521729,1.7381566762924194,35413.7265625,31751.240234375,25223.046875,188.18535161510314,178.1887769596475,158.81765290735157,-5.983821392059326,-17.087181091308594,-7.279780387878418,142.1775360107422
6,0.00099778098230154,165.61461427750126,125.23571014404297,121.63701629638672,166.1146240234375,125.7356948852539,122.13700103759766,163.15292358398438,107.43196868896484,116.64680480957031,2.428095817565918,1.6757194995880127,1.5384224653244019,37619.52734375,26718.9609375,19219.990234375,193.95754005387366,163.45935561325328,138.63617938465774,-6.418820381164551,-14.220529556274414,-5.309202194213867,125.23571014404297
7,0.0009969804777275899,111.82977880662487,99.70610809326172,93.36508178710938,112.329345703125,100.20109558105469,93.85054016113281,102.61774444580078,76.93721008300781,89.1580810546875,1.6022415161132812,1.402857780456543,1.1461998224258423,18460.494140625,19396.08203125,12726.923828125,135.86940104609647,139.26981737350704,112.813668622756,-2.6405317783355713,-10.049031257629395,-3.177772045135498,99.70610809326172
8,0.000996057350657239,81.43163018995716,104.66239166259766,86.42735290527344,81.9261245727539,105.16239166259766,86.92735290527344,63.778892517089844,91.89222717285156,81.82836151123047,1.1843054294586182,1.56635320186615,1.0893332958221436,11397.375,19017.005859375,10248.603515625,106.75848912381629,137.90216045941776,101.23538667691747,-1.24763822555542,-9.833088874816895,-2.364232301712036,99.70610809326172
9,0.0009950118288582787,74.79051484138735,90.86089324951172,66.28018951416016,75.29047393798828,91.36090087890625,66.78018951416016,59.61912536621094,69.16947937011719,47.810028076171875,1.1070843935012817,1.2840648889541626,0.978033185005188,8862.3955078125,19161.0,6591.4365234375,94.14029693926241,138.42326394071193,81.18766238436416,-0.7477233409881592,-9.915116310119629,-1.1637213230133057,90.86089324951172
10,0.0009938441702975688,57.34133089127079,88.91974639892578,55.944801330566406,57.83860778808594,89.41973114013672,56.44480514526367,42.61064147949219,57.994842529296875,43.25210189819336,0.844794511795044,1.224995732307434,0.8553253412246704,6085.3251953125,19735.337890625,5125.02392578125,78.00849437921809,140.482518096114,71.58927242109148,-0.20006656646728516,-10.242289543151855,-0.682353138923645,88.91974639892578
11,0.000992554663077387,55.1096810863864,82.24676513671875,49.78663635253906,55.60726547241211,82.74676513671875,50.28663635253906,42.59965515136719,57.19428253173828,42.523075103759766,0.8194776177406311,1.140428900718689,0.7151615023612976,5372.1220703125,16115.5,3899.587890625,73.29476154755196,126.9468392674666,62.44668038114596,-0.0594182014465332,-8.180238723754883,-0.2800884246826172,82.24676513671875
12,0.0009911436253643444,45.8334833206669,72.32209777832031,45.06311798095703,46.326290130615234,72.82209777832031,45.56311798095703,37.4613037109375,60.136627197265625,42.97739028930664,0.6943963170051575,1.0602655410766602,0.6107200980186462,3819.492431640625,11411.3408203125,3105.47265625,61.80204229344387,106.8238775757204,55.72676786114551,0.2467706799507141,-5.500502109527588,-0.019410133361816406,72.32209777832031
13,0.000989611405310883,43.032960018034906,72.01714324951172,38.73039627075195,43.529117584228516,72.51714324951172,39.23039627075195,30.945383071899414,56.26176452636719,40.46202850341797,0.6547576189041138,1.1185177564620972,0.5063010454177856,3805.829833984375,9573.244140625,2556.2421875,61.69140810505443,97.8429565202575,50.55929377968011,0.24946504831314087,-4.45342493057251,0.16088157892227173,72.01714324951172
14,0.0009879583809693738,40.80756897464875,61.98124694824219,35.84049606323242,41.306671142578125,62.47004318237305,36.326393127441406,32.857486724853516,45.90035629272461,26.53571319580078,0.6401948928833008,0.948891282081604,0.4513942301273346,2784.38037109375,8381.66015625,2098.52001953125,52.767228192257264,91.55140717788012,45.809606192710824,0.4509016275405884,-3.7746357917785645,0.31113457679748535,61.98124694824219
15,0.0009861849601988384,36.946178953109246,52.28726577758789,33.38818359375,37.440494537353516,52.78215408325195,33.88818359375,30.64111328125,21.075759887695312,21.144287109375,0.5672236084938049,0.7786691784858704,0.41320687532424927,2304.83251953125,7716.91015625,2015.098388671875,48.00867129520718,87.84594558800082,44.88984727833093,0.545471727848053,-3.3959593772888184,0.33851879835128784,52.28726577758789
16,0.0009842915805643156,33.65492445422757,46.98508071899414,28.5556583404541,34.154239654541016,47.48507308959961,29.048076629638672,26.17459487915039,20.909339904785156,22.522052764892578,0.5066052675247192,0.7165325284004211,0.3541892170906067,2008.6224365234375,6570.4755859375,1540.675537109375,44.81765764208832,81.05847016775915,39.25143993676379,0.6038862466812134,-2.742889642715454,0.49425405263900757,46.98508071899414
