epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,533.8879847372732,442.2989196777344,465.2072448730469,534.387939453125,442.7989196777344,465.70721435546875,508.2006530761719,439.7817687988281,450.02545166015625,7.582402229309082,5.629813194274902,7.0166449546813965,300099.03125,205709.6875,220900.40625,547.812952795021,453.5522985279647,470.00043218065235,-58.18150329589844,-63.15177917480469,-129.50885009765625,442.2989196777344
2,0.0009997532801828658,444.6384072580645,376.5762939453125,395.4369812011719,445.1383972167969,377.0763244628906,395.9369201660156,436.9788513183594,383.16363525390625,391.25323486328125,6.481725215911865,4.7664995193481445,6.020676612854004,211603.671875,144947.875,158461.40625,460.0039911511638,380.7202056628989,398.072111871706,-40.72963333129883,-44.20285415649414,-92.61964416503906,376.5762939453125
3,0.0009994449374809851,360.6890762821321,291.6982421875,313.7041931152344,361.1890869140625,292.1982727050781,314.2041931152344,363.48516845703125,311.6611633300781,312.7431640625,5.298923015594482,3.751971483230591,4.806617736816406,140098.859375,89064.7890625,102055.1875,374.2978217609608,298.4372447642888,319.4607761525662,-26.62841796875,-26.775381088256836,-59.29461669921875,291.6982421875
4,0.0009990133642141358,265.70326282132055,198.44810485839844,205.43472290039062,266.2032470703125,198.94810485839844,205.93472290039062,275.72259521484375,212.68728637695312,208.16859436035156,3.833483934402466,2.4794275760650635,3.1304287910461426,78601.3515625,43604.55859375,49910.5625,280.3593257990538,208.81704574519293,223.4067199078846,-14.500703811645508,-12.598339080810547,-28.487361907958984,198.44810485839844
5,0.000998458666866564,168.91510216497605,107.73882293701172,158.8819580078125,169.4137725830078,108.23880767822266,159.3819580078125,165.689453125,81.21653747558594,131.86892700195312,2.156181812286377,1.273307204246521,2.2047011852264404,38591.73046875,17694.251953125,34375.01953125,196.4477805136775,133.01974271936103,185.40501484924835,-6.610543251037598,-4.518056869506836,-19.308900833129883,107.73882293701172
6,0.00099778098230154,150.4762939453125,100.54312133789062,141.43475341796875,150.97630310058594,101.04312133789062,141.93475341796875,131.7561492919922,97.59754180908203,122.86233520507812,2.217068672180176,1.2532979249954224,1.9153207540512085,35725.08203125,13791.2333984375,30324.14453125,189.01079871597284,117.43608218276655,174.13829139867545,-6.045221328735352,-3.300877571105957,-16.915626525878906,100.54312133789062
7,0.0009969804777275899,126.3962640577747,77.8652114868164,114.4990005493164,126.89627075195312,78.3652114868164,114.9990005493164,116.01670837402344,64.29183959960938,101.30848693847656,1.8789907693862915,0.9409712553024292,1.5830864906311035,23503.71875,9710.966796875,21001.396484375,153.30922591285886,98.54423776596478,144.91858571064998,-3.6350879669189453,-2.0284223556518555,-11.407710075378418,77.8652114868164
8,0.000996057350657239,91.43719703920426,89.99562072753906,122.6252212524414,91.93438720703125,90.49561309814453,123.1252212524414,73.13230895996094,93.38629150390625,114.1780014038086,1.3239189386367798,1.075269341468811,1.930450439453125,13595.9697265625,10297.7783203125,21649.56640625,116.60175696173064,101.47796963042028,147.13791627670278,-1.6812145709991455,-2.21142315864563,-11.790651321411133,77.8652114868164
9,0.0009950118288582787,80.17281976515247,72.19673156738281,109.66558074951172,80.67280578613281,72.69673156738281,110.16556549072266,63.46857452392578,73.01852416992188,100.03681945800781,1.2143137454986572,0.9529879689216614,1.6833442449569702,10114.3837890625,6639.7099609375,19287.935546875,100.57029277606037,81.48441544821623,138.88101218984184,-0.9946229457855225,-1.0706326961517334,-10.395390510559082,72.19673156738281
10,0.0009938441702975688,63.36065767349736,49.757568359375,83.42483520507812,63.859798431396484,50.257572174072266,83.9078598022461,51.841705322265625,46.48503112792969,63.67665481567383,0.9779601097106934,0.7949416637420654,1.166128396987915,6992.88720703125,4158.7412109375,18996.220703125,83.62348478167631,64.48830290011902,137.82677788849668,-0.37904322147369385,-0.2969280481338501,-10.223043441772461,49.757568359375
11,0.000992554663077387,62.723272089804375,44.2584342956543,74.6636734008789,63.220211029052734,44.75843811035156,75.1636734008789,53.16743087768555,30.69219207763672,51.63340759277344,0.9296204447746277,0.7569888234138489,1.0294392108917236,6733.5146484375,3859.510986328125,18683.35546875,82.05799563989788,62.124962666613534,136.68707132991767,-0.3278932571411133,-0.2036113739013672,-10.038202285766602,44.2584342956543
12,0.0009911436253643444,54.53373398319368,43.43571090698242,70.83806610107422,55.029170989990234,43.935707092285156,71.33805847167969,39.825225830078125,31.941932678222656,52.098358154296875,0.8247261047363281,0.684720516204834,1.0827312469482422,5143.08056640625,2757.7353515625,13747.041015625,71.71527428941654,52.51414430001216,117.24777616494481,-0.014249324798583984,0.13998395204544067,-7.121807098388672,43.43571090698242
13,0.000989611405310883,44.89101545272335,48.206478118896484,71.5027084350586,45.391014099121094,48.70647048950195,72.00270080566406,37.50366973876953,44.538124084472656,61.52779006958008,0.7093984484672546,0.7200016975402832,1.1706156730651855,3381.046630859375,3116.501220703125,11872.6162109375,58.146768017314386,55.825632291118076,108.96153546521589,0.33323538303375244,0.028100669384002686,-6.014389991760254,43.43571090698242
14,0.0009879583809693738,47.42260208129883,40.67245864868164,63.484169006347656,47.914772033691406,41.17072677612305,63.984161376953125,36.32951354980469,40.09259033203125,43.29887390136719,0.7752608060836792,0.636707067489624,1.0238239765167236,3795.524658203125,2392.051513671875,11181.119140625,61.6078295203063,48.908603677388655,105.74081114037759,0.25149762630462646,0.2540246248245239,-5.6058502197265625,40.67245864868164
15,0.0009861849601988384,38.88451299359721,34.86350631713867,58.747535705566406,39.3812255859375,35.36350631713867,59.2475471496582,29.680538177490234,29.250492095947266,37.34503173828125,0.6414336562156677,0.5507371425628662,0.8994992971420288,2611.98876953125,1912.0718994140625,10812.353515625,51.10761948605364,43.727244361085255,103.98246734726484,0.4848986268043518,0.4037090539932251,-5.387982368469238,34.86350631713867
16,0.0009842915805643156,36.31650550596176,31.978378295898438,56.14472579956055,36.81406784057617,32.455604553222656,56.64472198486328,29.81170654296875,19.488479614257812,39.063018798828125,0.5669934749603271,0.49480172991752625,0.8465695381164551,2258.666015625,1781.9886474609375,9782.017578125,47.52542493892085,42.21360737322667,98.90408271717098,0.5545761585235596,0.4442763328552246,-4.7792558670043945,31.978378295898438
17,0.000982278709228899,33.42145060877646,28.736957550048828,53.31452560424805,33.91893005371094,29.236957550048828,53.790809631347656,22.64518165588379,21.416839599609375,31.168182373046875,0.5481625199317932,0.4366319179534912,0.8116064071655273,2279.963623046875,1432.5284423828125,8270.443359375,47.74896462800921,37.84875747475487,90.94197798253016,0.5503761768341064,0.5532575249671936,-3.886211395263672,28.736957550048828
18,0.0009801468428384716,28.198198195426695,24.75676918029785,49.99125289916992,28.690479278564453,25.244592666625977,50.491249084472656,20.511272430419922,18.463241577148438,27.227943420410156,0.4484574496746063,0.3880574107170105,0.7662731409072876,1502.1646728515625,1127.8333740234375,7724.18994140625,38.75776919343478,33.58323054775162,87.88737077308804,0.7037632465362549,0.6482784748077393,-3.5634827613830566,24.75676918029785
19,0.000977896507399165,24.730464135446855,21.04718589782715,48.04924011230469,25.223438262939453,21.54718589782715,48.53036880493164,19.366363525390625,14.709571838378906,32.87812042236328,0.40674641728401184,0.32197099924087524,0.7655009031295776,1106.8675537109375,777.2293701171875,6790.41796875,33.269619079739066,27.878833729501444,82.40399243210247,0.7817184329032898,0.757616400718689,-3.0118064880371094,21.04718589782715
20,0.0009755282581475768,25.645690684164723,19.498004913330078,46.347049713134766,26.138721466064453,19.998004913330078,46.84543991088867,19.127365112304688,17.443710327148438,32.69919204711914,0.44434961676597595,0.2867123782634735,0.7360159158706665,1210.6834716796875,605.5309448242188,6391.4345703125,34.79487708959018,24.607538373925554,79.94644814069291,0.7612452507019043,0.8111616373062134,-2.776085615158081,19.498004913330078
21,0.0009730426794137727,23.21822862932759,19.178632736206055,42.73463821411133,23.71784019470215,19.676944732666016,43.23463821411133,20.327438354492188,13.871496200561523,28.537784576416016,0.3806537687778473,0.2610743045806885,0.6269533038139343,858.6837768554688,683.5074462890625,6697.52197265625,29.303306585698973,26.14397533446401,81.83838935766178,0.8306618928909302,0.7868441343307495,-2.956923007965088,19.178632736206055
22,0.0009704403844771128,22.863855312716577,18.69863510131836,42.29514694213867,23.35594940185547,19.198637008666992,42.779056549072266,18.97577667236328,11.151229858398438,28.711109161376953,0.37210771441459656,0.251957505941391,0.6146939396858215,869.0999755859375,671.8904418945312,6392.0693359375,29.480501616932123,25.920849559660102,79.9504179847579,0.8286077380180359,0.7904670238494873,-2.7764604091644287,18.69863510131836
