epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,539.2609300182712,438.6567077636719,451.24102783203125,539.760986328125,439.1567687988281,451.74102783203125,515.4166870117188,441.50146484375,439.9783935546875,7.807568550109863,5.632833480834961,5.864376544952393,302792.28125,201402.09375,209456.0,550.2656460746937,448.77844617361023,457.66363193944085,-65.18914031982422,-61.80842971801758,-35.220149993896484,438.6567077636719
2,0.0009997532801828658,429.607754811933,365.1061706542969,381.67633056640625,430.1077575683594,365.606201171875,382.17633056640625,432.722412109375,376.5588684082031,376.998779296875,6.543467044830322,4.758736610412598,5.014351844787598,193161.3125,138278.578125,149395.15625,439.50120875829225,371.8582769349097,386.5166959524517,-41.224266052246094,-42.122989654541016,-24.834135055541992,365.1061706542969
3,0.0009994449374809851,354.5910144436744,296.62103271484375,303.7205505371094,355.09100341796875,297.12103271484375,304.22052001953125,366.9801025390625,304.96282958984375,305.24273681640625,5.407323837280273,3.8178365230560303,4.091292381286621,131310.71875,89967.2734375,97760.734375,362.36820880148963,299.94545076980245,312.66713030793625,-27.703977584838867,-27.05682373046875,-15.905261993408203,296.62103271484375
4,0.0009990133642141358,272.4643040810862,192.223876953125,188.44924926757812,272.9643249511719,192.72389221191406,188.94923400878906,289.1908874511719,192.6824493408203,231.825439453125,4.145796298980713,2.4773781299591064,2.6013715267181396,80510.6484375,44097.53515625,49021.62109375,283.7439839670614,209.99413124239925,221.4082678983556,-16.599294662475586,-12.752077102661133,-7.477057456970215,192.223876953125
5,0.000998458666866564,165.3148937594506,129.5421905517578,200.5912322998047,165.8123016357422,130.0421905517578,201.0912322998047,153.60507202148438,114.68028259277344,218.86907958984375,2.480438232421875,1.4837980270385742,2.3467655181884766,37060.453125,24028.50390625,46222.86328125,192.51091689823724,155.01130251130076,214.99503082920313,-7.101261138916016,-6.4934306144714355,-6.993082046508789,129.5421905517578
6,0.00099778098230154,151.28753982051725,115.25720977783203,150.5388946533203,151.78700256347656,115.75720977783203,151.0388946533203,143.38182067871094,114.46540832519531,159.7432861328125,2.3797671794891357,1.4066410064697266,1.6317026615142822,34215.0234375,18807.328125,27823.275390625,184.97303435230768,137.1398123266909,166.80310366004883,-6.479262351989746,-4.865176677703857,-3.811336040496826,115.25720977783203
7,0.0009969804777275899,119.42158843009703,102.02660369873047,110.79035949707031,119.92160034179688,102.52660369873047,111.29034423828125,103.190185546875,94.23515319824219,100.29730224609375,1.795580506324768,1.2505466938018799,1.2850781679153442,22588.189453125,14405.8515625,16267.2314453125,150.29367735578566,120.02437903401125,127.54305722113023,-3.937685012817383,-3.4925498962402344,-1.8130085468292236,102.02660369873047
8,0.000996057350657239,82.54579502228768,93.08685302734375,100.43130493164062,83.04318237304688,93.58304595947266,100.93130493164062,64.25334167480469,88.42643737792969,106.75117492675781,1.2544872760772705,1.1312501430511475,1.2512279748916626,13337.38671875,12776.5546875,14215.8466796875,115.48760417789435,113.0334228779258,119.2302255289635,-1.9154973030090332,-2.9844439029693604,-1.4582734107971191,93.08685302734375
9,0.0009950118288582787,79.45066848262664,75.61891174316406,87.9548568725586,79.95066833496094,76.11891174316406,88.4548568725586,67.78048706054688,67.18588256835938,83.07362365722656,1.2275500297546387,0.947010338306427,1.083538293838501,10172.86328125,8385.3603515625,10550.0390625,100.86061313143996,91.57161324101754,102.71338307396948,-1.223745584487915,-1.6150240898132324,-0.8243639469146729,75.61891174316406
10,0.0009938441702975688,63.77373999318769,56.80167007446289,85.19341278076172,64.2718505859375,57.301666259765625,85.69342041015625,45.479248046875,45.48335266113281,93.74524688720703,0.9407360553741455,0.782346785068512,1.0375441312789917,7473.24658203125,5394.515625,8635.748046875,86.4479414562964,73.44736635850192,92.92872562816623,-0.6336209774017334,-0.6823115348815918,-0.4933356046676636,56.80167007446289
11,0.000992554663077387,60.48560751638105,52.43260955810547,78.47462463378906,60.984676361083984,52.93260955810547,78.97462463378906,48.04130554199219,41.256195068359375,82.4893798828125,0.8885993957519531,0.7061665058135986,1.0144481658935547,6793.82763671875,4424.2421875,7264.7802734375,82.42467856606267,66.51497716680056,85.233680393595,-0.48510241508483887,-0.3797260522842407,-0.25626111030578613,52.43260955810547
12,0.0009911436253643444,49.881910262569306,52.671424865722656,67.46185302734375,50.381011962890625,53.17142105102539,67.96186065673828,38.57805633544922,45.060482025146484,72.1871337890625,0.7404863834381104,0.7215063571929932,0.9527397155761719,4805.4462890625,4180.09375,5873.7060546875,69.32132636543028,64.65364452217678,76.64010735044347,-0.05045056343078613,-0.3035869598388672,-0.015709877014160156,52.43260955810547
13,0.000989611405310883,44.607745213662426,49.832942962646484,58.42560958862305,45.10645294189453,50.332942962646484,58.92560958862305,35.46568298339844,42.998390197753906,61.85127639770508,0.6960548758506775,0.6671966314315796,0.8167584538459778,3749.61328125,3727.782958984375,4747.0771484375,61.23408594279823,61.05557271031347,68.89903590354149,0.18035012483596802,-0.16253113746643066,0.17911231517791748,49.832942962646484
14,0.0009879583809693738,39.185291880946004,44.19153594970703,53.89695358276367,39.6852912902832,44.688331604003906,54.39695358276367,27.497894287109375,28.27544403076172,51.36714553833008,0.6122334599494934,0.5982940196990967,0.7222515344619751,2825.987060546875,3255.86962890625,4301.95849609375,53.16001373727131,57.06022808319513,65.5893169357156,0.38225096464157104,-0.015362143516540527,0.2560844421386719,44.19153594970703
15,0.0009861849601988384,34.63550373200447,40.1669807434082,53.15456771850586,35.13406753540039,40.6669807434082,53.654571533203125,26.70929718017578,27.56145477294922,48.972206115722656,0.5110440850257874,0.5372872948646545,0.6988499164581299,2197.25732421875,2940.4033203125,4326.23046875,46.87491145824971,54.22548589282073,65.77408660521255,0.5196886658668518,0.08301782608032227,0.2518872022628784,40.1669807434082
