epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,536.4623358310797,438.6592712402344,409.58203125,536.9623413085938,439.15924072265625,410.08203125,517.2015991210938,441.53533935546875,434.6002502441406,7.808233737945557,5.63368034362793,5.747201442718506,301436.4375,201766.265625,182430.515625,549.032273641541,449.18399974286706,427.1188542139061,-64.2630844116211,-61.922000885009766,-31.638347625732422,438.6592712402344
2,0.0009997532801828658,442.09784639798676,392.4457702636719,394.0863037109375,442.5978698730469,392.9457702636719,394.5863037109375,439.1153259277344,384.75567626953125,384.714599609375,6.616375923156738,4.928526401519775,5.078388214111328,206441.609375,155872.40625,159488.78125,454.3584591212097,394.80679610411977,399.36046530672013,-43.696048736572266,-47.6097297668457,-27.533878326416016,392.4457702636719
3,0.0009994449374809851,368.6875782502003,308.5229797363281,298.356689453125,369.18756103515625,309.0229797363281,298.8536071777344,370.61138916015625,313.56280517578125,320.2135314941406,5.537779808044434,4.044409275054932,4.118990898132324,141933.359375,98746.109375,95685.5859375,376.740440323308,314.2389367583209,309.33086806444004,-29.72955894470215,-29.794557571411133,-16.118953704833984,308.5229797363281
4,0.0009990133642141358,286.7274897648738,223.9066925048828,208.03294372558594,287.22747802734375,224.4066925048828,208.53297424316406,299.60076904296875,252.67990112304688,227.43321228027344,4.404975891113281,2.9420363903045654,2.9786264896392822,87345.84375,55086.3828125,50503.23828125,295.54330266477024,234.70488450924918,224.72925550815586,-17.91098403930664,-16.179014205932617,-8.035451889038086,223.9066925048828
5,0.000998458666866564,190.4634775015024,137.08908081054688,119.655517578125,190.96348571777344,137.5890655517578,120.14541625976562,211.16549682617188,142.80661010742188,112.19918060302734,2.7761788368225098,1.6399412155151367,1.4322818517684937,47019.390625,25798.50390625,20358.35546875,216.83955041689237,160.6191268381509,142.6827090741902,-9.180025100708008,-7.045415878295898,-2.642280340194702,137.08908081054688
6,0.00099778098230154,144.200438670623,116.3124008178711,85.3537368774414,144.700439453125,116.8124008178711,85.8537368774414,130.96348571777344,123.45934295654297,66.98141479492188,2.158926486968994,1.3912218809127808,0.9958562254905701,29106.9140625,19143.8359375,12380.61328125,170.6074853647987,138.36125157535977,111.26820426900939,-5.301849365234375,-4.970118045806885,-1.2149953842163086,116.3124008178711
7,0.0009969804777275899,119.79644345014523,105.75572204589844,64.71703338623047,120.29341888427734,106.25572204589844,65.21703338623047,109.140625,101.81838989257812,53.33196258544922,1.8472970724105835,1.3812412023544312,0.8455709218978882,21786.0625,14147.595703125,8139.4521484375,147.60102472544017,118.94366609082218,90.21891236563152,-3.7168350219726562,-3.41201114654541,-0.4562162160873413,105.75572204589844
8,0.000996057350657239,83.21874706561749,87.7741470336914,63.93832778930664,83.71605682373047,88.2741470336914,64.43513488769531,66.7370834350586,85.30479431152344,52.99285888671875,1.1718907356262207,1.1760023832321167,0.914109468460083,10906.8466796875,10583.375,7296.42578125,104.43584959049024,102.87553159036409,85.4191183591238,-1.3614082336425781,-2.300487995147705,-0.305391788482666,87.7741470336914
9,0.0009950118288582787,75.84383470584184,65.99127960205078,48.11251449584961,76.3424072265625,66.49128723144531,48.59493637084961,70.77655792236328,46.64060974121094,34.63685989379883,1.1610864400863647,0.8680915832519531,0.6951930522918701,8776.94140625,6569.85546875,4571.1982421875,93.68533186283753,81.05464495480811,67.6106370491175,-0.9002686738967896,-1.0488481521606445,0.18217432498931885,65.99127960205078
10,0.0009938441702975688,58.70381477551582,49.411067962646484,46.99420166015625,59.20065689086914,49.91106414794922,47.494205474853516,50.59211730957031,47.20011901855469,45.857505798339844,0.891912043094635,0.66722571849823,0.5630602836608887,5662.1298828125,3944.707275390625,3488.157470703125,75.24712541228735,62.806904679267745,59.06062538361006,-0.2258906364440918,-0.2301802635192871,0.37593936920166016,49.411067962646484
11,0.000992554663077387,51.97111403636443,40.677940368652344,48.549964904785156,52.467735290527344,41.17793273925781,49.049964904785156,42.40883255004883,41.70835876464844,45.7132568359375,0.7606996893882751,0.5744878649711609,0.6155557036399841,4675.42822265625,2857.438232421875,3194.8134765625,68.37710305837949,53.45501129381487,56.52268108080596,-0.012262701988220215,0.10889101028442383,0.4284210801124573,40.677940368652344
12,0.0009911436253643444,44.70091159527119,39.78964614868164,41.88178634643555,45.199214935302734,40.289642333984375,42.38178634643555,38.879234313964844,33.90509796142578,34.50578308105469,0.6977818012237549,0.6019192934036255,0.6146933436393738,3350.22802734375,2609.036865234375,2744.85009765625,57.88115433665564,51.07873202453615,52.39131700631556,0.274652361869812,0.18635648488998413,0.5089232921600342,39.78964614868164
13,0.000989611405310883,37.66181006798377,36.940940856933594,34.29773712158203,38.157047271728516,37.44012451171875,34.78352737426758,30.420869827270508,34.22008514404297,34.569698333740234,0.5653048157691956,0.5461042523384094,0.5049239993095398,2454.8369140625,2280.967529296875,2025.317626953125,49.54631080173881,47.75947580634523,45.003529049988124,0.4685107469558716,0.2886667847633362,0.6376537084579468,36.940940856933594
14,0.0009879583809693738,33.446143076970024,33.16088104248047,33.227386474609375,33.94050598144531,33.66088104248047,33.726959228515625,28.388931274414062,28.913681030273438,23.0875244140625,0.5402671098709106,0.4411821961402893,0.42929816246032715,2073.66796875,1721.453857421875,1668.0185546875,45.53754460607203,41.490406811959254,40.84138286943159,0.5510364770889282,0.4631544351577759,0.7015774846076965,33.16088104248047
15,0.0009861849601988384,33.160925498375526,32.009368896484375,30.850175857543945,33.65409469604492,32.50936508178711,31.350173950195312,24.722824096679688,32.859527587890625,27.618881225585938,0.5117351412773132,0.398547887802124,0.37373626232147217,1943.6190185546875,1507.790771484375,1476.515625,44.086494741073345,38.830281630247995,38.42545542996205,0.5791929364204407,0.5297865271568298,0.7358390092849731,32.009368896484375
16,0.0009842915805643156,32.553114719879936,30.81329345703125,28.576194763183594,33.04755401611328,31.31329345703125,29.076194763183594,25.843536376953125,32.66832733154297,30.30847930908203,0.5217423439025879,0.4297272562980652,0.3936903178691864,1875.35400390625,1391.01513671875,1231.7366943359375,43.30535768131063,37.296315323618096,35.09610654098169,0.5939728021621704,0.5662037134170532,0.7796319723129272,30.81329345703125
17,0.000982278709228899,28.115817436805138,25.92637825012207,25.510297775268555,28.612998962402344,26.426376342773438,26.010297775268555,25.445934295654297,26.988571166992188,27.24852752685547,0.4430333077907562,0.37320002913475037,0.36870279908180237,1306.245849609375,1087.12353515625,965.6473999023438,36.142023319252274,32.97155645637994,31.07486765703667,0.7171887159347534,0.6609740853309631,0.827237606048584,25.92637825012207
18,0.0009801468428384716,26.510432365613106,23.14195442199707,21.48463249206543,27.009017944335938,23.64065933227539,21.984128952026367,20.592731475830078,19.222972869873047,17.74627685546875,0.419760137796402,0.343086302280426,0.2915068566799164,1279.8668212890625,874.8644409179688,678.0016479492188,35.775226362513244,29.578107460044983,26.038464777118076,0.7228999137878418,0.7271683812141418,0.8786998391151428,23.14195442199707
19,0.000977896507399165,22.393809196276543,22.136505126953125,19.21171760559082,22.884775161743164,22.636505126953125,19.7052059173584,18.446725845336914,14.3870849609375,15.423152923583984,0.35829418897628784,0.332172155380249,0.24428227543830872,946.9420166015625,861.0579833984375,596.0576171875,30.772422988798958,29.34378952007456,24.41429124892836,0.7949804067611694,0.731473982334137,0.8933603167533875,22.136505126953125
20,0.0009755282581475768,23.898795201228214,20.527027130126953,20.1644287109375,24.39094352722168,21.02702522277832,20.659252166748047,18.319746017456055,14.279975891113281,17.463176727294922,0.356000155210495,0.3379485309123993,0.27426913380622864,1044.8428955078125,819.9646606445312,605.1759033203125,32.32402969166766,28.635025067992018,24.600323236094123,0.7737842798233032,0.7442891597747803,0.891728937625885,20.527027130126953
21,0.0009730426794137727,24.271181986882137,21.58474349975586,20.751239776611328,24.765884399414062,22.06316566467285,21.251235961914062,20.183502197265625,15.548980712890625,18.485546112060547,0.40328651666641235,0.3548987805843353,0.29312148690223694,1007.2118530273438,901.5451049804688,693.40673828125,31.736601157454523,30.0257407066082,26.33261738379324,0.7819316387176514,0.7188478708267212,0.8759437203407288,20.527027130126953
22,0.0009704403844771128,21.186065771640877,23.65062141418457,22.450048446655273,21.677968978881836,24.150619506835938,22.950048446655273,16.554901123046875,26.689807891845703,22.43096923828125,0.39104753732681274,0.3478821814060211,0.27811771631240845,813.8068237304688,957.7264404296875,776.1629638671875,28.527299622124573,30.947155611294676,27.859701431766773,0.8238051533699036,0.7013273239135742,0.8611379265785217,20.527027130126953
23,0.0009677220154149337,21.24632160480206,23.136592864990234,20.756832122802734,21.740121841430664,23.62017250061035,21.2568302154541,18.92380142211914,21.7037353515625,16.121376037597656,0.32829421758651733,0.3359779715538025,0.27014878392219543,760.154296875,858.7073364257812,629.5036010742188,27.570895830114043,29.30370857802441,25.089910344084906,0.8354213237762451,0.7322070598602295,0.8873765468597412,20.527027130126953
24,0.0009648882429441257,18.375998032398712,19.921497344970703,19.89341163635254,18.868648529052734,20.421497344970703,20.39341163635254,14.926996231079102,15.635078430175781,19.573368072509766,0.29976069927215576,0.32133835554122925,0.29043519496917725,586.8939208984375,724.42138671875,530.8466186523438,24.22589360371331,26.91507731214514,23.040108911468796,0.8729333877563477,0.7740849256515503,0.9050270915031433,19.921497344970703
25,0.0009619397662556434,18.16535353049254,19.688533782958984,16.994321823120117,18.66252326965332,20.188533782958984,17.494321823120117,13.970134735107422,13.666610717773438,11.595565795898438,0.28585085272789,0.3126835823059082,0.2159687876701355,598.0331420898438,649.4868774414062,467.65850830078125,24.45471615230575,25.485032419861785,21.62541348277025,0.8705216646194458,0.7974536418914795,0.9163320064544678,19.688533782958984
26,0.0009588773128419905,19.485742764595226,21.632585525512695,17.144699096679688,19.97494125366211,22.128259658813477,17.641698837280273,15.876684188842773,17.81543731689453,13.998851776123047,0.31512460112571716,0.31583863496780396,0.20867931842803955,660.4508056640625,726.9014282226562,538.9603271484375,25.69923745296857,26.96110955103028,23.215519101420874,0.8570078015327454,0.7733114957809448,0.9035754799842834,19.688533782958984
27,0.0009557016383177226,18.890977297073757,23.142553329467773,18.038938522338867,19.38796043395996,23.642553329467773,18.52307891845703,15.851844787597656,19.2213134765625,14.383369445800781,0.29746919870376587,0.3343771994113922,0.22269479930400848,612.3458251953125,806.6880493164062,575.4158935546875,24.745622344069517,28.40225429990384,23.987828029121093,0.867422878742218,0.748429536819458,0.8970532417297363,19.688533782958984
28,0.0009524135262330098,18.1636170118283,23.398183822631836,19.02613067626953,18.65824317932129,23.89818572998047,19.514408111572266,15.010456085205078,22.583621978759766,18.087905883789062,0.3073138892650604,0.33332446217536926,0.22979098558425903,590.8784790039062,862.9904174804688,619.8201293945312,24.307992080875504,29.376698546304837,24.896187045299353,0.8720706701278687,0.730871319770813,0.8891089558601379,19.688533782958984
