epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,221.5256776971332,138.39883422851562,202.98046875,222.02569580078125,138.89883422851562,203.48045349121094,167.54656982421875,84.97125244140625,179.7022705078125,0.4294078052043915,0.3160170614719391,0.3683934807777405,89035.4453125,38118.46484375,59120.3671875,298.3880783685903,195.23950636013706,243.14680172171708,-0.38388895988464355,0.23235684633255005,0.2158336639404297,138.39883422851562
2,0.0009997532801828658,171.02216145143672,138.02545166015625,188.35707092285156,171.52215576171875,138.52542114257812,188.85704040527344,106.77334594726562,94.148681640625,172.9896240234375,0.3435666263103485,0.2711358666419983,0.3599514067173004,57404.609375,32220.19140625,49721.4921875,239.59259040087196,179.4998367861375,222.98316570427463,0.10775303840637207,0.3511383533477783,0.3404993414878845,138.02545166015625
3,0.0009994449374809851,157.26067623849642,113.83139038085938,177.03128051757812,157.7606658935547,114.33138275146484,177.53125,100.10202026367188,69.86978149414062,146.406005859375,0.31164103746414185,0.20218105614185333,0.33874815702438354,50251.6328125,23431.212890625,46102.8984375,224.16875967114598,153.07257393349406,214.71585511438136,0.21893274784088135,0.5281339883804321,0.3884959816932678,113.83139038085938
4,0.0009990133642141358,139.688512252549,104.65735626220703,184.9756622314453,140.18634033203125,105.15735626220703,185.4756317138672,89.3515625,65.98855590820312,155.7039794921875,0.2712056636810303,0.18565240502357483,0.3353514075279236,40920.74609375,21345.638671875,48306.10546875,202.28876907468194,146.10146704217243,219.78649974179487,0.3639638423919678,0.5701339840888977,0.35927289724349976,104.65735626220703
5,0.000998458666866564,137.72170425673661,100.46927642822266,178.202880859375,138.22169494628906,100.96927642822266,178.702880859375,95.9737548828125,60.20652770996094,175.00433349609375,0.25395435094833374,0.16091473400592804,0.31944796442985535,40523.56640625,20595.296875,46706.3125,201.30466066698506,143.51061589652522,216.11643273939166,0.37013721466064453,0.5852446556091309,0.38049232959747314,100.46927642822266
6,0.00099778098230154,124.47333358506025,106.5366439819336,171.69479370117188,124.97333526611328,107.0269775390625,172.19482421875,78.65130615234375,73.25723266601562,158.14801025390625,0.23112578690052032,0.1692543923854828,0.30769550800323486,36670.86328125,23166.525390625,43923.44140625,191.49637929018397,152.20553666218913,209.57920079590437,0.43002021312713623,0.5334643125534058,0.41740405559539795,100.46927642822266
7,0.0009969804777275899,121.65971374511719,119.09214782714844,170.91549682617188,122.15970611572266,119.59215545654297,171.41552734375,77.64132690429688,96.91352844238281,142.00103759765625,0.23276057839393616,0.20258565247058868,0.3032287061214447,34117.83984375,26248.515625,42481.0625,184.71015089526077,162.0139365147332,206.10934597926413,0.46970218420028687,0.47139811515808105,0.43653565645217896,100.46927642822266
8,0.000996057350657239,114.97547809148239,125.44019317626953,167.85537719726562,115.47547149658203,125.94017791748047,168.35537719726562,67.56097412109375,93.40821838378906,130.3280029296875,0.21492977440357208,0.21504202485084534,0.297037273645401,32808.66796875,27290.982421875,40064.5078125,181.1316316073755,165.19982573197527,200.16120456397138,0.4900508522987366,0.4504045248031616,0.46858853101730347,100.46927642822266
9,0.0009950118288582787,111.58790019407111,119.12030029296875,162.2145538330078,112.08419036865234,119.62028503417969,162.71453857421875,72.96249389648438,87.95114135742188,130.72021484375,0.2053915411233902,0.21574297547340393,0.2825026512145996,29603.28515625,24164.640625,38186.47265625,172.05605236738987,155.44980098089545,195.41359383689252,0.5398725271224976,0.5133638978004456,0.49349862337112427,100.46927642822266
10,0.0009938441702975688,101.34741327318095,113.30575561523438,153.94918823242188,101.84408569335938,113.80574035644531,154.44918823242188,59.273468017578125,91.9378662109375,157.92572021484375,0.18676947057247162,0.20986375212669373,0.26532822847366333,28039.095703125,21331.103515625,35784.55078125,167.44878531397293,146.05171520945927,189.16804904964792,0.5641849040985107,0.5704267024993896,0.5253574848175049,100.46927642822266
11,0.000992554663077387,102.05530716201007,109.97161865234375,146.6063690185547,102.55377960205078,110.47161102294922,147.1063690185547,59.4326171875,90.24322509765625,117.74896240234375,0.18103492259979248,0.19999904930591583,0.2559657692909241,25994.544921875,19046.23828125,32444.62890625,161.22823859943082,138.00810947639997,180.1239265235188,0.5959635972976685,0.6164400577545166,0.5696578025817871,100.46927642822266
12,0.0009911436253643444,95.092837446827,104.82227325439453,140.9658660888672,95.59075164794922,105.322265625,141.4658660888672,58.516387939453125,82.0155029296875,125.06878662109375,0.17098523676395416,0.17832310497760773,0.24971795082092285,23574.275390625,17686.43359375,30498.15234375,153.53916565692612,132.9903515062277,174.63720206115877,0.6335821151733398,0.6438243389129639,0.5954756736755371,100.46927642822266
13,0.000989611405310883,92.02837979591499,95.99317169189453,137.99365234375,92.52752685546875,96.49315643310547,138.49366760253906,58.1331787109375,59.15769958496094,108.345458984375,0.16816462576389313,0.14844036102294922,0.24327267706394196,21750.08984375,16198.2919921875,29978.75,147.47911663605123,127.27251074834463,173.14372642403188,0.6619356870651245,0.6737930774688721,0.6023650169372559,95.99317169189453
14,0.0009879583809693738,89.54914739576436,88.38963317871094,137.61099243164062,90.04914855957031,88.88963317871094,138.11097717285156,52.715789794921875,71.77223205566406,120.81756591796875,0.15252386033535004,0.1355893313884735,0.2349037379026413,23113.87109375,14187.1044921875,30471.12890625,152.03246723562043,119.10963223932605,174.55981469470572,0.6407382488250732,0.7142950296401978,0.5958341360092163,88.38963317871094
15,0.0009861849601988384,82.92334178342658,84.8879623413086,137.26986694335938,83.42316436767578,85.38794708251953,137.7698516845703,46.10102844238281,76.59956359863281,114.2117919921875,0.1396385133266449,0.12875060737133026,0.22951704263687134,20643.400390625,13895.6083984375,30872.626953125,143.6781138191374,117.879635215068,175.7060811500985,0.679137110710144,0.7201653122901917,0.5905086994171143,84.8879623413086
16,0.0009842915805643156,74.10405071711136,83.42982482910156,134.4528350830078,74.60232543945312,83.9298095703125,134.95281982421875,38.32720947265625,72.85409545898438,100.175537109375,0.1214233785867691,0.12502767145633698,0.22700783610343933,17535.5546875,13202.8466796875,29146.376953125,132.4218814528022,114.90364084609112,170.7231002328771,0.727442741394043,0.7341163754463196,0.6134054660797119,83.42982482910156
17,0.000982278709228899,76.17278444969048,82.20831298828125,130.2617645263672,76.66769409179688,82.70831298828125,130.7617645263672,41.283477783203125,60.0130615234375,93.4874267578125,0.12345239520072937,0.12525644898414612,0.223727285861969,18293.345703125,12622.2119140625,27569.587890625,135.25289535948943,112.34861776658626,166.04092233731117,0.715664267539978,0.7458094358444214,0.6343199014663696,82.20831298828125
18,0.0009801468428384716,74.60909465207892,79.61109924316406,126.4313735961914,75.10325622558594,80.11109161376953,126.93138122558594,38.437164306640625,54.0067138671875,93.53582763671875,0.11921081691980362,0.12087126076221466,0.22063422203063965,18451.14453125,11299.525390625,25604.345703125,135.83499008447714,106.29922572918863,160.01357974598594,0.7132115960121155,0.7724461555480957,0.6603866219520569,79.61109924316406
19,0.000977896507399165,66.79878338312699,79.62432861328125,125.29989624023438,67.2983169555664,80.12433624267578,125.79988861083984,35.106048583984375,55.10986328125,99.36236572265625,0.10874044895172119,0.11953401565551758,0.22059446573257446,15462.830078125,10968.111328125,24403.826171875,124.3496283795211,104.72875120101929,156.21724031576989,0.7596592903137207,0.7791202664375305,0.6763101816177368,79.61109924316406
20,0.0009755282581475768,66.5943942312467,77.98960876464844,125.08721160888672,67.09165954589844,78.48960876464844,125.58720397949219,33.8212890625,61.660308837890625,101.83184814453125,0.10600549727678299,0.11492247134447098,0.219253271818161,13197.5615234375,10660.271484375,24234.126953125,114.88064033351094,103.24859071374776,155.67314139929533,0.7948686480522156,0.7853196859359741,0.6785610914230347,77.98960876464844
21,0.0009730426794137727,68.46390598103152,78.76769256591797,127.71272277832031,68.96167755126953,79.26768493652344,128.2127227783203,39.80790710449219,73.12973022460938,93.44906616210938,0.1075560450553894,0.11866366863250732,0.21932798624038696,13507.5654296875,10739.2998046875,25548.103515625,116.22205225208984,103.63059299592713,159.83774121159558,0.7900502681732178,0.7837281823158264,0.6611326336860657,77.98960876464844
22,0.0009704403844771128,64.42577879307633,80.93048095703125,130.5293731689453,64.92401885986328,81.43048095703125,131.02935791015625,36.17803955078125,66.43020629882812,107.197509765625,0.09854721277952194,0.12215101718902588,0.2191307693719864,13929.2470703125,11135.6455078125,27125.4296875,118.02223125459246,105.52556802885498,164.6979953961189,0.7834959626197815,0.7757464647293091,0.6402111053466797,77.98960876464844
23,0.0009677220154149337,64.56148580777443,82.12501525878906,127.8974380493164,65.05470275878906,82.62501525878906,128.3974151611328,37.591705322265625,72.0321044921875,87.45687866210938,0.09610053151845932,0.12240002304315567,0.2162885069847107,14299.6240234375,11518.9970703125,25833.16015625,119.58103538369912,107.32659069546791,160.7269739535029,0.7777391672134399,0.7680263519287109,0.6573516726493835,77.98960876464844
