epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,229.18695611468817,139.7162322998047,155.35508728027344,229.6851348876953,140.2162322998047,155.85507202148438,177.14385986328125,70.649169921875,118.4979248046875,0.44520264863967896,0.3147448003292084,0.2045542150735855,88873.8984375,39934.0546875,55494.84765625,298.11725618873527,199.83506871292636,235.57344429338804,-0.3182297945022583,0.19579386711120605,-0.19010019302368164,139.7162322998047
2,0.0009997532801828658,186.01387049788136,152.5535430908203,166.85797119140625,186.5138397216797,153.0188446044922,167.35794067382812,134.14425659179688,121.437255859375,117.1845703125,0.37116479873657227,0.2822284996509552,0.2306196093559265,64953.08984375,37554.66796875,57915.71484375,254.8589606895351,193.7902679928742,240.6568404258437,0.036577701568603516,0.24371075630187988,-0.24201631546020508,139.7162322998047
3,0.0009994449374809851,163.94574388407045,99.99701690673828,151.69004821777344,164.44573974609375,100.49302673339844,152.19003295898438,93.94436645507812,56.590850830078125,115.17578125,0.32303619384765625,0.16955137252807617,0.19851602613925934,53910.35546875,22556.21484375,47024.07421875,232.1860363345522,150.18726591742058,216.85034982390505,0.20037013292312622,0.5457549691200256,-0.008442401885986328,99.99701690673828
4,0.0009990133642141358,148.26767614332297,85.78866577148438,140.86270141601562,148.76499938964844,86.28865051269531,141.36270141601562,101.46978759765625,46.1268310546875,106.6561279296875,0.2861928343772888,0.1280238777399063,0.1772015392780304,42993.1484375,18698.509765625,43368.234375,207.34789229095145,136.74249436669277,208.25041266465715,0.36230045557022095,0.6234427690505981,0.0699579119682312,85.78866577148438
5,0.000998458666866564,145.17039748369638,82.0886001586914,136.703857421875,145.67039489746094,82.58858489990234,137.20387268066406,114.92779541015625,51.133758544921875,85.76678466796875,0.2715233266353607,0.12500981986522675,0.1729399710893631,41620.984375,15595.318359375,40017.87109375,204.0122162396164,124.88121699989554,200.04467274523958,0.3826531767845154,0.6859359741210938,0.14180725812911987,82.0886001586914
6,0.00099778098230154,138.7744063037937,84.558349609375,135.35243225097656,139.27383422851562,85.05834197998047,135.85243225097656,103.01812744140625,75.56053161621094,98.65289306640625,0.265421599149704,0.14723898470401764,0.17477630078792572,39050.1796875,14572.3896484375,37289.640625,197.61118310333552,120.71615322084075,193.1052578906126,0.4207848906517029,0.706536054611206,0.20031476020812988,82.0886001586914
7,0.0009969804777275899,126.4206995559951,93.5941390991211,138.04026794433594,126.92070007324219,94.09413146972656,138.54026794433594,91.403564453125,83.23091125488281,110.06365966796875,0.24355658888816833,0.1639159768819809,0.18099404871463776,32899.546875,15766.8046875,36814.81640625,181.3823223883739,125.56593760849317,191.8718749745517,0.512014627456665,0.6824824810028076,0.21049749851226807,82.0886001586914
8,0.000996057350657239,123.85671816033832,103.28421020507812,136.6657257080078,124.35672760009766,103.78421783447266,137.16571044921875,79.39437866210938,104.28977966308594,112.11077880859375,0.24272020161151886,0.1846667379140854,0.179686039686203,32673.865234375,17618.361328125,35586.328125,180.75913596378746,132.73417543392884,188.64338876568138,0.5153620839118958,0.6451952457427979,0.23684269189834595,82.0886001586914
9,0.0009950118288582787,112.19134198204945,101.85786437988281,130.24131774902344,112.69121551513672,102.35787200927734,130.74130249023438,69.49417114257812,91.44314575195312,90.63629150390625,0.213340625166893,0.1859210878610611,0.1672404408454895,28926.708984375,18075.486328125,34129.046875,170.0785376947221,134.44510525907964,184.7404852083051,0.5709421038627625,0.6359894275665283,0.2680944800376892,82.0886001586914
10,0.0009938441702975688,110.27394595388638,99.73701477050781,124.69340515136719,110.7727279663086,100.23700714111328,125.19339752197266,70.9755859375,77.64279174804688,81.6475830078125,0.20668549835681915,0.18291471898555756,0.15485110878944397,27729.974609375,18242.236328125,34037.0625,166.5231954094534,135.0638231656612,184.49136158638973,0.5886927843093872,0.6326314210891724,0.27006709575653076,82.0886001586914
11,0.000992554663077387,102.01236789509402,101.57345581054688,123.25188446044922,102.50846099853516,102.05607604980469,123.75188446044922,63.0054931640625,89.44026184082031,74.15283203125,0.1897691786289215,0.18738515675067902,0.15281324088573456,25785.689453125,19037.43359375,33475.51171875,160.5792310765156,137.97620662183027,182.9631430609728,0.6175315380096436,0.6166174411773682,0.28210973739624023,82.0886001586914
12,0.0009911436253643444,98.15838868739242,106.23228454589844,126.9244384765625,98.65753173828125,106.73229217529297,127.42443084716797,62.45086669921875,98.53242492675781,82.46234130859375,0.18271179497241974,0.18073377013206482,0.1617463082075119,24934.77734375,19452.1875,33512.27734375,157.90749616072696,139.4710991567787,183.0635882521426,0.6301527619361877,0.6082649230957031,0.28132128715515137,82.0886001586914
13,0.000989611405310883,96.99856890662242,100.7364730834961,125.0850601196289,97.4985580444336,101.23646545410156,125.5850601196289,64.5361328125,81.60334777832031,84.98358154296875,0.17375369369983673,0.16477073729038239,0.16072922945022583,22669.380859375,17385.86328125,31725.1796875,150.56354425748287,131.85546360029986,178.1156357187656,0.6637544631958008,0.6498773097991943,0.3196460008621216,82.0886001586914
14,0.0009879583809693738,92.11386147191969,81.44231414794922,118.19222259521484,92.6081314086914,81.94231414794922,118.69222259521484,58.91944885253906,51.25215148925781,80.58123779296875,0.16348086297512054,0.1217581033706665,0.1499323546886444,21370.4921875,12798.3505859375,28779.30078125,146.18649796578342,113.1297953058234,169.64463086478747,0.6830203533172607,0.7422622442245483,0.38282108306884766,81.44231414794922
15,0.0009861849601988384,81.4311729043217,82.32030487060547,113.01895141601562,81.93114471435547,82.82029724121094,113.51895904541016,45.477073669433594,66.3489990234375,86.69232177734375,0.1424976885318756,0.13543671369552612,0.14466406404972076,18500.830078125,11685.517578125,27288.06640625,136.0177564810014,108.09957251592164,165.19099977374677,0.725584864616394,0.7646728754043579,0.4148009419441223,81.44231414794922
16,0.0009842915805643156,85.42165840278237,87.66415405273438,115.28633117675781,85.91886138916016,88.16414642333984,115.78553771972656,55.56256103515625,72.47897338867188,85.98321533203125,0.14571934938430786,0.1467437595129013,0.1524038016796112,18382.158203125,11856.0927734375,26054.5,135.58081797630888,108.88568672436934,161.41406382344755,0.7273451089859009,0.7612378001213074,0.44125503301620483,81.44231414794922
17,0.000982278709228899,87.80176143322961,85.91410064697266,119.64554595947266,88.30057525634766,86.41410064697266,120.14553833007812,64.21209716796875,70.80036926269531,90.26263427734375,0.14844419062137604,0.1378827542066574,0.15952564775943756,16758.185546875,11475.1220703125,26086.994140625,129.4534107193588,107.12199620205226,161.5146870740398,0.7514327764511108,0.7689099311828613,0.44055819511413574,81.44231414794922
18,0.0009801468428384716,77.66495229430117,78.79734802246094,123.47525024414062,78.1634521484375,79.29734802246094,123.9752426147461,46.10939025878906,56.57867431640625,86.9156494140625,0.13435159623622894,0.12227781116962433,0.1615157276391983,14272.283203125,10452.0478515625,27441.6328125,119.46666147141218,102.23525738003744,165.6551623478725,0.7883051633834839,0.7895129919052124,0.41150766611099243,78.79734802246094
19,0.000977896507399165,68.53576802399199,73.52519989013672,125.6534423828125,69.03558349609375,74.02519989013672,126.15343475341797,41.2001953125,56.21722412109375,80.14349365234375,0.11485575884580612,0.10986282676458359,0.16183169186115265,13721.6298828125,9692.640625,28673.419921875,117.13936094589427,98.45120936281077,169.33227666890622,0.7964727878570557,0.8048061728477478,0.3850916624069214,73.52519989013672
20,0.0009755282581475768,73.1930667424606,69.64680480957031,124.83363342285156,73.69306945800781,70.14680480957031,125.3336181640625,42.107757568359375,55.34014892578125,77.691650390625,0.11721332371234894,0.10358375310897827,0.15907546877861023,14662.2529296875,9001.556640625,29059.099609375,121.08779017591947,94.87653366678717,170.46729777108277,0.7825208902359009,0.8187234401702881,0.3768206834793091,69.64680480957031
21,0.0009730426794137727,69.89464892371227,67.94213104248047,118.30939483642578,70.38861846923828,68.44213104248047,118.80939483642578,42.840576171875,56.24383544921875,82.48101806640625,0.1115155816078186,0.10699508339166641,0.15009984374046326,13239.1650390625,8182.62744140625,26994.705078125,115.0615706439926,90.45787661340637,164.30065452737855,0.8036289215087891,0.8352153301239014,0.42109215259552,67.94213104248047
