epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,223.11052949549787,152.60617065429688,162.1361541748047,223.6077880859375,153.10617065429688,162.6361541748047,169.252197265625,81.2496337890625,138.9639892578125,0.4160058796405792,0.36101678013801575,0.36898690462112427,88984.03125,48434.9765625,45202.4765625,298.30191291709815,220.0794778313053,212.60874055997792,-0.2917104959487915,0.02459925413131714,-0.23134756088256836,152.60617065429688
2,0.0009997532801828658,186.75738396078853,135.1466064453125,132.526611328125,187.25738525390625,135.6466064453125,133.02662658691406,121.4964599609375,118.72775268554688,109.2025146484375,0.3673897087574005,0.282742977142334,0.2965235412120819,66671.359375,30649.576171875,27924.4375,258.2079769778618,175.07020355238924,167.1060666163859,0.032184898853302,0.3827679753303528,0.23931849002838135,135.1466064453125
3,0.0009994449374809851,160.56056678901285,106.03865051269531,112.44667053222656,161.06056213378906,106.53864288330078,112.94667053222656,112.13514709472656,82.01104736328125,102.42486572265625,0.3099926710128784,0.19015273451805115,0.23642750084400177,50237.88671875,19584.212890625,18411.98046875,224.1380974282373,139.94360610840712,135.69075307017056,0.2707365155220032,0.605606198310852,0.4984445571899414,106.03865051269531
4,0.0009990133642141358,153.21066697977358,104.92420959472656,97.81133270263672,153.7069854736328,105.4241943359375,98.31132507324219,99.44219970703125,69.87889099121094,85.44851684570312,0.28064030408859253,0.17970430850982666,0.18947242200374603,48276.546875,21831.544921875,13102.455078125,219.71924557261707,147.7550165709273,114.46595597873194,0.29920780658721924,0.560348629951477,0.6430798172950745,104.92420959472656
5,0.000998458666866564,142.46044921875,118.3473129272461,83.20282745361328,142.96043395996094,118.84729766845703,83.70281219482422,102.42483520507812,120.05526733398438,75.10052490234375,0.2625921964645386,0.2107793539762497,0.15927071869373322,43950.76953125,27117.748046875,10915.11328125,209.64438826558177,164.67467336198058,104.47541950741332,0.36200159788131714,0.45389318466186523,0.7026645541191101,104.92420959472656
6,0.00099778098230154,136.19417972887976,125.66769409179688,92.51679992675781,136.6921844482422,126.16768646240234,93.01679992675781,94.00387573242188,91.56521606445312,79.0628662109375,0.251147985458374,0.20851768553256989,0.17837943136692047,41285.8203125,29426.21875,11898.2861328125,203.18912449365985,171.5407203844032,109.07926536612034,0.40068650245666504,0.407404363155365,0.6758822202682495,104.92420959472656
7,0.0009969804777275899,131.94675122277212,103.69151306152344,90.6050796508789,132.4462432861328,104.18802642822266,91.1050796508789,86.63101196289062,74.30023193359375,81.6824951171875,0.24025870859622955,0.1604616940021515,0.18882949650287628,38981.73828125,21963.970703125,12043.0810546875,197.43793526384437,148.20246523970172,109.74097254301832,0.4341331124305725,0.5576817989349365,0.6719379425048828,103.69151306152344
8,0.000996057350657239,119.6731579020872,102.55906677246094,98.3746337890625,120.16927337646484,103.05907440185547,98.8746337890625,78.65744018554688,84.38096618652344,93.68017578125,0.21704445779323578,0.1739032119512558,0.20803289115428925,33898.55859375,17823.966796875,13991.533203125,184.11561203154392,133.50642979600272,118.28581150385281,0.507921576499939,0.641054630279541,0.6188607215881348,102.55906677246094
9,0.0009950118288582787,113.16802137989109,106.4845199584961,102.89149475097656,113.6664810180664,106.9845199584961,103.3915023803711,72.68222045898438,109.01043701171875,86.1092529296875,0.20178242027759552,0.20065680146217346,0.21737061440944672,30591.388671875,17490.841796875,16007.3818359375,174.9039412702727,132.25294626916636,126.5202823105351,0.5559291839599609,0.6477632522583008,0.5639475584030151,102.55906677246094
10,0.0009938441702975688,110.59799763307733,109.98706817626953,104.26570129394531,111.09799194335938,110.487060546875,104.76569366455078,71.91290283203125,115.969482421875,106.390380859375,0.20011389255523682,0.20716921985149384,0.22280879318714142,28022.482421875,16775.654296875,17519.625,167.399170911552,129.5208643303271,132.36172029707078,0.5932198762893677,0.6621658802032471,0.5227530002593994,102.55906677246094
