epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,220.8150689902426,136.3654327392578,133.27078247070312,221.31101989746094,136.83323669433594,133.77078247070312,173.984375,67.1021728515625,96.57669067382812,0.42607352137565613,0.30016249418258667,0.24538715183734894,87531.671875,37427.80859375,31405.02734375,295.8575195512191,193.46268010587985,177.21463636999627,-0.27302658557891846,0.24626553058624268,0.14155280590057373,136.3654327392578
2,0.0009997532801828658,184.81860133579798,147.24253845214844,133.00576782226562,185.318603515625,147.74253845214844,133.50576782226562,134.23175048828125,93.45953369140625,103.02706909179688,0.3694911599159241,0.24879273772239685,0.23945018649101257,64115.6171875,37598.86328125,28994.044921875,253.21061823608426,193.9042631848253,170.27637805014234,0.06752729415893555,0.24282079935073853,0.20745635032653809,136.3654327392578
3,0.0009994449374809851,178.79043040556067,108.73076629638672,107.26409149169922,179.29043579101562,109.23077392578125,107.76409149169922,120.92169189453125,64.24420166015625,81.90924072265625,0.34015029668807983,0.1798083484172821,0.194175586104393,59875.86328125,22402.494140625,18803.787109375,244.69545006241944,149.6746275780401,137.1269014795237,0.12918871641159058,0.5488506555557251,0.4860039949417114,108.73076629638672
4,0.0009990133642141358,149.10321801450073,105.32797241210938,124.44036865234375,149.6032257080078,105.82796478271484,124.94036102294922,99.1180419921875,86.84750366210938,115.19000244140625,0.2926383912563324,0.1968778371810913,0.20141567289829254,45897.6875,21120.314453125,20633.93359375,214.2374558754841,145.32829887232907,143.64516557736985,0.3324818015098572,0.5746716260910034,0.4359775185585022,105.32797241210938
5,0.000998458666866564,142.1125757553998,110.7003402709961,118.89849853515625,142.61257934570312,111.20033264160156,119.39849090576172,104.14215087890625,94.169189453125,113.21697998046875,0.26758429408073425,0.2239588350057602,0.18791167438030243,40909.890625,24665.765625,18844.015625,202.26193567994943,157.05338463401546,137.2735066391181,0.40502238273620605,0.5032720565795898,0.48490434885025024,105.32797241210938
6,0.00099778098230154,131.61883839839646,121.01284790039062,102.93197631835938,132.1162872314453,121.50416564941406,103.43196868896484,82.77227783203125,96.74130249023438,91.10855102539062,0.24633342027664185,0.25121957063674927,0.16667358577251434,39633.45703125,28294.396484375,13488.8349609375,199.08153362692883,168.20938286663738,116.14144376981672,0.423586368560791,0.43019741773605347,0.6312866806983948,105.32797241210938
7,0.0009969804777275899,127.40310367616284,129.7284393310547,82.70191955566406,127.90225219726562,130.22842407226562,83.20191955566406,74.30722045898438,102.03178405761719,63.9139404296875,0.24595846235752106,0.26659634709358215,0.141192227602005,36914.60546875,31931.255859375,9372.021484375,192.1317398785271,178.69318918015594,96.80920144477487,0.4631282687187195,0.35695701837539673,0.7438185214996338,105.32797241210938
8,0.000996057350657239,121.55478289948792,131.4700164794922,83.26446533203125,122.05206298828125,131.97000122070312,83.76445770263672,74.44110107421875,88.14707946777344,70.96405029296875,0.23139868676662445,0.269528329372406,0.13648471236228943,33967.9296875,31431.177734375,8950.0146484375,184.30390578471201,177.28840270693118,94.60451706148866,0.5059835910797119,0.36702781915664673,0.7553539872169495,105.32797241210938
9,0.0009950118288582787,116.83421941164161,118.52549743652344,95.50074768066406,117.3342056274414,119.02549743652344,96.000732421875,72.685302734375,94.84426879882812,106.35037231445312,0.22111916542053223,0.23267661035060883,0.14324542880058289,32615.33203125,23802.982421875,11429.396484375,180.59715399543262,154.28215198743825,106.90835554050487,0.5256552696228027,0.5206471085548401,0.6875808238983154,105.32797241210938
10,0.0009938441702975688,107.10575494846375,107.61283111572266,102.25350952148438,107.60575103759766,108.11283111572266,102.75350189208984,58.633636474609375,87.95660400390625,111.00227355957031,0.1988016813993454,0.1905459463596344,0.14762714505195618,28815.564453125,17505.587890625,13890.439453125,169.7514785005568,132.30868410888607,117.85770850107768,0.5809175968170166,0.6474663019180298,0.6203088760375977,105.32797241210938
11,0.000992554663077387,103.53022009585084,100.02802276611328,102.49470520019531,104.03021240234375,100.52801513671875,102.99468231201172,67.73358154296875,88.94334411621094,117.508056640625,0.1905316859483719,0.16535522043704987,0.14739011228084564,25872.654296875,14870.201171875,13826.4853515625,160.84978799138966,121.94343431228678,117.58607635074189,0.6237182021141052,0.7005386352539062,0.6220570802688599,100.02802276611328
12,0.0009911436253643444,98.28036383620831,96.18865203857422,92.29283142089844,98.77516174316406,96.68865203857422,92.79283142089844,62.81005859375,77.24038696289062,91.294921875,0.17568166553974152,0.146048441529274,0.13762150704860687,23802.453125,15372.9775390625,11986.708984375,154.28043662434976,123.98781205853462,109.48382978492761,0.6538263559341431,0.6904135346412659,0.672346830368042,96.18865203857422
13,0.000989611405310883,95.73650680670217,103.81880950927734,89.25651550292969,96.23650360107422,104.28571319580078,89.75650787353516,60.56756591796875,91.06623840332031,80.45150756835938,0.1778191179037094,0.18013925850391388,0.13495637476444244,19820.71484375,16177.6708984375,11647.4482421875,140.78606054489202,127.19147337159633,107.92334428745015,0.7117352485656738,0.6742083430290222,0.6816204190254211,96.18865203857422
14,0.0009879583809693738,97.65057853891068,103.51323699951172,89.64535522460938,98.14550018310547,104.01323699951172,90.14533996582031,70.24896240234375,104.54423522949219,78.49151611328125,0.17559008300304413,0.1834554672241211,0.13429634273052216,21037.98046875,16221.2861328125,11313.3671875,145.0447533306531,127.36281299034071,106.36431350551744,0.6940317153930664,0.6733300089836121,0.6907524466514587,96.18865203857422
15,0.0009861849601988384,87.13998765705013,97.11649322509766,88.30608367919922,87.63521575927734,97.61647033691406,88.80608367919922,61.25396728515625,85.13037109375,72.7808837890625,0.1576044261455536,0.16266903281211853,0.12922224402427673,17561.298828125,15110.533203125,10433.4716796875,132.51905081204362,122.9249087985222,102.14436685244812,0.7445952892303467,0.6956987380981445,0.7148041129112244,96.18865203857422
16,0.0009842915805643156,73.56898921678047,95.16915130615234,85.11276245117188,74.0685806274414,95.66913604736328,85.61275482177734,44.62298583984375,59.7322998046875,70.14080810546875,0.13314445316791534,0.14744827151298523,0.1218406930565834,15090.0478515625,15024.8095703125,9883.8955078125,122.84155588221154,122.57572993995386,99.41778265387184,0.7805361747741699,0.6974250674247742,0.7298266291618347,95.16915130615234
17,0.000982278709228899,78.44042064762917,101.82300567626953,79.33211517333984,78.93539428710938,102.322998046875,79.83210754394531,54.73583984375,61.87811279296875,65.38238525390625,0.13724173605442047,0.15716372430324554,0.11303635686635971,14435.6943359375,16477.05078125,9607.6611328125,120.14863434903245,128.36296499088044,98.01867746920736,0.7900528907775879,0.6681793332099915,0.737377405166626,95.16915130615234
18,0.0009801468428384716,73.42715460512818,107.98795318603516,75.89598083496094,73.91659545898438,108.48795318603516,76.39598083496094,38.08984375,70.18527221679688,48.484130859375,0.12508028745651245,0.17066936194896698,0.11274433881044388,14363.9404296875,17100.548828125,9786.015625,119.84965761189099,130.76906678616697,98.92429239069644,0.7910964488983154,0.6556230783462524,0.7325021028518677,95.16915130615234
