epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,210.51461920217307,137.48348999023438,268.20391845703125,211.01461791992188,137.9518280029297,268.7038879394531,158.05474853515625,80.82376098632812,175.767333984375,0.38216474652290344,0.31463098526000977,0.5930024981498718,77402.2578125,38597.41796875,128313.9609375,278.21261260500034,196.46225583747633,358.2093814202805,-0.2670736312866211,0.2227115035057068,-0.2501577138900757,137.48348999023438
2,0.0009997532801828658,172.0317840576172,140.87509155273438,254.48336791992188,172.53176879882812,141.34645080566406,254.98338317871094,131.42919921875,111.65777587890625,160.20263671875,0.32743334770202637,0.26755207777023315,0.5453882813453674,54951.07421875,32196.61328125,115637.1796875,234.41645466722255,179.43414747826012,340.05467161546244,0.1004517674446106,0.3516131639480591,-0.12664830684661865,137.48348999023438
3,0.0009994449374809851,160.69721523252855,110.35787200927734,219.58863830566406,161.19371032714844,110.85787200927734,220.088623046875,104.8983154296875,82.54833984375,164.53436279296875,0.3056945502758026,0.18514706194400787,0.4524119794368744,48792.08984375,21437.462890625,93862.4609375,220.88931582072954,146.41537791716073,306.369810747567,0.20127439498901367,0.568284809589386,0.08550184965133667,110.35787200927734
4,0.0009990133642141358,144.30073278090532,110.0564193725586,197.36854553222656,144.79550170898438,110.55641174316406,197.86851501464844,115.14727783203125,81.33294677734375,139.4190673828125,0.26979920268058777,0.20174965262413025,0.39285996556282043,40323.90625,20595.591796875,82144.2421875,200.808132927927,143.51164341918394,286.60816838935347,0.33989834785461426,0.5852386951446533,0.19967204332351685,110.0564193725586
5,0.000998458666866564,135.91766562582063,111.79833984375,182.32760620117188,136.4176788330078,112.29833221435547,182.8275909423828,96.9080810546875,88.06625366210938,147.19216918945312,0.2575782835483551,0.22066043317317963,0.34869933128356934,36148.421875,23067.123046875,75844.078125,190.12738328552254,151.8786457895744,275.39803580454236,0.40825098752975464,0.5354660749435425,0.26105421781539917,110.0564193725586
6,0.00099778098230154,121.2572000968356,110.0947494506836,188.67701721191406,121.75718688964844,110.59474182128906,189.17701721191406,72.2974853515625,79.18084716796875,150.9267120361328,0.2313936948776245,0.20840302109718323,0.3547912538051605,34063.296875,22555.78515625,75982.8359375,184.56244708769984,150.18583540484101,275.6498429847186,0.44238442182540894,0.5457636117935181,0.25970232486724854,110.0564193725586
7,0.0009969804777275899,124.18281375660615,98.72544860839844,187.0635223388672,124.68282318115234,99.22545623779297,187.56350708007812,85.18963623046875,71.04949951171875,144.97311401367188,0.22952082753181458,0.16172590851783752,0.35495853424072266,31961.369140625,17493.65625,74858.390625,178.77742905810285,132.26358625865245,273.60261443378056,0.4767928719520569,0.6477065682411194,0.2706577777862549,98.72544860839844
8,0.000996057350657239,111.7937050827411,93.86510467529297,184.18319702148438,112.29075622558594,94.36509704589844,184.68321228027344,73.156005859375,58.2569580078125,138.1126708984375,0.207676500082016,0.1493903547525406,0.3469769358634949,28785.046875,15739.1162109375,73080.5078125,169.66156569771482,125.45563443280457,270.33406705870425,0.5287892818450928,0.6830401420593262,0.2879796028137207,93.86510467529297
9,0.0009950118288582787,105.65123659021714,92.89102935791016,183.4756317138672,106.1512222290039,93.39103698730469,183.97561645507812,70.36172485351562,79.77204895019531,134.39340209960938,0.19452078640460968,0.15510042011737823,0.33676329255104065,24736.779296875,15566.185546875,71231.5859375,157.27930346003888,124.76452038490349,266.89246137255356,0.5950593948364258,0.6865226626396179,0.30599355697631836,92.89102935791016
10,0.0009938441702975688,95.0192733251748,92.7011947631836,184.78704833984375,95.51576232910156,93.20117950439453,185.2870635986328,56.993408203125,84.92381286621094,150.47930908203125,0.1798463612794876,0.156095489859581,0.3292238712310791,20060.318359375,15389.064453125,69475.4609375,141.634453292181,124.05266806129161,263.5819814355678,0.6716128587722778,0.6900895833969116,0.3231034278869629,92.7011947631836
11,0.000992554663077387,93.94512516310235,88.86690521240234,179.52415466308594,94.44488525390625,89.36688995361328,180.02415466308594,63.12310791015625,59.48060607910156,149.46728515625,0.17291247844696045,0.13608773052692413,0.31034940481185913,19103.416015625,14517.4921875,66841.796875,138.2151077691039,120.48855625120586,258.5378055043401,0.6872774362564087,0.7076416015625,0.348763108253479,88.86690521240234
12,0.0009911436253643444,94.95167041425945,91.70785522460938,175.2694549560547,95.45103454589844,92.20784759521484,175.76942443847656,71.87939453125,58.727447509765625,129.86087036132812,0.17526289820671082,0.1368165761232376,0.2930402457714081,19570.29296875,14699.5087890625,65415.71484375,139.89386322762695,121.24153079313416,255.76496015629272,0.6796346306800842,0.7039760947227478,0.362657368183136,88.86690521240234
13,0.000989611405310883,83.78363037109375,83.97381591796875,165.56065368652344,84.2811508178711,84.47381591796875,166.0606689453125,58.93115234375,61.99578857421875,115.38992309570312,0.15298032760620117,0.12461266666650772,0.26994380354881287,16049.87890625,12346.7666015625,62541.52734375,126.68811667338812,111.11600515480431,250.0830408959192,0.7372637987136841,0.7513564229011536,0.39066046476364136,83.97381591796875
14,0.0009879583809693738,81.07328783564206,76.55977630615234,160.71157836914062,81.57240295410156,77.05976867675781,161.2115478515625,59.7711181640625,52.71061706542969,117.51199340820312,0.14603549242019653,0.11483752727508545,0.2577436566352844,14854.2080078125,10012.3466796875,60596.38671875,121.87784051177023,100.06171435512935,246.16333341655496,0.7568368911743164,0.7983677983283997,0.40961188077926636,76.55977630615234
15,0.0009861849601988384,78.16942884942063,59.3640251159668,154.0758056640625,78.66385650634766,59.864017486572266,154.5758056640625,48.76861572265625,26.446563720703125,106.11111450195312,0.14067116379737854,0.08739245682954788,0.24187622964382172,13600.3486328125,6829.24853515625,57353.48828125,116.62053263817869,82.63926751343001,239.48588326089285,0.7773624658584595,0.8624701499938965,0.4412073493003845,59.3640251159668
16,0.0009842915805643156,79.29538489590172,48.493324279785156,146.5135498046875,79.7926025390625,48.993316650390625,147.01356506347656,47.51953125,14.813812255859375,112.39117431640625,0.1376732885837555,0.0732048749923706,0.22625687718391418,14121.2646484375,5130.140625,53337.51171875,118.8329274588382,71.625,230.94915396846554,0.7688351273536682,0.896687388420105,0.4803348183631897,48.493324279785156
17,0.000982278709228899,71.15670667375836,59.54808807373047,149.4150390625,71.65670776367188,60.0480842590332,149.91505432128906,53.621368408203125,30.301727294921875,118.92376708984375,0.12543490529060364,0.08995385468006134,0.2274102121591568,10343.8134765625,6514.08935546875,52407.9140625,101.70454009808265,80.70990865729405,228.9277485638209,0.8306719660758972,0.8688169717788696,0.4893918037414551,48.493324279785156
18,0.0009801468428384716,71.0014722166943,68.80766296386719,150.94595336914062,71.50145721435547,69.30766296386719,151.44595336914062,39.01275634765625,42.24725341796875,129.68511962890625,0.12353366613388062,0.10534229129552841,0.22280192375183105,11310.9453125,7924.02587890625,51037.39453125,106.35292808616038,89.01699769654249,225.91457352559175,0.8148400187492371,0.8404231667518616,0.5027447938919067,48.493324279785156
19,0.000977896507399165,64.31119460418445,65.04265594482422,133.49595642089844,64.8086166381836,65.54265594482422,133.99594116210938,40.795257568359375,39.197715759277344,84.87741088867188,0.11065786331892014,0.10338052362203598,0.19609549641609192,10212.779296875,6759.11083984375,47563.4296875,101.05829652668305,82.21381173406175,218.09041631282196,0.8328169584274292,0.8638826608657837,0.5365914702415466,48.493324279785156
20,0.0009755282581475768,63.36358334837841,67.94388580322266,132.33340454101562,63.85889434814453,68.44388580322266,132.83338928222656,40.375244140625,43.749267578125,88.7508544921875,0.10761763155460358,0.10846906900405884,0.194395512342453,10034.7744140625,7480.34619140625,46159.69921875,100.17372117507915,86.48899462594215,214.84808404719368,0.8357309103012085,0.8493581414222717,0.5502679347991943,48.493324279785156
21,0.0009730426794137727,58.007014715371014,69.37251281738281,131.43374633789062,58.507015228271484,69.87250518798828,131.90650939941406,37.65521240234375,43.701446533203125,116.65165710449219,0.10014618933200836,0.10592545568943024,0.1930314004421234,7786.5947265625,8020.88916015625,43617.91015625,88.24168361133246,89.55941692617394,208.8490128208654,0.8725335597991943,0.8384724855422974,0.5750324726104736,48.493324279785156
22,0.0009704403844771128,60.474803059041,73.05459594726562,143.84783935546875,60.972511291503906,73.5545883178711,144.3478240966797,37.42449951171875,49.610443115234375,141.2486114501953,0.10005363821983337,0.11168601363897324,0.21187596023082733,9563.7978515625,9079.1826171875,42329.28125,97.7946718976167,95.28474493426269,205.7408108519066,0.8434407711029053,0.8171601891517639,0.5875875353813171,48.493324279785156
23,0.0009677220154149337,61.70690866678703,73.44667053222656,149.7775115966797,62.20354461669922,73.94667053222656,150.2775115966797,39.29266357421875,59.586151123046875,149.2376251220703,0.10137548297643661,0.12053914368152618,0.22654570639133453,8282.185546875,9540.576171875,41203.32421875,91.00651376069187,97.67587302847618,202.9860197618299,0.8644207715988159,0.807868480682373,0.598557710647583,48.493324279785156
