epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,161.0666092582371,125.630126953125,96.8390121459961,161.56564331054688,126.13011169433594,97.3390121459961,117.6224365234375,103.84014892578125,58.161102294921875,0.18062318861484528,0.10691703855991364,0.09945201873779297,49983.8203125,25320.37890625,21077.283203125,223.57061594158566,159.12378485396204,145.18017496588507,0.4065418243408203,0.6126474738121033,0.4694308638572693,125.630126953125
2,0.0009997532801828658,123.58148054039997,84.95466613769531,73.66625213623047,124.08148956298828,85.45465850830078,74.16625213623047,84.822265625,57.838348388671875,59.75457763671875,0.16004635393619537,0.0691128820180893,0.07840708643198013,30102.171875,14903.4609375,9734.6025390625,173.4997748557617,122.07973188658305,98.6640894097873,0.6425968408584595,0.7720060348510742,0.7549551725387573,84.95466613769531
3,0.0009994449374809851,103.83121861996858,64.33514404296875,71.5264663696289,104.33121490478516,64.83514404296875,72.00041961669922,72.35369873046875,51.151947021484375,69.72915649414062,0.1391117125749588,0.0524059422314167,0.07704820483922958,21490.052734375,8401.1962890625,7238.5556640625,146.59485916762225,91.65803995865556,85.07970183341324,0.7448484897613525,0.8714780807495117,0.8177870512008667,64.33514404296875
4,0.0009990133642141358,92.69058320418648,48.37508010864258,78.07767486572266,93.19053649902344,48.8403434753418,78.57767486572266,67.4512939453125,32.15899658203125,78.01223754882812,0.12882928550243378,0.038849521428346634,0.08307872712612152,17492.8671875,4805.05419921875,8616.876953125,132.26060330839263,69.31849824699573,92.8271347889452,0.7923071384429932,0.9264920353889465,0.7830911874771118,48.37508010864258
5,0.000998458666866564,83.72792311958645,48.47275161743164,75.538330078125,84.22792053222656,48.972747802734375,76.038330078125,57.1617431640625,34.807586669921875,74.25283813476562,0.11547333747148514,0.03965289518237114,0.07988651096820831,14386.06640625,4496.9677734375,8466.0341796875,119.94192930851996,67.0594346340431,92.0110546602282,0.829194188117981,0.931205153465271,0.7868882417678833,48.37508010864258
6,0.00099778098230154,74.9531634123429,38.69704055786133,69.73719024658203,75.45043182373047,39.18054962158203,70.23719024658203,52.779052734375,12.16815185546875,48.33306884765625,0.105014868080616,0.03137204423546791,0.07420273125171661,11671.1025390625,3376.32275390625,7380.03662109375,108.03287712109912,58.10613353086101,85.90713952340487,0.86142897605896,0.9483488202095032,0.8142255544662476,38.69704055786133
7,0.0009969804777275899,67.58661625074303,44.94530487060547,68.29611206054688,68.08369445800781,45.44530487060547,68.79610443115234,44.44512939453125,30.63043212890625,53.896270751953125,0.09993328154087067,0.03699634596705437,0.072586290538311,10329.6728515625,3880.91552734375,6779.1533203125,101.63499816284988,62.29699452897989,82.33561392442823,0.8773557543754578,0.9406295418739319,0.8293513655662537,38.69704055786133
8,0.000996057350657239,62.64445094232974,53.89150619506836,66.08902740478516,63.135066986083984,54.39150619506836,66.58902740478516,45.7666015625,48.71197509765625,66.26083374023438,0.09215870499610901,0.044379234313964844,0.06990363448858261,8448.86328125,5303.46826171875,6479.4423828125,91.91769841140497,72.82491511645414,80.49498358787646,0.8996866345405579,0.9188672304153442,0.8368958234786987,38.69704055786133
9,0.0009950118288582787,59.075485295834746,54.39687728881836,65.87640380859375,59.571800231933594,54.87143325805664,66.37640380859375,35.03765869140625,44.77667236328125,58.11322021484375,0.09038779884576797,0.04521474987268448,0.0698566734790802,8879.3037109375,5113.38037109375,6507.08349609375,94.23005736460898,71.50790425605935,80.66649549902208,0.8945760130882263,0.921775221824646,0.8362000584602356,38.69704055786133
10,0.0009938441702975688,61.34254356052565,51.58891296386719,59.67869567871094,61.83912658691406,52.0821533203125,60.17869186401367,40.307373046875,50.98785400390625,42.2264404296875,0.09286036342382431,0.044937871396541595,0.06406895816326141,8269.400390625,4063.314697265625,5931.04052734375,90.93624354802105,63.74413461068889,77.01324903770617,0.9018173813819885,0.9378392100334167,0.8507004976272583,38.69704055786133
11,0.000992554663077387,54.207948767620586,51.931941986083984,60.27562713623047,54.705631256103516,52.431941986083984,60.77562713623047,32.2113037109375,33.48883056640625,44.680267333984375,0.08642344921827316,0.04388302192091942,0.06401669234037399,7797.662109375,4935.84033203125,5557.57763671875,88.30437197203206,70.25553595291441,74.54916254874196,0.9074183106422424,0.9244912266731262,0.860101580619812,38.69704055786133
12,0.0009911436253643444,46.90938180011252,52.56010818481445,60.465702056884766,47.40331268310547,53.06010818481445,60.9656982421875,27.3741455078125,37.054290771484375,46.949249267578125,0.07577545940876007,0.044982846826314926,0.06413445621728897,6722.2119140625,4743.05029296875,5743.2216796875,81.98909631202493,68.86980683121413,75.78404634015988,0.9201871156692505,0.9274405837059021,0.8554284572601318,38.69704055786133
13,0.000989611405310883,51.80426828135615,49.26633071899414,56.196048736572266,52.30052947998047,49.766326904296875,56.696044921875,34.7281494140625,44.08740234375,47.4656982421875,0.07790346443653107,0.044377025216817856,0.05983768031001091,6733.92919921875,3854.453369140625,5748.13525390625,82.0605215631655,62.08424412957466,75.81645767184227,0.9200479984283447,0.9410343766212463,0.8553047180175781,38.69704055786133
