epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,156.69231899095618,124.34720611572266,144.35205078125,157.19166564941406,124.8471908569336,144.85205078125,97.41162109375,114.08013916015625,137.52908325195312,0.18050111830234528,0.11084786802530289,0.1488248109817505,48858.73828125,21541.98828125,31869.03125,221.04012821487868,146.77189199996707,178.518994087464,0.38428765535354614,0.6704494953155518,0.5595176219940186,124.34720611572266
2,0.0009997532801828658,135.88449627420178,73.6832275390625,91.87830352783203,136.38449096679688,74.1832275390625,92.3782958984375,88.83782958984375,62.562896728515625,65.2857666015625,0.1781609058380127,0.061226554214954376,0.09341920167207718,34069.6484375,11295.9990234375,14666.0576171875,184.57965336813265,106.28263745051447,121.10349960751547,0.5706582069396973,0.8271932005882263,0.7972909808158875,73.6832275390625
3,0.0009994449374809851,100.89124503757643,85.24604797363281,79.88523864746094,101.39124298095703,85.74604034423828,80.38523864746094,71.80267333984375,68.28775024414062,45.16552734375,0.1360449492931366,0.07067111879587173,0.07619507610797882,20504.572265625,13186.7529296875,10908.2783203125,143.19417678671505,114.83358798577837,104.44270352835808,0.7416037321090698,0.7982683181762695,0.8492296934127808,73.6832275390625
4,0.0009990133642141358,94.24907047437586,70.37287902832031,72.298095703125,94.748779296875,70.87287139892578,72.79808807373047,60.641357421875,54.755889892578125,53.6484375,0.1270795464515686,0.05776591971516609,0.07049954682588577,18311.251953125,9305.2119140625,9785.072265625,135.31907460932845,96.46352634059414,98.91952418822585,0.7692436575889587,0.8576483726501465,0.8647541999816895,70.37287902832031
5,0.000998458666866564,78.77003810716712,46.142860412597656,75.6568832397461,79.26689147949219,46.64285659790039,76.15687561035156,51.96099853515625,29.20269775390625,34.290740966796875,0.11366865783929825,0.037520550191402435,0.07836637645959854,13877.37890625,4614.73046875,10975.4052734375,117.80228735576402,67.93180748920199,104.7635684455121,0.8251188397407532,0.9294036030769348,0.848301887512207,46.142860412597656
6,0.00099778098230154,74.1153745568317,43.79957962036133,84.2535629272461,74.60966491699219,44.29957962036133,84.73148345947266,56.8289794921875,24.460052490234375,65.16729736328125,0.11296246200799942,0.037397805601358414,0.09000730514526367,12702.9453125,3952.443115234375,13803.201171875,112.7073436493825,62.86845882661969,117.48702554697263,0.8399189114570618,0.9395353198051453,0.809217095375061,43.79957962036133
7,0.0009969804777275899,78.26228485107421,43.57027816772461,77.85496520996094,78.76229095458984,44.07027053833008,78.35496520996094,57.1187744140625,19.94598388671875,43.453857421875,0.11616640537977219,0.03536287695169449,0.07936839014291763,12876.14453125,4546.05517578125,11509.337890625,113.47310047429742,67.42444049290472,107.28158225261687,0.8377362489700317,0.9304541945457458,0.8409220576286316,43.57027816772461
8,0.000996057350657239,68.55189049762228,46.78355407714844,74.6309814453125,69.05045318603516,47.28355026245117,75.1309814453125,42.1005859375,25.1641845703125,48.606231689453125,0.10118240863084793,0.03848123550415039,0.07544171810150146,10342.4619140625,4938.46728515625,11015.5244140625,101.69789532759515,70.27422916799763,104.9548684628898,0.8696655035018921,0.9244510531425476,0.8477473258972168,43.57027816772461
9,0.0009950118288582787,66.44017201299253,47.874183654785156,78.9925765991211,66.93569946289062,48.37417984008789,79.49256896972656,41.77838134765625,30.038665771484375,48.254791259765625,0.0996498093008995,0.04107503965497017,0.08055873960256577,10065.7783203125,4809.50341796875,11473.6943359375,100.32835252466025,69.35058340034891,107.11533193683105,0.8731521964073181,0.926423966884613,0.8414146900177002,43.57027816772461
10,0.0009938441702975688,62.12725312606148,49.88231658935547,81.00971984863281,62.624412536621094,50.38231658935547,81.50971221923828,44.0047607421875,35.53125,65.45901489257812,0.09490696340799332,0.04386930912733078,0.0843915119767189,9005.8515625,4437.4189453125,11375.009765625,94.89916523605463,66.6139545839496,106.65369082045403,0.8865092992782593,0.9321161508560181,0.8427786827087402,43.57027816772461
