epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,158.59770123025646,128.32388305664062,202.95233154296875,159.09646606445312,128.82386779785156,203.4274444580078,120.64007568359375,114.67095947265625,197.10964965820312,0.1724531352519989,0.11426354199647903,0.2877027690410614,48777.73046875,23006.02734375,61384.39453125,220.85680987633143,151.67737914319986,247.75874259297086,0.32060378789901733,0.6480525732040405,0.566717267036438,128.32388305664062
2,0.0009997532801828658,122.35785794465438,70.44684600830078,163.08523559570312,122.85376739501953,70.94684600830078,163.58523559570312,89.1951904296875,36.30279541015625,182.72006225585938,0.15023520588874817,0.060838691890239716,0.24135136604309082,29003.29296875,10521.947265625,38700.0625,170.30353187397495,102.57654344744222,196.72331458167332,0.5960302352905273,0.8390346765518188,0.7268350124359131,70.44684600830078
3,0.0009994449374809851,89.19598488185717,70.8557357788086,132.04026794433594,89.69442749023438,71.35572814941406,132.54025268554688,64.5545654296875,46.1143798828125,111.39630126953125,0.1172182634472847,0.05904506891965866,0.19880151748657227,16598.07421875,9791.462890625,26204.0,128.83351356983943,98.95182105764906,161.87649613208214,0.7688152194023132,0.850209653377533,0.8150386810302734,70.44684600830078
4,0.0009990133642141358,82.18387112824813,78.2563705444336,127.55252838134766,82.68314361572266,78.75636291503906,128.05252075195312,52.34210205078125,56.282806396484375,99.7364501953125,0.10775168240070343,0.06569849699735641,0.19660493731498718,14480.4833984375,11693.787109375,26191.93359375,120.33488022363882,108.13781535325651,161.83922143210526,0.798309862613678,0.821107804775238,0.8151238560676575,70.44684600830078
5,0.000998458666866564,90.37064328400984,67.67794799804688,122.06747436523438,90.87064361572266,68.17794799804688,122.56746673583984,63.2315673828125,46.08892822265625,88.3145751953125,0.11714094132184982,0.05724777653813362,0.19592268764972687,16320.615234375,7739.04736328125,25334.52734375,127.75216332561652,87.97185551800786,159.16823597612057,0.7726798057556152,0.8816076517105103,0.8211758136749268,67.67794799804688
6,0.00099778098230154,79.27898645815642,50.5631217956543,128.7559814453125,79.77899169921875,51.06311798095703,129.25599670410156,58.13275146484375,36.398590087890625,96.92236328125,0.10765662789344788,0.04345666617155075,0.2100842297077179,13025.5322265625,4491.7744140625,28453.072265625,114.12945380821947,67.02070138444167,168.6803849462794,0.8185750246047974,0.9312846064567566,0.7991635799407959,50.5631217956543
7,0.0009969804777275899,76.37998153023098,51.76344299316406,139.68051147460938,76.87997436523438,52.2634391784668,140.1804962158203,48.72265625,43.74664306640625,102.0001220703125,0.10354074090719223,0.04489529877901077,0.22181223332881927,12440.0517578125,4628.04736328125,30270.251953125,111.53497997405343,68.02975351477653,173.98348183987179,0.8267298340797424,0.9291998744010925,0.7863369584083557,50.5631217956543
8,0.000996057350657239,69.81940496693487,61.8397216796875,128.55905151367188,70.31546020507812,62.33554458618164,129.0590362548828,43.96466064453125,44.94378662109375,108.57125854492188,0.09664589166641235,0.0528225377202034,0.20572581887245178,11321.85546875,6762.82373046875,26502.125,106.40420794663152,82.23638933263516,162.79473271577308,0.8423045873641968,0.896541953086853,0.8129343390464783,50.5631217956543
9,0.0009950118288582787,63.48988242771315,70.01385498046875,119.49361419677734,63.98814010620117,70.51385498046875,119.99361419677734,40.01385498046875,47.504669189453125,102.24734497070312,0.08914733678102493,0.05934963375329971,0.19116367399692535,9068.029296875,8456.5380859375,23086.423828125,95.22620068486928,91.95943717714621,151.94217264513824,0.8736968040466309,0.8706314563751221,0.8370441198348999,50.5631217956543
10,0.0009938441702975688,64.10823009325111,51.26763153076172,119.48616027832031,64.60530853271484,51.745182037353516,119.98615264892578,46.8336181640625,28.832275390625,96.22378540039062,0.08832420408725739,0.04357421398162842,0.19543913006782532,8676.748046875,5329.3369140625,23204.66015625,93.14906358560455,73.00230759409253,152.33075906149094,0.8791466951370239,0.9184715151786804,0.8362095355987549,50.5631217956543
11,0.000992554663077387,56.1557439721149,53.56007766723633,135.06268310546875,56.65144348144531,54.06007766723633,135.5626678466797,34.5570068359375,46.006927490234375,98.83804321289062,0.08167579025030136,0.048401981592178345,0.2196502685546875,7725.48486328125,4669.59521484375,27245.041015625,87.89473740379027,68.33443652247196,165.0607191782012,0.8923962712287903,0.9285643100738525,0.807690441608429,50.5631217956543
12,0.0009911436253643444,58.32429663616678,53.25210189819336,119.97956848144531,58.820945739746094,53.75210189819336,120.47956085205078,38.42822265625,38.843505859375,70.62347412109375,0.08554761856794357,0.04679938778281212,0.1997172087430954,8378.5029296875,5102.4931640625,23231.34765625,91.53416263716788,71.4317377925422,152.41833110308616,0.88330078125,0.9219417572021484,0.8360211849212646,50.5631217956543
13,0.000989611405310883,53.890799580449645,61.60105895996094,93.86361694335938,54.38715744018555,62.10105514526367,94.36360931396484,32.67724609375,26.511383056640625,67.79266357421875,0.0778513178229332,0.04975017532706261,0.16192197799682617,7082.57177734375,8716.673828125,18154.509765625,84.15801671465262,93.36312884712572,134.7386721235778,0.9013510346412659,0.8666518926620483,0.8718560934066772,50.5631217956543
14,0.0009879583809693738,56.77364482050357,60.19596862792969,92.79059600830078,57.26923751831055,60.68138885498047,93.28965759277344,32.5482177734375,25.315826416015625,68.11456298828125,0.08090973645448685,0.049563050270080566,0.15997576713562012,8110.74609375,7970.4716796875,18022.904296875,90.05968073311163,89.27749817108172,134.24941078781313,0.8870301842689514,0.8780673146247864,0.8727850317955017,50.5631217956543
15,0.0009861849601988384,53.041195114799166,59.26361083984375,117.37281036376953,53.54119873046875,59.763607025146484,117.872802734375,38.00823974609375,55.40521240234375,77.52230834960938,0.07605348527431488,0.054004959762096405,0.19129936397075653,6473.44677734375,5484.06689453125,21968.15234375,80.45773286231567,74.0544859851937,148.21657243287606,0.909835159778595,0.9161044359207153,0.8449374437332153,50.5631217956543
16,0.0009842915805643156,50.901523059347404,57.18732833862305,113.14825439453125,51.39731979370117,57.68732452392578,113.64826202392578,35.0892333984375,51.223663330078125,75.740478515625,0.07585464417934418,0.052195508033037186,0.18357811868190765,6520.41162109375,5275.3671875,20295.916015625,80.74906575988201,72.63172301067902,142.46373579134095,0.9091810584068298,0.9192971587181091,0.8567409515380859,50.5631217956543
17,0.000982278709228899,47.18708914051885,57.26548767089844,86.63374328613281,47.68693542480469,57.76548385620117,87.13373565673828,31.8592529296875,30.71588134765625,61.137176513671875,0.06737033277750015,0.048281360417604446,0.14747418463230133,5634.9716796875,7025.70947265625,15415.2265625,75.06644842862555,83.81950532338072,124.15807087136946,0.9215137958526611,0.8925203084945679,0.8911913633346558,50.5631217956543
18,0.0009801468428384716,51.28681007053541,60.07395935058594,85.75778198242188,51.78325271606445,60.57395553588867,86.2577896118164,35.552734375,32.27618408203125,55.871124267578125,0.07129458338022232,0.051208578050136566,0.14629718661308289,5946.58251953125,7309.5859375,14554.5283203125,77.11408768526832,85.49611650537116,120.64214984951363,0.9171735644340515,0.8881775736808777,0.8972666263580322,50.5631217956543
19,0.000977896507399165,41.34385760763417,56.78071212768555,101.0273666381836,41.84221267700195,57.28070831298828,101.52735900878906,26.79620361328125,47.46075439453125,85.4110107421875,0.061093997210264206,0.05208403989672661,0.1735251098871231,4559.80224609375,5113.14501953125,18316.041015625,67.52630780735572,71.50625860392397,135.33676889753576,0.9364892244338989,0.9217788577079773,0.8707159161567688,50.5631217956543
20,0.0009755282581475768,48.72317584493886,53.68986892700195,107.50476837158203,49.21693801879883,54.18986892700195,108.0047607421875,32.2142333984375,34.56439208984375,89.18283081054688,0.07295477390289307,0.04865332692861557,0.1779831498861313,5938.1904296875,5299.35498046875,18909.146484375,77.05965500628393,72.79666874568335,137.51053226707765,0.917290449142456,0.918930172920227,0.8665294647216797,50.5631217956543
