epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,166.72139653744904,123.05137634277344,62.06828689575195,167.22140502929688,123.5513687133789,62.56828689575195,105.5992431640625,92.31103515625,40.085357666015625,0.18798376619815826,0.105800099670887,0.06694396585226059,51895.8515625,24363.958984375,7060.25732421875,227.8066100061629,156.0895864059323,84.02533739425715,0.3671965003013611,0.6272788047790527,0.877735435962677,123.05137634277344
2,0.0009997532801828658,133.42059339440388,90.06648254394531,70.14219665527344,133.9205780029297,90.5435791015625,70.6421890258789,91.8831787109375,78.1453857421875,65.28924560546875,0.1696922332048416,0.07645770162343979,0.07474834471940994,33873.6015625,15546.046875,6729.70751953125,184.0478241178091,124.68378753871731,82.03479456627687,0.5869548320770264,0.7621757388114929,0.8834596276283264,90.06648254394531
3,0.0009994449374809851,110.5785755323327,73.05899810791016,75.02145385742188,111.07857513427734,73.55899810791016,75.52144622802734,76.95697021484375,52.765869140625,48.34747314453125,0.14846517145633698,0.06158075109124184,0.07628454267978668,24138.291015625,10085.263671875,10922.0224609375,155.36502507200584,100.42541347624613,104.5084803302464,0.7056643962860107,0.8457151055335999,0.8108600974082947,73.05899810791016
4,0.0009990133642141358,97.7865263565727,65.92640686035156,90.67622375488281,98.28652954101562,66.42640686035156,91.17620849609375,65.0140380859375,62.61810302734375,72.05819702148438,0.13066641986370087,0.056728068739175797,0.09060842543840408,18568.103515625,7409.89794921875,16023.8271484375,136.26482860821056,86.08076410684765,126.58525644180486,0.7735857367515564,0.8866429924964905,0.722510576248169,65.92640686035156
5,0.000998458666866564,92.28113257366678,54.639747619628906,85.68167114257812,92.78075408935547,55.13974380493164,86.1816635131836,62.7188720703125,43.72821044921875,59.65777587890625,0.12429449707269669,0.04794573783874512,0.08538874238729477,15709.900390625,4761.97998046875,16184.4091796875,125.33914149468633,69.00710094235774,127.21795934414095,0.8084378838539124,0.9271509647369385,0.7197297811508179,54.639747619628906
6,0.00099778098230154,81.54652816109035,45.070091247558594,72.23787689208984,82.04461669921875,45.570091247558594,72.73787689208984,60.8009033203125,37.03619384765625,52.490081787109375,0.11372734606266022,0.0392865315079689,0.07126706093549728,12947.7880859375,3359.17724609375,13161.0419921875,113.78834775994201,57.95840962357188,114.72158468303817,0.8421182632446289,0.9486111402511597,0.7720863223075867,45.070091247558594
7,0.0009969804777275899,79.08555974545686,52.68098068237305,65.12326049804688,79.58555603027344,53.18097686767578,65.62325286865234,57.84375,43.441558837890625,53.7071533203125,0.11417479068040848,0.044179998338222504,0.06774769723415375,12349.189453125,4696.88720703125,8135.48095703125,111.12690697182659,68.53383986784375,90.19690103895616,0.8494174480438232,0.9281467795372009,0.859115481376648,45.070091247558594
8,0.000996057350657239,69.9117619390073,56.11876678466797,56.46187210083008,70.40795135498047,56.61876678466797,56.96187210083008,40.64990234375,27.903839111328125,36.555389404296875,0.10348036140203476,0.04605954885482788,0.06113366410136223,11310.9365234375,6663.15380859375,5293.15869140625,106.35288676588661,81.62814348368919,72.75409742005085,0.8620775938034058,0.8980666995048523,0.9083368182182312,45.070091247558594
9,0.0009950118288582787,66.97210693359375,52.1153678894043,53.523807525634766,67.47035217285156,52.61536407470703,54.0238037109375,41.08148193359375,19.48583984375,46.88232421875,0.09928849339485168,0.04324996843934059,0.0575374960899353,10286.9921875,5953.94091796875,5162.88330078125,101.4248105125171,77.16178405123063,71.85320661446676,0.8745632767677307,0.9089162945747375,0.910592794418335,45.070091247558594
10,0.0009938441702975688,63.19035899950111,52.675758361816406,55.7505989074707,63.6845817565918,53.17575454711914,56.24262237548828,41.3121337890625,33.471771240234375,40.58837890625,0.09495832026004791,0.045782625675201416,0.058563679456710815,9517.255859375,4611.67578125,5906.6328125,97.55642397799849,67.90932028263867,76.85462128265287,0.8839492797851562,0.9294503331184387,0.8977130651473999,45.070091247558594
